ENSMSIP00000032634	ENSMSIG00000027317	Mus_spicilegus	ENSMSIT00000041165
MGP_SPRETEiJ_P0042094	MGP_SPRETEiJ_G0021313	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0042094
ENSMUSP00000111510	ENSMUSG00000022536	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000115844
MGP_CAROLIEiJ_P0040256	MGP_CAROLIEiJ_G0020419	Mus_caroli_strain_CAROLI_EIJ
ENSPANP00000013833	ENSPANG00000012331	Papio_anubis
ENSMFAP00000018949	ENSMFAG00000032460	Macaca_fascicularis
ENSMMUP00000032666	ENSMMUG00000009567	Macaca_mulatta
ENSMLEP00000028830	ENSMLEG00000038611	Mandrillus_leucophaeus
ENSCSAP00000005198	ENSCSAG00000008939	Chlorocebus_sabaeus
ENSCANP00000025128	ENSCANG00000035947	Colobus_angolensis_palliatus
ENSPTEP00000036352	ENSPTEG00000034155	Piliocolobus_tephrosceles
ENSRROP00000008897	ENSRROG00000028865	Rhinopithecus_roxellana
ENSRBIP00000040114	ENSRBIG00000043491	Rhinopithecus_bieti
ENSMNEP00000045635	ENSMNEG00000045310	Macaca_nemestrina
ENSCJAP00000037069	ENSCJAG00000019912	Callithrix_jacchus
ENSSBOP00000032139	ENSSBOG00000032250	Saimiri_boliviensis_boliviensis
ENSANAP00000002543	ENSANAG00000017504	Aotus_nancymaae
ENSCCAP00000035762	ENSCCAG00000035685	Cebus_capucinus_imitator
ENSMFAP00000016155	ENSMFAG00000031239	Macaca_fascicularis
ENSMNEP00000035127	ENSMNEG00000040706	Macaca_nemestrina
ENSPANP00000036193	ENSPANG00000033711	Papio_anubis
ENSCANP00000025558	ENSCANG00000036218	Colobus_angolensis_palliatus
ENSNLEP00000033650	ENSNLEG00000029455	Nomascus_leucogenys
ENSTSYP00000024013	ENSTSYG00000002875	Carlito_syrichta
ENSPCOP00000002520	ENSPCOG00000007495	Propithecus_coquereli
ENSMICP00000014525	ENSMICG00000015933	Microcebus_murinus
ENSPSMP00000035831	ENSPSMG00000024659	Prolemur_simus
ENSOGAP00000000195	ENSOGAG00000000219	Otolemur_garnettii
ENSTBEP00000006573	ENSTBEG00000007592	Tupaia_belangeri
ENSPVAP00000015181	ENSPVAG00000016083	Pteropus_vampyrus
ENSMLUP00000011845	ENSMLUG00000013016	Myotis_lucifugus
ENSBIXP00000000124	ENSBIXG00000030237	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000002268	ENSBTAG00000001731	Bos_taurus
ENSBMUP00000013470	ENSBMUG00000010269	Bos_mutus
ENSBBBP00000025637	ENSBBBG00000021009	Bison_bison_bison
ENSOARP00000004469	ENSOARG00000004173	Ovis_aries
ENSCHIP00000028225	ENSCHIG00000023808	Capra_hircus
ENSBIXP00005030184	ENSBIXG00005010289	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTTRP00000005198	ENSTTRG00000005510	Tursiops_truncatus
ENSSSCP00000038958	ENSSSCG00000007931	Sus_scrofa_strain_reference
ENSECAP00000007463	ENSECAG00000009093	Equus_caballus
ENSEASP00005000594	ENSEASG00005000552	Equus_asinus_asinus
ENSEEUP00000010772	ENSEEUG00000011783	Erinaceus_europaeus
ENSSARP00000003669	ENSSARG00000004035	Sorex_araneus
ENSUAMP00000020892	ENSUAMG00000016443	Ursus_americanus
ENSUMAP00000003660	ENSUMAG00000003035	Ursus_maritimus
ENSAMEP00000001782	ENSAMEG00000001685	Ailuropoda_melanoleuca
ENSMPUP00000014774	ENSMPUG00000014885	Mustela_putorius_furo
ENSNVIP00000001653	ENSNVIG00000001276	Neovison_vison
ENSCAFP00020031992	ENSCAFG00020024930	Canis_lupus_dingo
ENSCAFP00000054190	ENSCAFG00000019152	Canis_lupus_familiaris
ENSVVUP00000022621	ENSVVUG00000016582	Vulpes_vulpes
ENSPPRP00000009863	ENSPPRG00000004229	Panthera_pardus
ENSPTIP00000017021	ENSPTIG00000015560	Panthera_tigris_altaica
ENSFCAP00000029439	ENSFCAG00000028872	Felis_catus
ENSCHOP00000004392	ENSCHOG00000004953	Choloepus_hoffmanni
ENSDNOP00000031463	ENSDNOG00000041464	Dasypus_novemcinctus
ENSLAFP00000002682	ENSLAFG00000003223	Loxodonta_africana
ENSPCAP00000000806	ENSPCAG00000000838	Procavia_capensis
ENSETEP00000007009	ENSETEG00000008619	Echinops_telfairi
ENSVURP00010017730	ENSVURG00010013541	Vombatus_ursinus
ENSPCIP00000036178	ENSPCIG00000026688	Phascolarctos_cinereus
ENSMEUP00000010948	ENSMEUG00000012014	Notamacropus_eugenii
ENSSHAP00000007314	ENSSHAG00000006361	Sarcophilus_harrisii
ENSMODP00000007612	ENSMODG00000006140	Monodelphis_domestica
ENSOANP00000027851	ENSOANG00000021847	Ornithorhynchus_anatinus
ENSOANP00000019547	ENSOANG00000012354	Ornithorhynchus_anatinus
ENSCPUP00000016368	ENSCPUG00000011333	Calidris_pugnax
ENSCPGP00000024796	ENSCPGG00000017071	Calidris_pygmaea
ENSTGUP00000003237	ENSTGUG00000003134	Taeniopygia_guttata
ENSLSDP00000000698	ENSLSDG00000000562	Lonchura_striata_domestica
ENSSCAP00000003399	ENSSCAG00000002855	Serinus_canaria
ENSFALP00000005352	ENSFALG00000005124	Ficedula_albicollis
ENSPMJP00000010297	ENSPMJG00000008130	Parus_major
ENSCCEP00000023125	ENSCCEG00000020770	Cyanistes_caeruleus
ENSZALP00000023151	ENSZALG00000017926	Zonotrichia_albicollis
ENSJHYP00000001203	ENSJHYG00000001036	Junco_hyemalis
ENSLCOP00000009820	ENSLCOG00000007139	Lepidothrix_coronata
ENSMVIP00005015290	ENSMVIG00005011006	Manacus_vitellinus
ENSMUNP00000005913	ENSMUNG00000004806	Melopsittacus_undulatus
ENSMGAP00000010609	ENSMGAG00000010221	Meleagris_gallopavo
ENSCJPP00005023277	ENSCJPG00005018494	Coturnix_japonica
ENSGALP00000045893	ENSGALG00000038338	Gallus_gallus
ENSNMEP00000025812	ENSNMEG00000021739	Numida_meleagris
ENSABRP00000000073	ENSABRG00000000094	Anser_brachyrhynchus
ENSAPLP00000029088	ENSAPLG00000013726	Anas_platyrhynchos_platyrhynchos
ENSARWP00000024528	ENSARWG00000016590	Apteryx_rowi
ENSAHAP00000017742	ENSAHAG00000012570	Apteryx_haastii
ENSAOWP00000018495	ENSAOWG00000012610	Apteryx_owenii
ENSDNVP00000002688	ENSDNVG00000001789	Dromaius_novaehollandiae
ENSNPEP00000008259	ENSNPEG00000006198	Nothoprocta_perdicaria
ENSCPRP00005020082	ENSCPRG00005013972	Crocodylus_porosus
ENSGAGP00000002549	ENSGAGG00000002046	Gopherus_agassizii
ENSCABP00000004932	ENSCABG00000003717	Chelonoidis_abingdonii
ENSCPBP00000038463	ENSCPBG00000026573	Chrysemys_picta_bellii
ENSPSIP00000016745	ENSPSIG00000014926	Pelodiscus_sinensis
ENSSPUP00000007182	ENSSPUG00000005562	Sphenodon_punctatus
ENSACAP00000006188	ENSACAG00000006279	Anolis_carolinensis
ENSPVIP00000027001	ENSPVIG00000020095	Pogona_vitticeps
ENSNSUP00000027739	ENSNSUG00000019821	Notechis_scutatus
ENSSMRP00000017949	ENSSMRG00000013993	Salvator_merianae
ENSXETP00000006808	ENSXETG00000008576	Xenopus_tropicalis
ENSLACP00000012054	ENSLACG00000010612	Latimeria_chalumnae
ENSPKIP00000007026	ENSPKIG00000023060	Paramormyrops_kingsleyae
ENSSFOP00015022285	ENSSFOG00015014343	Scleropages_formosus
ENSAMXP00000051547	ENSAMXG00000034442	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005008623	ENSAMXG00005004956	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027449	ENSPNAG00000012949	Pygocentrus_nattereri
ENSEEEP00000035236	ENSEEEG00000016485	Electrophorus_electricus
ENSDARP00000137468	ENSDARG00000099213	Danio_rerio
ENSDCDP00000049516	ENSDCDG00000030424	Denticeps_clupeoides
ENSCHAP00000025718	ENSCHAG00000012153	Clupea_harengus
ENSPMGP00000016806	ENSPMGG00000013779	Periophthalmus_magnuspinnatus
ENSGMOP00000008531	ENSGMOG00000007968	Gadus_morhua
ENSHHUP00000025329	ENSHHUG00000015973	Hucho_hucho
ENSHHUP00000017841	ENSHHUG00000011124	Hucho_hucho
ENSHHUP00000037078	ENSHHUG00000023232	Hucho_hucho
ENSELUP00000032673	ENSELUG00000010636	Esox_lucius
ENSHHUP00000019887	ENSHHUG00000012453	Hucho_hucho
ENSHHUP00000037075	ENSHHUG00000023229	Hucho_hucho
ENSPFOP00000023950	ENSPFOG00000014804	Poecilia_formosa
ENSPLAP00000013008	ENSPLAG00000016441	Poecilia_latipinna
ENSPMEP00000025524	ENSPMEG00000008550	Poecilia_mexicana
ENSPREP00000017056	ENSPREG00000011531	Poecilia_reticulata
ENSXMAP00000015055	ENSXMAG00000015002	Xiphophorus_maculatus
ENSXCOP00000014381	ENSXCOG00000010908	Xiphophorus_couchianus
ENSGAFP00000007746	ENSGAFG00000005277	Gambusia_affinis
ENSFHEP00000026388	ENSFHEG00000009182	Fundulus_heteroclitus
ENSCVAP00000000267	ENSCVAG00000001116	Cyprinodon_variegatus
ENSKMAP00000018084	ENSKMAG00000013475	Kryptolebias_marmoratus
ENSORLP00015008638	ENSORLG00015009434	Oryzias_latipes_ASM223469v1
ENSORLP00020031741	ENSORLG00020016973	Oryzias_latipes_ASM223471v1
ENSORLP00000021808	ENSORLG00000017440	Oryzias_latipes_ASM223467v1
ENSOMEP00000002080	ENSOMEG00000003013	Oryzias_melastigma
ENSAOCP00000003671	ENSAOCG00000007032	Amphiprion_ocellaris
ENSAPEP00000014031	ENSAPEG00000010024	Amphiprion_percula
ENSAPOP00000019666	ENSAPOG00000023134	Acanthochromis_polyacanthus
ENSSPAP00000023215	ENSSPAG00000017526	Stegastes_partitus
ENSPRNP00000002192	ENSPRNG00000001314	Parambassis_ranga
ENSHBUP00000004684	ENSHBUG00000006017	Haplochromis_burtoni
ENSPNYP00000003451	ENSPNYG00000002702	Pundamilia_nyererei
ENSMZEP00005004268	ENSMZEG00005003309	Maylandia_zebra
ENSACLP00000015926	ENSACLG00000010822	Astatotilapia_calliptera
ENSONIP00000004324	ENSONIG00000003435	Oreochromis_niloticus
ENSACIP00000023991	ENSACIG00000018581	Amphilophus_citrinellus
ENSLCAP00010019760	ENSLCAG00010009332	Lates_calcarifer
ENSSMAP00000023747	ENSSMAG00000014497	Scophthalmus_maximus
ENSSLDP00000010846	ENSSLDG00000008636	Seriola_lalandi_dorsalis
ENSSDUP00000023670	ENSSDUG00000017207	Seriola_dumerili
ENSMAMP00000003746	ENSMAMG00000002558	Mastacembelus_armatus
ENSLCRP00005002585	ENSLCRG00005001240	Larimichthys_crocea
ENSCGOP00000016317	ENSCGOG00000007744	Cottoperca_gobio
ENSMALP00000005261	ENSMALG00000003795	Monopterus_albus
ENSATEP00000011284	ENSATEG00000007889	Anabas_testudineus
ENSLBEP00000008873	ENSLBEG00000006880	Labrus_bergylta
ENSBSLP00000023307	ENSBSLG00000011834	Betta_splendens
ENSGACP00000005850	ENSGACG00000004418	Gasterosteus_aculeatus
ENSHCOP00000014023	ENSHCOG00000017296	Hippocampus_comes
ENSCSEP00000032602	ENSCSEG00000020917	Cynoglossus_semilaevis
ENSTRUP00000030309	ENSTRUG00000011973	Takifugu_rubripes
ENSTNIP00000003241	ENSTNIG00000010208	Tetraodon_nigroviridis
ENSMMOP00000012481	ENSMMOG00000009588	Mola_mola
ENSGWIP00000033856	ENSGWIG00000017493	Gouania_willdenowi
ENSIPUP00000022443	ENSIPUG00000014982	Ictalurus_punctatus
ENSLOCP00000001247	ENSLOCG00000001106	Lepisosteus_oculatus
ENSECRP00000016632	ENSECRG00000011066	Erpetoichthys_calabaricus
ENSCMIP00000019911	ENSCMIG00000009245	Callorhinchus_milii
ENSCSAVP00000006484	ENSCSAVG00000003879	Ciona_savignyi
ENSCINP00000009181	ENSCING00000004445	Ciona_intestinalis
FBpp0292905	FBgn0043456	Drosophila_melanogaster
