ENSTGEP00000003401	ENSTGEG00000002880	Theropithecus_gelada
ENSAOCP00000014453	ENSAOCG00000020539	Amphiprion_ocellaris
ENSDORP00000012335	ENSDORG00000013115	Dipodomys_ordii
ENSOANP00000023234	ENSOANG00000014750	Ornithorhynchus_anatinus
ENSJJAP00000019958	ENSJJAG00000020623	Jaculus_jaculus
ENSKMAP00000005913	ENSKMAG00000004041	Kryptolebias_marmoratus
ENSONIP00000020934	ENSONIG00000016621	Oreochromis_niloticus
ENSPANP00000007536	ENSPANG00000008046	Papio_anubis
ENSSHAP00000020130	ENSSHAG00000017078	Sarcophilus_harrisii
ENSCPUP00000010452	ENSCPUG00000007411	Calidris_pugnax
ENSBIXP00000022864	ENSBIXG00000002120	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTNIP00000003109	ENSTNIG00000014094	Tetraodon_nigroviridis
ENSMSIP00000037405	ENSMSIG00000031160	Mus_spicilegus
ENSNBRP00000005449	ENSNBRG00000004145	Neolamprologus_brichardi
ENSRROP00000030764	ENSRROG00000039097	Rhinopithecus_roxellana
ENSUAMP00000009747	ENSUAMG00000008059	Ursus_americanus
ENSXCOP00000019261	ENSXCOG00000014483	Xiphophorus_couchianus
ENSLCOP00000003248	ENSLCOG00000002472	Lepidothrix_coronata
ENSCAFP00000057109	ENSCAFG00000014773	Canis_lupus_familiaris
ENSCGRP00000017191	ENSCGRG00000012498	Cricetulus_griseus_CriGri_1.0
ENSMAMP00000006106	ENSMAMG00000003831	Mastacembelus_armatus
ENSCHIP00000013535	ENSCHIG00000014793	Capra_hircus
ENSCPOP00000018566	ENSCPOG00000026832	Cavia_porcellus
ENSSFOP00015026522	ENSSFOG00015016935	Scleropages_formosus
ENSLAFP00000001716	ENSLAFG00000002050	Loxodonta_africana
ENSMOCP00000008864	ENSMOCG00000008848	Microtus_ochrogaster
ENSMUSP00000131316	ENSMUSG00000028763	Mus_musculus_strain_reference_(CL57BL6)
ENSCPRP00005021999	ENSCPRG00005015064	Crocodylus_porosus
ENSMLEP00000019289	ENSMLEG00000033827	Mandrillus_leucophaeus
ENSCPBP00000011453	ENSCPBG00000008105	Chrysemys_picta_bellii
ENSSTOP00000002120	ENSSTOG00000002316	Ictidomys_tridecemlineatus
ENSACAP00000002489	ENSACAG00000002602	Anolis_carolinensis
ENSTNIP00000015396	ENSTNIG00000012425	Tetraodon_nigroviridis
ENSLCRP00005047393	ENSLCRG00005017842	Larimichthys_crocea
ENSAPOP00000033452	ENSAPOG00000022235	Acanthochromis_polyacanthus
ENSNVIP00000028518	ENSNVIG00000017317	Neovison_vison
ENSUAMP00000006919	ENSUAMG00000006035	Ursus_americanus
ENSAPEP00000034686	ENSAPEG00000024424	Amphiprion_percula
ENSANAP00000023501	ENSANAG00000029487	Aotus_nancymaae
ENSEEUP00000002483	ENSEEUG00000002640	Erinaceus_europaeus
ENSARWP00000015755	ENSARWG00000010870	Apteryx_rowi
ENSEEUP00000003640	ENSEEUG00000003874	Erinaceus_europaeus
ENSABRP00000008185	ENSABRG00000006693	Anser_brachyrhynchus
ENSFHEP00000025113	ENSFHEG00000007346	Fundulus_heteroclitus
ENSHBUP00000005052	ENSHBUG00000006586	Haplochromis_burtoni
ENSHGLP00000014802	ENSHGLG00000010568	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014507	ENSHGLG00100010733	Heterocephalus_glaber_HetGla_1.0
MGP_CAROLIEiJ_P0065301	MGP_CAROLIEiJ_G0026678	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00005045511	ENSBIXG00005005253	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMMUP00000073786	ENSMMUG00000014828	Macaca_mulatta
ENSEEEP00000049493	ENSEEEG00000023268	Electrophorus_electricus
ENSPNAP00000007058	ENSPNAG00000013089	Pygocentrus_nattereri
ENSRNOP00000034954	ENSRNOG00000021437	Rattus_norvegicus
ENSHCOP00000021217	ENSHCOG00000007952	Hippocampus_comes
ENSFDAP00000004628	ENSFDAG00000013916	Fukomys_damarensis
ENSORLP00020026429	ENSORLG00020009036	Oryzias_latipes_ASM223471v1
ENSAMXP00000042222	ENSAMXG00000043042	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGRP00015029645	ENSCGRG00015021605	Cricetulus_griseus_CriGri-PICR
ENSVURP00010030993	ENSVURG00010023610	Vombatus_ursinus
ENSGACP00000014616	ENSGACG00000011047	Gasterosteus_aculeatus
ENSCVAP00000011776	ENSCVAG00000000363	Cyprinodon_variegatus
ENSOANP00000019966	ENSOANG00000012626	Ornithorhynchus_anatinus
ENSCPGP00000012319	ENSCPGG00000008697	Calidris_pygmaea
ENSACAP00000021151	ENSACAG00000022959	Anolis_carolinensis
ENSMNEP00000042034	ENSMNEG00000043761	Macaca_nemestrina
ENSMLUP00000001855	ENSMLUG00000001997	Myotis_lucifugus
ENSCJAP00000046258	ENSCJAG00000005940	Callithrix_jacchus
ENSFALP00000003939	ENSFALG00000003748	Ficedula_albicollis
ENSHHUP00000027656	ENSHHUG00000017563	Hucho_hucho
ENSPCAP00000015741	ENSPCAG00000016472	Procavia_capensis
ENSNGAP00000009354	ENSNGAG00000011978	Nannospalax_galili
