ENSSBOP00000006549	ENSSBOG00000020255	Saimiri_boliviensis_boliviensis
ENSHGLP00100027490	ENSHGLG00100020582	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000028089	ENSHGLG00000020247	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000015677	ENSFDAG00000003701	Fukomys_damarensis
ENSUPAP00010002603	ENSUPAG00010002179	Urocitellus_parryii
ENSSTOP00000006852	ENSSTOG00000007680	Ictidomys_tridecemlineatus
ENSMMMP00000020704	ENSMMMG00000018270	Marmota_marmota_marmota
ENSSDAP00000014166	ENSSDAG00000012777	Spermophilus_dauricus
ENSCGRP00001003219	ENSCGRG00001003842	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030474	ENSCGRG00015022957	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026716	ENSCGRG00000019807	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000018928	ENSMAUG00000017358	Mesocricetus_auratus
ENSPEMP00000002833	ENSPEMG00000003572	Peromyscus_maniculatus_bairdii
ENSMOCP00000009522	ENSMOCG00000009694	Microtus_ochrogaster
MGP_SPRETEiJ_P0044052	MGP_SPRETEiJ_G0021810	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014172	ENSMSIG00000012238	Mus_spicilegus
ENSMUSP00000066427	ENSMUSG00000055811	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0042156	MGP_CAROLIEiJ_G0020904	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0029513	MGP_PahariEiJ_G0016608	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038862	ENSRNOG00000027691	Rattus_norvegicus
ENSMUGP00000004649	ENSMUGG00000004306	Meriones_unguiculatus
ENSJJAP00000006745	ENSJJAG00000011325	Jaculus_jaculus
ENSDORP00000021771	ENSDORG00000001307	Dipodomys_ordii
ENSCCNP00000012845	ENSCCNG00000013341	Castor_canadensis
ENSOCUP00000016648	ENSOCUG00000025369	Oryctolagus_cuniculus
ENSOPRP00000003914	ENSOPRG00000004273	Ochotona_princeps
ENSETEP00000006089	ENSETEG00000007496	Echinops_telfairi
ENSVURP00010008745	ENSVURG00010006780	Vombatus_ursinus	ENSVURT00010009927
ENSPCIP00000016562	ENSPCIG00000012750	Phascolarctos_cinereus	ENSPCIT00000020469
ENSSHAP00000014898	ENSSHAG00000012710	Sarcophilus_harrisii	ENSSHAT00000015023
ENSMODP00000037943	ENSMODG00000025379	Monodelphis_domestica	ENSMODT00000039546
