ENSAPOP00000005815	ENSAPOG00000007563	Acanthochromis_polyacanthus
ENSPCIP00000018754	ENSPCIG00000014340	Phascolarctos_cinereus
ENSBIXP00005035378	ENSBIXG00005005984	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHCOP00000007211	ENSHCOG00000009155	Hippocampus_comes
ENSSBOP00000034483	ENSSBOG00000033418	Saimiri_boliviensis_boliviensis
ENSHGLP00000020128	ENSHGLG00000014408	Heterocephalus_glaber_HetGla_female_1.0
ENSNBRP00000022286	ENSNBRG00000017085	Neolamprologus_brichardi
ENSMSIP00000001551	ENSMSIG00000001503	Mus_spicilegus
ENSLBEP00000011353	ENSLBEG00000008749	Labrus_bergylta
ENSPRNP00000056495	ENSPRNG00000026391	Parambassis_ranga
ENSBSLP00000006878	ENSBSLG00000003394	Betta_splendens
ENSBIXP00000003407	ENSBIXG00000009818	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000027858	ENSBBBG00000006321	Bison_bison_bison
ENSMICP00000025467	ENSMICG00000032450	Microcebus_murinus
