ENSGAGP00000027851	ENSGAGG00000020242	Gopherus_agassizii	ENSGAGT00000031637
ENSXMAP00000039096	ENSXMAG00000012059	Xiphophorus_maculatus
ENSORLP00020019546	ENSORLG00020020582	Oryzias_latipes_ASM223471v1
ENSTTRP00000004143	ENSTTRG00000004394	Tursiops_truncatus
ENSLAFP00000028770	ENSLAFG00000027222	Loxodonta_africana
ENSACAP00000017381	ENSACAG00000017655	Anolis_carolinensis
ENSPLAP00000026605	ENSPLAG00000014522	Poecilia_latipinna
ENSCPBP00000024017	ENSCPBG00000017110	Chrysemys_picta_bellii
ENSGWIP00000014114	ENSGWIG00000007986	Gouania_willdenowi
ENSMAUP00000008767	ENSMAUG00000010092	Mesocricetus_auratus
ENSCVAP00000031064	ENSCVAG00000020066	Cyprinodon_variegatus
ENSMUSP00000036438	ENSMUSG00000034917	Mus_musculus_strain_reference_(CL57BL6)
ENSHGLP00100001343	ENSHGLG00100001064	Heterocephalus_glaber_HetGla_1.0
ENSKMAP00000007765	ENSKMAG00000005798	Kryptolebias_marmoratus
ENSPSMP00000027387	ENSPSMG00000019146	Prolemur_simus
ENSBMUP00000024381	ENSBMUG00000018288	Bos_mutus
ENSCABP00000017464	ENSCABG00000012933	Chelonoidis_abingdonii
ENSCVAP00000031104	ENSCVAG00000020046	Cyprinodon_variegatus
ENSOMEP00000001837	ENSOMEG00000002768	Oryzias_melastigma
