ENSIPUP00000002907	ENSIPUG00000002082	Ictalurus_punctatus
ENSAOCP00000000146	ENSAOCG00000002939	Amphiprion_ocellaris
ENSAPOP00000028846	ENSAPOG00000014339	Acanthochromis_polyacanthus
ENSMAMP00000015067	ENSMAMG00000010233	Mastacembelus_armatus
ENSMALP00000029161	ENSMALG00000020175	Monopterus_albus
ENSATEP00000012106	ENSATEG00000008463	Anabas_testudineus
ENSBSLP00000002396	ENSBSLG00000001376	Betta_splendens
ENSGMOP00000003647	ENSGMOG00000003404	Gadus_morhua
ENSCHAP00000024442	ENSCHAG00000011995	Clupea_harengus
ENSSFOP00015006485	ENSSFOG00015004272	Scleropages_formosus
ENSPKIP00000007164	ENSPKIG00000023174	Paramormyrops_kingsleyae
ENSLOCP00000009317	ENSLOCG00000007671	Lepisosteus_oculatus
ENSDCDP00000038281	ENSDCDG00000025712	Denticeps_clupeoides
ENSAPOP00000017237	ENSAPOG00000020420	Acanthochromis_polyacanthus
ENSECRP00000015643	ENSECRG00000010442	Erpetoichthys_calabaricus
ENSPVIP00000032200	ENSPVIG00000023613	Pogona_vitticeps
ENSACAP00000012197	ENSACAG00000012456	Anolis_carolinensis
ENSNSUP00000020320	ENSNSUG00000014807	Notechis_scutatus
ENSSPUP00000005238	ENSSPUG00000004048	Sphenodon_punctatus
ENSAOWP00000006831	ENSAOWG00000004686	Apteryx_owenii
ENSAHAP00000000313	ENSAHAG00000000310	Apteryx_haastii
ENSARWP00000021356	ENSARWG00000014598	Apteryx_rowi
ENSNPEP00000015003	ENSNPEG00000011208	Nothoprocta_perdicaria
ENSDNVP00000001926	ENSDNVG00000001385	Dromaius_novaehollandiae
ENSJHYP00000003808	ENSJHYG00000003135	Junco_hyemalis
ENSZALP00000017045	ENSZALG00000013816	Zonotrichia_albicollis
ENSPMJP00000004717	ENSPMJG00000004058	Parus_major
ENSFALP00000005670	ENSFALG00000005448	Ficedula_albicollis
ENSLSDP00000019794	ENSLSDG00000014062	Lonchura_striata_domestica
ENSTGUP00000005167	ENSTGUG00000005021	Taeniopygia_guttata
ENSSCAP00000017310	ENSSCAG00000012584	Serinus_canaria
ENSLCOP00000013062	ENSLCOG00000009422	Lepidothrix_coronata
ENSMVIP00005010738	ENSMVIG00005007895	Manacus_vitellinus
ENSCPUP00000013649	ENSCPUG00000009669	Calidris_pugnax
ENSCPGP00000021183	ENSCPGG00000014788	Calidris_pygmaea
ENSMUNP00000007856	ENSMUNG00000006269	Melopsittacus_undulatus
ENSCJPP00005026947	ENSCJPG00005020928	Coturnix_japonica
ENSMGAP00000017223	ENSMGAG00000003644	Meleagris_gallopavo
ENSGALP00000070840	ENSGALG00000003932	Gallus_gallus
ENSNMEP00000018283	ENSNMEG00000015918	Numida_meleagris
ENSABRP00000018158	ENSABRG00000015641	Anser_brachyrhynchus
ENSAPLP00000026417	ENSAPLG00000027519	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005017251	ENSCPRG00005012010	Crocodylus_porosus
ENSGAGP00000015388	ENSGAGG00000011609	Gopherus_agassizii
ENSCABP00000027389	ENSCABG00000020106	Chelonoidis_abingdonii
ENSCPBP00000025074	ENSCPBG00000017841	Chrysemys_picta_bellii
ENSPSIP00000015439	ENSPSIG00000013739	Pelodiscus_sinensis
ENSPCIP00000018510	ENSPCIG00000014162	Phascolarctos_cinereus
ENSVURP00010002630	ENSVURG00010002146	Vombatus_ursinus
ENSMEUP00000000754	ENSMEUG00000000817	Notamacropus_eugenii
ENSSHAP00000015934	ENSSHAG00000013574	Sarcophilus_harrisii
ENSMODP00000050268	ENSMODG00000042119	Monodelphis_domestica
ENSGGOP00000004075	ENSGGOG00000004153	Gorilla_gorilla
ENSP00000361818	ENSG00000124145	Homo_sapiens
ENSPTRP00000083321	ENSPTRG00000049711	Pan_troglodytes
ENSPPAP00000007506	ENSPPAG00000026773	Pan_paniscus
ENSPPYP00000012352	ENSPPYG00000011054	Pongo_abelii
ENSNLEP00000008158	ENSNLEG00000006698	Nomascus_leucogenys
ENSPANP00000017659	ENSPANG00000007529	Papio_anubis
ENSCATP00000032451	ENSCATG00000039284	Cercocebus_atys
ENSMLEP00000017808	ENSMLEG00000033097	Mandrillus_leucophaeus
ENSMFAP00000016451	ENSMFAG00000031404	Macaca_fascicularis
ENSMMUP00000070683	ENSMMUG00000048424	Macaca_mulatta
ENSMNEP00000035606	ENSMNEG00000040966	Macaca_nemestrina
ENSTGEP00000025486	ENSTGEG00000020527	Theropithecus_gelada
ENSCSAP00000010494	ENSCSAG00000014364	Chlorocebus_sabaeus
ENSPTEP00000022413	ENSPTEG00000023368	Piliocolobus_tephrosceles
ENSCANP00000033384	ENSCANG00000040361	Colobus_angolensis_palliatus
ENSRBIP00000040965	ENSRBIG00000043866	Rhinopithecus_bieti
ENSRROP00000042411	ENSRROG00000044358	Rhinopithecus_roxellana
ENSCCAP00000036213	ENSCCAG00000036032	Cebus_capucinus_imitator
ENSSBOP00000011533	ENSSBOG00000022591	Saimiri_boliviensis_boliviensis
ENSANAP00000038432	ENSANAG00000036656	Aotus_nancymaae
ENSTSYP00000027712	ENSTSYG00000031873	Carlito_syrichta
ENSMICP00000018587	ENSMICG00000032459	Microcebus_murinus
ENSPSMP00000036463	ENSPSMG00000025079	Prolemur_simus
ENSPCOP00000022277	ENSPCOG00000023225	Propithecus_coquereli
ENSOGAP00000006527	ENSOGAG00000007291	Otolemur_garnettii
ENSCCNP00000023255	ENSCCNG00000022859	Castor_canadensis
ENSDORP00000024309	ENSDORG00000001016	Dipodomys_ordii
ENSMSIP00000025883	ENSMSIG00000021846	Mus_spicilegus
MGP_SPRETEiJ_P0058202	MGP_SPRETEiJ_G0025564	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000017153	ENSMUSG00000017009	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056038	MGP_CAROLIEiJ_G0024644	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067024	MGP_PahariEiJ_G0026088	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019386	ENSRNOG00000014297	Rattus_norvegicus
ENSMUGP00000031552	ENSMUGG00000026247	Meriones_unguiculatus
ENSCGRP00001000698	ENSCGRG00001000552	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011433	ENSCGRG00000008324	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015029214	ENSCGRG00015022064	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022048	ENSMAUG00000019602	Mesocricetus_auratus
ENSPEMP00000010596	ENSPEMG00000011528	Peromyscus_maniculatus_bairdii
ENSMOCP00000026071	ENSMOCG00000021996	Microtus_ochrogaster
ENSNGAP00000014250	ENSNGAG00000015596	Nannospalax_galili
ENSHGLP00000024056	ENSHGLG00000017147	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009612	ENSHGLG00100007125	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011228	ENSFDAG00000018822	Fukomys_damarensis
ENSCLAP00000007847	ENSCLAG00000005503	Chinchilla_lanigera
ENSCAPP00000002962	ENSCAPG00000005857	Cavia_aperea
ENSCPOP00000026990	ENSCPOG00000034683	Cavia_porcellus
ENSMMMP00000005682	ENSMMMG00000005139	Marmota_marmota_marmota
ENSUPAP00010003567	ENSUPAG00010002934	Urocitellus_parryii
ENSSTOP00000008348	ENSSTOG00000009310	Ictidomys_tridecemlineatus
ENSSDAP00000004405	ENSSDAG00000004148	Spermophilus_dauricus
ENSOPRP00000010941	ENSOPRG00000012004	Ochotona_princeps
ENSTBEP00000012986	ENSTBEG00000014967	Tupaia_belangeri
ENSCJAP00000075817	ENSCJAG00000055105	Callithrix_jacchus
ENSUAMP00000022545	ENSUAMG00000017703	Ursus_americanus
ENSUMAP00000035194	ENSUMAG00000025301	Ursus_maritimus
ENSAMEP00000004475	ENSAMEG00000004244	Ailuropoda_melanoleuca
ENSMPUP00000017523	ENSMPUG00000017636	Mustela_putorius_furo
ENSNVIP00000013655	ENSNVIG00000010754	Neovison_vison
ENSCAFP00020017359	ENSCAFG00020013897	Canis_lupus_dingo
ENSVVUP00000025640	ENSVVUG00000018824	Vulpes_vulpes
ENSPPRP00000010268	ENSPPRG00000004481	Panthera_pardus
ENSPTIP00000008757	ENSPTIG00000010033	Panthera_tigris_altaica
ENSFCAP00000022281	ENSFCAG00000022046	Felis_catus
ENSEEUP00000011925	ENSEEUG00000013094	Erinaceus_europaeus
ENSMLUP00000017511	ENSMLUG00000027652	Myotis_lucifugus
ENSPVAP00000008261	ENSPVAG00000008754	Pteropus_vampyrus
ENSECAP00000025392	ENSECAG00000036088	Equus_caballus
ENSEASP00005034262	ENSEASG00005023395	Equus_asinus_asinus
ENSBIXP00005011077	ENSBIXG00005015576	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000014130	ENSBIXG00000018893	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000020125	ENSBTAG00000015127	Bos_taurus
ENSBMUP00000028315	ENSBMUG00000021220	Bos_mutus
ENSBBBP00000012583	ENSBBBG00000020357	Bison_bison_bison
ENSCHIP00000019294	ENSCHIG00000018365	Capra_hircus
ENSOARP00000005590	ENSOARG00000005209	Ovis_aries
ENSTTRP00000013096	ENSTTRG00000013809	Tursiops_truncatus
ENSVPAP00000004667	ENSVPAG00000005032	Vicugna_pacos
ENSSSCP00000048536	ENSSSCG00000038594	Sus_scrofa_strain_reference
ENSDNOP00000009257	ENSDNOG00000011932	Dasypus_novemcinctus
ENSETEP00000014041	ENSETEG00000017291	Echinops_telfairi
ENSLAFP00000006834	ENSLAFG00000008150	Loxodonta_africana
ENSOCUP00000032515	ENSOCUG00000009097	Oryctolagus_cuniculus
ENSOANP00000026427	ENSOANG00000010559	Ornithorhynchus_anatinus
ENSXETP00000032109	ENSXETG00000011199	Xenopus_tropicalis
ENSLACP00000011697	ENSLACG00000010295	Latimeria_chalumnae
