ENSAPOP00000027936	ENSAPOG00000012804	Acanthochromis_polyacanthus
ENSPPYP00000003374	ENSPPYG00000002903	Pongo_abelii
ENSCSEP00000013931	ENSCSEG00000008955	Cynoglossus_semilaevis
ENSOANP00000030976	ENSOANG00000030978	Ornithorhynchus_anatinus
ENSAMXP00000035388	ENSAMXG00000032104	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAFP00020022165	ENSCAFG00020017518	Canis_lupus_dingo
ENSELUP00000037798	ENSELUG00000017524	Esox_lucius
ENSMPUP00000006054	ENSMPUG00000006105	Mustela_putorius_furo
ENSXMAP00000033228	ENSXMAG00000029104	Xiphophorus_maculatus
ENSGAFP00000032415	ENSGAFG00000021835	Gambusia_affinis
ENSMAUP00000021243	ENSMAUG00000019035	Mesocricetus_auratus
ENSBSLP00000015100	ENSBSLG00000007949	Betta_splendens
ENSNSUP00000024100	ENSNSUG00000017419	Notechis_scutatus
ENSPTRP00000060401	ENSPTRG00000041595	Pan_troglodytes
ENSRBIP00000010292	ENSRBIG00000029004	Rhinopithecus_bieti
ENSGGOP00000000221	ENSGGOG00000000224	Gorilla_gorilla
ENSECAP00000040602	ENSECAG00000020705	Equus_caballus
ENSMUNP00000012895	ENSMUNG00000010099	Melopsittacus_undulatus
ENSLACP00000017043	ENSLACG00000015012	Latimeria_chalumnae
ENSMAMP00000004701	ENSMAMG00000003190	Mastacembelus_armatus
ENSPNAP00000022655	ENSPNAG00000030058	Pygocentrus_nattereri
ENSCVAP00000001942	ENSCVAG00000000661	Cyprinodon_variegatus
ENSDARP00000022233	ENSDARG00000009299	Danio_rerio
ENSCPOP00000032601	ENSCPOG00000031783	Cavia_porcellus
ENSLCOP00000019455	ENSLCOG00000013763	Lepidothrix_coronata
ENSSPUP00000003172	ENSSPUG00000002433	Sphenodon_punctatus
ENSAMXP00000017452	ENSAMXG00000016953	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000043780	ENSCHAG00000020357	Clupea_harengus
ENSCAPP00000002261	ENSCAPG00000005011	Cavia_aperea
ENSCCNP00000032051	ENSCCNG00000030457	Castor_canadensis
ENSGACP00000014613	ENSGACG00000011050	Gasterosteus_aculeatus
ENSPMAP00000004110	ENSPMAG00000003769	Petromyzon_marinus
ENSDCDP00000052442	ENSDCDG00000031643	Denticeps_clupeoides
ENSBTAP00000070079	ENSBTAG00000051211	Bos_taurus
ENSPCAP00000006377	ENSPCAG00000006820	Procavia_capensis
ENSBIXP00000027392	ENSBIXG00000008226	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSCAP00000005548	ENSSCAG00000004426	Serinus_canaria
ENSSTOP00000023813	ENSSTOG00000022763	Ictidomys_tridecemlineatus
ENSAPEP00000015239	ENSAPEG00000010753	Amphiprion_percula
ENSHCOP00000021544	ENSHCOG00000008448	Hippocampus_comes
ENSORLP00020007666	ENSORLG00020008553	Oryzias_latipes_ASM223471v1
ENSFDAP00000009079	ENSFDAG00000017175	Fukomys_damarensis
ENSCPUP00000004447	ENSCPUG00000003293	Calidris_pugnax
ENSGAGP00000025753	ENSGAGG00000018799	Gopherus_agassizii
ENSLCAP00010039830	ENSLCAG00010018602	Lates_calcarifer
ENSNMEP00000012349	ENSNMEG00000011450	Numida_meleagris
ENSEEEP00000014976	ENSEEEG00000007456	Electrophorus_electricus
ENSCGRP00000003955	ENSCGRG00000002912	Cricetulus_griseus_CriGri_1.0
ENSPLAP00000021600	ENSPLAG00000005457	Poecilia_latipinna
ENSPSIP00000016717	ENSPSIG00000014856	Pelodiscus_sinensis
ENSTGUP00000009745	ENSTGUG00000009455	Taeniopygia_guttata
ENSECRP00000004230	ENSECRG00000002876	Erpetoichthys_calabaricus
ENSPKIP00000035318	ENSPKIG00000014327	Paramormyrops_kingsleyae
ENSGWIP00000028519	ENSGWIG00000014871	Gouania_willdenowi
ENSTGEP00000031565	ENSTGEG00000025262	Theropithecus_gelada
ENSLACP00000015880	ENSLACG00000013984	Latimeria_chalumnae	ENSLACT00000015990
ENSLACP00000017520	ENSLACG00000015431	Latimeria_chalumnae	ENSLACT00000017649
ENSCGRP00001018866	ENSCGRG00001018480	Cricetulus_griseus_CHOK1GS_HDv1
ENSOPRP00000004224	ENSOPRG00000004586	Ochotona_princeps
ENSKMAP00000001602	ENSKMAG00000001272	Kryptolebias_marmoratus
ENSTRUP00000017959	ENSTRUG00000007284	Takifugu_rubripes
ENSCGOP00000020183	ENSCGOG00000009760	Cottoperca_gobio
ENSANAP00000013981	ENSANAG00000024908	Aotus_nancymaae
ENSMSIP00000002211	ENSMSIG00000002075	Mus_spicilegus
ENSIPUP00000007298	ENSIPUG00000005041	Ictalurus_punctatus
ENSATEP00000027657	ENSATEG00000019131	Anabas_testudineus
ENSJJAP00000025128	ENSJJAG00000024397	Jaculus_jaculus
ENSHHUP00000017361	ENSHHUG00000010824	Hucho_hucho
ENSACIP00000027261	ENSACIG00000021093	Amphilophus_citrinellus
ENSUMAP00000007857	ENSUMAG00000006048	Ursus_maritimus
ENSP00000380530	ENSG00000184545	Homo_sapiens
ENSSMRP00000018197	ENSSMRG00000014158	Salvator_merianae
ENSCPGP00000021916	ENSCPGG00000015255	Calidris_pygmaea
ENSMFAP00000039253	ENSMFAG00000002727	Macaca_fascicularis
ENSAOCP00000005161	ENSAOCG00000008629	Amphiprion_ocellaris
ENSMICP00000018912	ENSMICG00000029759	Microcebus_murinus
ENSCLAP00000001761	ENSCLAG00000001311	Chinchilla_lanigera
ENSFCAP00000048576	ENSFCAG00000046381	Felis_catus
ENSSFOP00015018160	ENSSFOG00015011664	Scleropages_formosus
ENSSDAP00000015800	ENSSDAG00000014247	Spermophilus_dauricus
ENSPFOP00000013657	ENSPFOG00000013641	Poecilia_formosa
ENSOARP00000005772	ENSOARG00000005377	Ovis_aries
ENSPREP00000029845	ENSPREG00000020211	Poecilia_reticulata
ENSZALP00000021605	ENSZALG00000016892	Zonotrichia_albicollis
ENSSDUP00000027429	ENSSDUG00000019851	Seriola_dumerili
ENSPVAP00000005890	ENSPVAG00000006231	Pteropus_vampyrus
