ENSGALP00000019373	ENSGALG00000011889	Gallus_gallus	ENSGALT00000019399
MGP_SPRETEiJ_P0034049	MGP_SPRETEiJ_G0018694	Mus_spretus_strain_SPRET/EiJ
ENSVURP00010023721	ENSVURG00010018178	Vombatus_ursinus
ENSDARP00000063482	ENSDARG00000043243	Danio_rerio
ENSCATP00000005228	ENSCATG00000016302	Cercocebus_atys
ENSMOCP00000001372	ENSMOCG00000001011	Microtus_ochrogaster
ENSBMUP00000033899	ENSBMUG00000025264	Bos_mutus
ENSLBEP00000030907	ENSLBEG00000023334	Labrus_bergylta
ENSETEP00000008564	ENSETEG00000010545	Echinops_telfairi
ENSMMOP00000015919	ENSMMOG00000012148	Mola_mola
ENSMZEP00005009764	ENSMZEG00005007374	Maylandia_zebra
ENSZALP00000006314	ENSZALG00000005776	Zonotrichia_albicollis
ENSCLAP00000012354	ENSCLAG00000008536	Chinchilla_lanigera
ENSSMAP00000002423	ENSSMAG00000001500	Scophthalmus_maximus
ENSDARP00000031430	ENSDARG00000018382	Danio_rerio
ENSCPGP00000026869	ENSCPGG00000018520	Calidris_pygmaea
ENSDORP00000017575	ENSDORG00000015119	Dipodomys_ordii
ENSORLP00020009032	ENSORLG00020009956	Oryzias_latipes_ASM223471v1
ENSLCRP00005046516	ENSLCRG00005017253	Larimichthys_crocea
ENSORLP00000045556	ENSORLG00000015712	Oryzias_latipes_ASM223467v1
ENSCCNP00000007570	ENSCCNG00000008063	Castor_canadensis
ENSMALP00000013526	ENSMALG00000009553	Monopterus_albus
ENSPREP00000023080	ENSPREG00000015569	Poecilia_reticulata
ENSCSAP00000010249	ENSCSAG00000014110	Chlorocebus_sabaeus
ENSMAMP00000002429	ENSMAMG00000001660	Mastacembelus_armatus
ENSHHUP00000078338	ENSHHUG00000045720	Hucho_hucho
ENSP00000329127	ENSG00000027075	Homo_sapiens
ENSOPRP00000007087	ENSOPRG00000007737	Ochotona_princeps
ENSEASP00005023712	ENSEASG00005016107	Equus_asinus_asinus
ENSLSDP00000018217	ENSLSDG00000012974	Lonchura_striata_domestica
ENSMFAP00000014213	ENSMFAG00000030025	Macaca_fascicularis
ENSMMUP00000032881	ENSMMUG00000002260	Macaca_mulatta
ENSAOCP00000004411	ENSAOCG00000007835	Amphiprion_ocellaris
ENSEEEP00000050570	ENSEEEG00000023784	Electrophorus_electricus
ENSNSUP00000026617	ENSNSUG00000019100	Notechis_scutatus
ENSNSUP00000026616	ENSNSUG00000019099	Notechis_scutatus
ENSECAP00000011791	ENSECAG00000013529	Equus_caballus
ENSMEUP00000000504	ENSMEUG00000000545	Notamacropus_eugenii
ENSCPBP00000028922	ENSCPBG00000020401	Chrysemys_picta_bellii
ENSAMXP00000040188	ENSAMXG00000019350	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMEP00000029240	ENSPMEG00000014837	Poecilia_mexicana
ENSPANP00000017059	ENSPANG00000017564	Papio_anubis
ENSPKIP00000001331	ENSPKIG00000019661	Paramormyrops_kingsleyae
ENSRROP00000012140	ENSRROG00000030366	Rhinopithecus_roxellana
ENSAPLP00000003159	ENSAPLG00000003675	Anas_platyrhynchos_platyrhynchos
ENSHGLP00000025346	ENSHGLG00000018060	Heterocephalus_glaber_HetGla_female_1.0
ENSGACP00000011256	ENSGACG00000008506	Gasterosteus_aculeatus
ENSMMMP00000023519	ENSMMMG00000020586	Marmota_marmota_marmota
ENSCHAP00000051300	ENSCHAG00000023397	Clupea_harengus
ENSTRUP00000028813	ENSTRUG00000011406	Takifugu_rubripes
ENSMUSP00000021527	ENSMUSG00000021108	Mus_musculus_strain_reference_(CL57BL6)
ENSCSEP00000002310	ENSCSEG00000001545	Cynoglossus_semilaevis
ENSFDAP00000022092	ENSFDAG00000007236	Fukomys_damarensis
ENSEEUP00000004061	ENSEEUG00000004447	Erinaceus_europaeus
ENSRNOP00000006729	ENSRNOG00000004873	Rattus_norvegicus
ENSODEP00000019025	ENSODEG00000014028	Octodon_degus
ENSCGRP00000016395	ENSCGRG00000011905	Cricetulus_griseus_CriGri_1.0
ENSVPAP00000002214	ENSVPAG00000002394	Vicugna_pacos
ENSFHEP00000025650	ENSFHEG00000008024	Fundulus_heteroclitus
ENSNMEP00000019697	ENSNMEG00000016968	Numida_meleagris	ENSNMET00000028788
ENSAMXP00005024111	ENSAMXG00005012228	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMLUP00000003082	ENSMLUG00000003390	Myotis_lucifugus
ENSDNVP00000022826	ENSDNVG00000015887	Dromaius_novaehollandiae	ENSDNVT00000027540
ENSECRP00000020812	ENSECRG00000013999	Erpetoichthys_calabaricus
ENSACLP00000029763	ENSACLG00000020141	Astatotilapia_calliptera
ENSHBUP00000020854	ENSHBUG00000023167	Haplochromis_burtoni
ENSPVIP00000032305	ENSPVIG00000023679	Pogona_vitticeps
ENSRBIP00000042526	ENSRBIG00000044523	Rhinopithecus_bieti
ENSPKIP00000001341	ENSPKIG00000019674	Paramormyrops_kingsleyae
ENSELUP00000011051	ENSELUG00000011477	Esox_lucius
ENSBTAP00000004240	ENSBTAG00000003276	Bos_taurus
ENSTGUP00000014316	ENSTGUG00000013910	Taeniopygia_guttata
ENSAPEP00000031913	ENSAPEG00000022646	Amphiprion_percula
ENSCAPP00000015866	ENSCAPG00000015884	Cavia_aperea
ENSDCDP00000031513	ENSDCDG00000021886	Denticeps_clupeoides
ENSXCOP00000011301	ENSXCOG00000008537	Xiphophorus_couchianus
ENSPCIP00000027408	ENSPCIG00000020471	Phascolarctos_cinereus
ENSNPEP00000016538	ENSNPEG00000012314	Nothoprocta_perdicaria	ENSNPET00000016945
ENSNPEP00000016539	ENSNPEG00000012315	Nothoprocta_perdicaria	ENSNPET00000016946
ENSIPUP00000025701	ENSIPUG00000017377	Ictalurus_punctatus
ENSCVAP00000008736	ENSCVAG00000010584	Cyprinodon_variegatus
ENSMSIP00000029352	ENSMSIG00000024638	Mus_spicilegus
ENSCHIP00000016683	ENSCHIG00000016844	Capra_hircus
ENSGAGP00000023118	ENSGAGG00000016943	Gopherus_agassizii
ENSSLDP00000002204	ENSSLDG00000001754	Seriola_lalandi_dorsalis
MGP_PahariEiJ_P0082651	MGP_PahariEiJ_G0029604	Mus_pahari_strain_PAHARI_EIJ
ENSSSCP00000005475	ENSSSCG00000005095	Sus_scrofa_strain_reference
ENSSMRP00000016346	ENSSMRG00000012465	Salvator_merianae
ENSAPOP00000012804	ENSAPOG00000015574	Acanthochromis_polyacanthus
ENSSBOP00000001568	ENSSBOG00000007247	Saimiri_boliviensis_boliviensis
ENSPCOP00000013554	ENSPCOG00000018412	Propithecus_coquereli
ENSACAP00000006356	ENSACAG00000006398	Anolis_carolinensis
ENSTGEP00000018734	ENSTGEG00000015086	Theropithecus_gelada
ENSOCUP00000013626	ENSOCUG00000015859	Oryctolagus_cuniculus
ENSCCEP00000013835	ENSCCEG00000013240	Cyanistes_caeruleus
ENSUAMP00000008298	ENSUAMG00000007038	Ursus_americanus
ENSTSYP00000027424	ENSTSYG00000009607	Carlito_syrichta
ENSCJPP00005005737	ENSCJPG00005005439	Coturnix_japonica	ENSCJPT00005009232
ENSNBRP00000012412	ENSNBRG00000009662	Neolamprologus_brichardi
ENSPFOP00000008400	ENSPFOG00000008240	Poecilia_formosa
ENSCABP00000022100	ENSCABG00000016280	Chelonoidis_abingdonii
ENSANAP00000026624	ENSANAG00000031032	Aotus_nancymaae
ENSPTEP00000000439	ENSPTEG00000000531	Piliocolobus_tephrosceles
ENSSARP00000007127	ENSSARG00000007875	Sorex_araneus
ENSSHAP00000011922	ENSSHAG00000010229	Sarcophilus_harrisii
ENSCANP00000027042	ENSCANG00000036852	Colobus_angolensis_palliatus
ENSPKIP00000011919	ENSPKIG00000018288	Paramormyrops_kingsleyae
ENSAOWP00000019679	ENSAOWG00000013302	Apteryx_owenii	ENSAOWT00000022296
ENSFCAP00000011961	ENSFCAG00000012900	Felis_catus
ENSPCAP00000002560	ENSPCAG00000002725	Procavia_capensis
ENSIPUP00000003611	ENSIPUG00000002545	Ictalurus_punctatus
ENSPEMP00000025548	ENSPEMG00000021936	Peromyscus_maniculatus_bairdii
ENSPPAP00000020162	ENSPPAG00000033245	Pan_paniscus
ENSBBBP00000013022	ENSBBBG00000020684	Bison_bison_bison
ENSONIP00000025338	ENSONIG00000020113	Oreochromis_niloticus
ENSAMEP00000003259	ENSAMEG00000003023	Ailuropoda_melanoleuca
ENSSCAP00000007727	ENSSCAG00000005933	Serinus_canaria
ENSBIXP00005003188	ENSBIXG00005009360	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHOP00000001248	ENSCHOG00000001403	Choloepus_hoffmanni
ENSLOCP00000012409	ENSLOCG00000010128	Lepisosteus_oculatus
ENSAPLP00000023797	ENSAPLG00000025419	Anas_platyrhynchos_platyrhynchos
ENSPREP00000023044	ENSPREG00000015556	Poecilia_reticulata
ENSPSMP00000037443	ENSPSMG00000025735	Prolemur_simus
ENSCAFP00020009756	ENSCAFG00020007924	Canis_lupus_dingo
ENSOANP00000014472	ENSOANG00000009091	Ornithorhynchus_anatinus
ENSMAUP00000001702	ENSMAUG00000001216	Mesocricetus_auratus
ENSLAFP00000008667	ENSLAFG00000010349	Loxodonta_africana
MGP_CAROLIEiJ_P0032538	MGP_CAROLIEiJ_G0017847	Mus_caroli_strain_CAROLI_EIJ
ENSARWP00000016631	ENSARWG00000011463	Apteryx_rowi	ENSARWT00000018941
ENSCVAP00000031600	ENSCVAG00000020975	Cyprinodon_variegatus
ENSPNYP00000029105	ENSPNYG00000021930	Pundamilia_nyererei
ENSTNIP00000020478	ENSTNIG00000017340	Tetraodon_nigroviridis
ENSGMOP00000011641	ENSGMOG00000010883	Gadus_morhua
ENSMVIP00005012834	ENSMVIG00005009334	Manacus_vitellinus
ENSSPUP00000013204	ENSSPUG00000010172	Sphenodon_punctatus
ENSCAFP00000023082	ENSCAFG00000015695	Canis_lupus_familiaris
ENSPMJP00000002290	ENSPMJG00000001874	Parus_major
ENSDCDP00000007010	ENSDCDG00000003024	Denticeps_clupeoides
ENSMMOP00000015922	ENSMMOG00000012152	Mola_mola
ENSPTIP00000004082	ENSPTIG00000006620	Panthera_tigris_altaica
ENSPNAP00000020336	ENSPNAG00000027147	Pygocentrus_nattereri
ENSAMXP00005045546	ENSAMXG00005021023	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNVIP00000008320	ENSNVIG00000006557	Neovison_vison
ENSPLAP00000026446	ENSPLAG00000014229	Poecilia_latipinna
ENSMLEP00000035941	ENSMLEG00000042071	Mandrillus_leucophaeus
ENSMNEP00000036625	ENSMNEG00000041379	Macaca_nemestrina
ENSSDAP00000023374	ENSSDAG00000021290	Spermophilus_dauricus
ENSTGUP00000013368	ENSTGUG00000012981	Taeniopygia_guttata
ENSLCAP00010051155	ENSLCAG00010023818	Lates_calcarifer
ENSCPOP00000008656	ENSCPOG00000009643	Cavia_porcellus
ENSXETP00000042728	ENSXETG00000017079	Xenopus_tropicalis
ENSABRP00000001524	ENSABRG00000001533	Anser_brachyrhynchus
ENSPRNP00000030764	ENSPRNG00000014632	Parambassis_ranga
ENSVVUP00000041366	ENSVVUG00000029440	Vulpes_vulpes
ENSNGAP00000011180	ENSNGAG00000013395	Nannospalax_galili
ENSOGAP00000014413	ENSOGAG00000016105	Otolemur_garnettii
ENSCGRP00015036082	ENSCGRG00015027068	Cricetulus_griseus_CriGri-PICR
ENSSDUP00000026910	ENSSDUG00000019484	Seriola_dumerili
ENSOARP00000022715	ENSOARG00000021134	Ovis_aries
ENSHGLP00100003917	ENSHGLG00100002985	Heterocephalus_glaber_HetGla_1.0
ENSJHYP00000018548	ENSJHYG00000014115	Junco_hyemalis
ENSCPRP00005026022	ENSCPRG00005018065	Crocodylus_porosus
ENSPSIP00000013217	ENSPSIG00000011692	Pelodiscus_sinensis
ENSBSLP00000048414	ENSBSLG00000023048	Betta_splendens
ENSOMEP00000025506	ENSOMEG00000006785	Oryzias_melastigma
ENSMUGP00000005414	ENSMUGG00000004469	Meriones_unguiculatus
ENSCMIP00000006694	ENSCMIG00000003742	Callorhinchus_milii
ENSSFOP00015020457	ENSSFOG00015013146	Scleropages_formosus
ENSSTOP00000008587	ENSSTOG00000009567	Ictidomys_tridecemlineatus
ENSTTRP00000013133	ENSTTRG00000013849	Tursiops_truncatus
ENSEEEP00000049286	ENSEEEG00000023164	Electrophorus_electricus
ENSTBEP00000001708	ENSTBEG00000001960	Tupaia_belangeri
ENSKMAP00000008151	ENSKMAG00000006083	Kryptolebias_marmoratus
ENSUMAP00000018675	ENSUMAG00000013719	Ursus_maritimus
ENSDNOP00000011799	ENSDNOG00000015214	Dasypus_novemcinctus
ENSJJAP00000019431	ENSJJAG00000020392	Jaculus_jaculus
ENSCPUP00000001421	ENSCPUG00000001089	Calidris_pugnax
ENSAMXP00000045011	ENSAMXG00000031671	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSFOP00015021022	ENSSFOG00015013530	Scleropages_formosus
ENSP00000452401	ENSG00000258989	Homo_sapiens
ENSHCOP00000009753	ENSHCOG00000012289	Hippocampus_comes
ENSFALP00000003560	ENSFALG00000003419	Ficedula_albicollis
ENSPVAP00000013665	ENSPVAG00000014495	Pteropus_vampyrus
ENSMICP00000002030	ENSMICG00000002219	Microcebus_murinus
ENSNLEP00000029933	ENSNLEG00000013835	Nomascus_leucogenys
ENSATEP00000022401	ENSATEG00000015517	Anabas_testudineus
ENSCCAP00000004711	ENSCCAG00000019880	Cebus_capucinus_imitator
ENSCGRP00001013114	ENSCGRG00001014324	Cricetulus_griseus_CHOK1GS_HDv1
ENSXMAP00000033294	ENSXMAG00000025270	Xiphophorus_maculatus
ENSXCOP00000011292	ENSXCOG00000008530	Xiphophorus_couchianus
ENSCABP00000022099	ENSCABG00000016279	Chelonoidis_abingdonii
ENSCHAP00000005402	ENSCHAG00000002501	Clupea_harengus
ENSPMEP00000012269	ENSPMEG00000014435	Poecilia_mexicana
ENSLCOP00000007541	ENSLCOG00000005550	Lepidothrix_coronata
ENSXCOP00000011298	ENSXCOG00000008534	Xiphophorus_couchianus
ENSPMGP00000018920	ENSPMGG00000015397	Periophthalmus_magnuspinnatus
ENSGGOP00000008170	ENSGGOG00000008357	Gorilla_gorilla
