ENSAPOP00000006305	ENSAPOG00000008111	Acanthochromis_polyacanthus
ENSSFOP00015025587	ENSSFOG00015016451	Scleropages_formosus
ENSMAUP00000020048	ENSMAUG00000018174	Mesocricetus_auratus
ENSOARP00000016810	ENSOARG00000015666	Ovis_aries
ENSLOCP00000015784	ENSLOCG00000012828	Lepisosteus_oculatus
ENSTGEP00000003199	ENSTGEG00000002739	Theropithecus_gelada	ENSTGET00000003923
ENSANAP00000011459	ENSANAG00000023678	Aotus_nancymaae
ENSSSCP00000036781	ENSSSCG00000037209	Sus_scrofa_strain_reference
ENSMUSP00000091769	ENSMUSG00000070462	Mus_musculus_strain_reference_(CL57BL6)
ENSGAGP00000017030	ENSGAGG00000012717	Gopherus_agassizii
ENSMAMP00000016577	ENSMAMG00000011228	Mastacembelus_armatus
ENSPLAP00000004825	ENSPLAG00000006579	Poecilia_latipinna
ENSTRUP00000006134	ENSTRUG00000002632	Takifugu_rubripes
ENSSLDP00000013985	ENSSLDG00000011158	Seriola_lalandi_dorsalis
ENSTNIP00000009478	ENSTNIG00000006697	Tetraodon_nigroviridis
ENSPMGP00000000670	ENSPMGG00000000618	Periophthalmus_magnuspinnatus
ENSPCOP00000026646	ENSPCOG00000025725	Propithecus_coquereli
ENSAOCP00000018632	ENSAOCG00000023804	Amphiprion_ocellaris
ENSLACP00000015118	ENSLACG00000013306	Latimeria_chalumnae
ENSONIP00000009232	ENSONIG00000007320	Oreochromis_niloticus
ENSARWP00000018830	ENSARWG00000012953	Apteryx_rowi
ENSECAP00000002705	ENSECAG00000004005	Equus_caballus
ENSORLP00015028433	ENSORLG00015011053	Oryzias_latipes_ASM223469v1
ENSMUGP00000023477	ENSMUGG00000019668	Meriones_unguiculatus
ENSECRP00000023076	ENSECRG00000015617	Erpetoichthys_calabaricus
ENSGACP00000016455	ENSGACG00000012450	Gasterosteus_aculeatus
ENSFHEP00000027807	ENSFHEG00000011507	Fundulus_heteroclitus
ENSPNAP00000026900	ENSPNAG00000012259	Pygocentrus_nattereri
ENSSCAP00000007178	ENSSCAG00000005551	Serinus_canaria
ENSMUNP00000003587	ENSMUNG00000003053	Melopsittacus_undulatus
ENSXETP00000047450	ENSXETG00000019600	Xenopus_tropicalis
ENSATEP00000017420	ENSATEG00000012126	Anabas_testudineus
ENSLCAP00010020203	ENSLCAG00010009550	Lates_calcarifer
ENSCJPP00005025941	ENSCJPG00005020275	Coturnix_japonica
ENSMZEP00005038146	ENSMZEG00005028524	Maylandia_zebra
ENSOANP00000006041	ENSOANG00000003807	Ornithorhynchus_anatinus
ENSCPBP00000010039	ENSCPBG00000007725	Chrysemys_picta_bellii
MGP_SPRETEiJ_P0083898	MGP_SPRETEiJ_G0031047	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000016455	ENSRNOG00000012349	Rattus_norvegicus
ENSDNOP00000027406	ENSDNOG00000037443	Dasypus_novemcinctus
ENSEBUP00000014070	ENSEBUG00000008870	Eptatretus_burgeri
ENSHCOP00000026694	ENSHCOG00000017858	Hippocampus_comes
ENSSMAP00000025650	ENSSMAG00000015707	Scophthalmus_maximus
ENSCAFP00020019916	ENSCAFG00020015813	Canis_lupus_dingo
ENSMMUP00000077132	ENSMMUG00000052973	Macaca_mulatta	ENSMMUT00000082018
ENSVURP00010006281	ENSVURG00010004871	Vombatus_ursinus	ENSVURT00010007102
ENSBIXP00000031372	ENSBIXG00000001397	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHBUP00000011157	ENSHBUG00000012765	Haplochromis_burtoni
ENSEEEP00000029236	ENSEEEG00000014012	Electrophorus_electricus
ENSGAFP00000006552	ENSGAFG00000004472	Gambusia_affinis
ENSCCAP00000000601	ENSCCAG00000003557	Cebus_capucinus_imitator	ENSCCAT00000003888
ENSAPEP00000000368	ENSAPEG00000000269	Amphiprion_percula
ENSCMIP00000007341	ENSCMIG00000004047	Callorhinchus_milii
ENSELUP00000000901	ENSELUG00000002449	Esox_lucius
ENSLCRP00005050349	ENSLCRG00005018994	Larimichthys_crocea
ENSSPUP00000016446	ENSSPUG00000012742	Sphenodon_punctatus
ENSCSEP00000009061	ENSCSEG00000005811	Cynoglossus_semilaevis
ENSAMXP00000025662	ENSAMXG00000024956	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSBIXP00005034034	ENSBIXG00005014868	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNMEP00000027509	ENSNMEG00000023023	Numida_meleagris
ENSXMAP00000019526	ENSXMAG00000019479	Xiphophorus_maculatus
ENSPSMP00000003811	ENSPSMG00000003084	Prolemur_simus
ENSMVIP00005020274	ENSMVIG00005014337	Manacus_vitellinus
ENSDNVP00000006799	ENSDNVG00000004873	Dromaius_novaehollandiae
ENSCPUP00000027441	ENSCPUG00000018478	Calidris_pugnax
ENSPKIP00000003601	ENSPKIG00000021041	Paramormyrops_kingsleyae
ENSPKIP00000041714	ENSPKIG00000018170	Paramormyrops_kingsleyae
ENSSFOP00015025553	ENSSFOG00015016431	Scleropages_formosus
ENSAMXP00005030024	ENSAMXG00005014791	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTTRP00000004721	ENSTTRG00000005010	Tursiops_truncatus
ENSGALP00000010316	ENSGALG00000006399	Gallus_gallus
ENSAPLP00000010724	ENSAPLG00000011000	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000021298	ENSLCOG00000015056	Lepidothrix_coronata
ENSFALP00000014829	ENSFALG00000014213	Ficedula_albicollis
ENSCSAP00000019224	ENSCSAG00000019729	Chlorocebus_sabaeus	ENSCSAT00000019819
ENSJHYP00000013192	ENSJHYG00000010235	Junco_hyemalis
ENSPREP00000032666	ENSPREG00000022141	Poecilia_reticulata
ENSSBOP00000003373	ENSSBOG00000016445	Saimiri_boliviensis_boliviensis
ENSCCEP00000011916	ENSCCEG00000011557	Cyanistes_caeruleus
ENSSHAP00000010466	ENSSHAG00000009033	Sarcophilus_harrisii	ENSSHAT00000010559
ENSTGUP00000008191	ENSTGUG00000007952	Taeniopygia_guttata
ENSCGRP00001007523	ENSCGRG00001009930	Cricetulus_griseus_CHOK1GS_HDv1
ENSACIP00000014310	ENSACIG00000011140	Amphilophus_citrinellus
ENSVVUP00000006237	ENSVVUG00000004865	Vulpes_vulpes
ENSSMRP00000008058	ENSSMRG00000006458	Salvator_merianae
ENSABRP00000026445	ENSABRG00000022123	Anser_brachyrhynchus
ENSNSUP00000027054	ENSNSUG00000019386	Notechis_scutatus
ENSLSDP00000024571	ENSLSDG00000017234	Lonchura_striata_domestica
ENSCPGP00000000678	ENSCPGG00000000550	Calidris_pygmaea
ENSCABP00000003228	ENSCABG00000002476	Chelonoidis_abingdonii
ENSMMMP00000020979	ENSMMMG00000018523	Marmota_marmota_marmota
ENSPEMP00000005079	ENSPEMG00000007538	Peromyscus_maniculatus_bairdii
ENSDCDP00000057296	ENSDCDG00000033507	Denticeps_clupeoides
ENSNGAP00000014273	ENSNGAG00000015622	Nannospalax_galili
ENSACAP00000011167	ENSACAG00000011433	Anolis_carolinensis
ENSOCUP00000014004	ENSOCUG00000016299	Oryctolagus_cuniculus
ENSNBRP00000000992	ENSNBRG00000000863	Neolamprologus_brichardi
ENSNVIP00000015233	ENSNVIG00000011971	Neovison_vison
ENSNBRP00000000996	ENSNBRG00000000871	Neolamprologus_brichardi
ENSAHAP00000024367	ENSAHAG00000017009	Apteryx_haastii
ENSCGRP00000025496	ENSCGRG00000018469	Cricetulus_griseus_CriGri_1.0
MGP_PahariEiJ_P0017392	MGP_PahariEiJ_G0013164	Mus_pahari_strain_PAHARI_EIJ
ENSCAFP00000020404	ENSCAFG00000013854	Canis_lupus_familiaris
ENSEBUP00000022949	ENSEBUG00000014147	Eptatretus_burgeri
