ENSCPOP00000004389	ENSCPOG00000004876	Cavia_porcellus
ENSCJAP00000015602	ENSCJAG00000008457	Callithrix_jacchus
ENSCCAP00000016796	ENSCCAG00000026201	Cebus_capucinus_imitator
ENSSBOP00000008673	ENSSBOG00000021234	Saimiri_boliviensis_boliviensis
ENSANAP00000031784	ENSANAG00000033626	Aotus_nancymaae
ENSTSYP00000008131	ENSTSYG00000008858	Carlito_syrichta
ENSMICP00000038992	ENSMICG00000017499	Microcebus_murinus
ENSPCOP00000018738	ENSPCOG00000021273	Propithecus_coquereli
ENSPSMP00000033574	ENSPSMG00000023151	Prolemur_simus
ENSOGAP00000006401	ENSOGAG00000007141	Otolemur_garnettii
ENSCHIP00000020746	ENSCHIG00000019291	Capra_hircus
ENSOARP00000003027	ENSOARG00000002845	Ovis_aries
ENSBIXP00000003338	ENSBIXG00000009753	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045342	ENSBIXG00005029098	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000048842	ENSBTAG00000002624	Bos_taurus
ENSBMUP00000012332	ENSBMUG00000009438	Bos_mutus
ENSBBBP00000024955	ENSBBBG00000020100	Bison_bison_bison
ENSTTRP00000012458	ENSTTRG00000013130	Tursiops_truncatus
ENSVPAP00000000783	ENSVPAG00000000845	Vicugna_pacos
ENSUMAP00000002669	ENSUMAG00000002367	Ursus_maritimus
ENSUAMP00000022174	ENSUAMG00000017436	Ursus_americanus
ENSAMEP00000013265	ENSAMEG00000012579	Ailuropoda_melanoleuca
ENSNVIP00000000782	ENSNVIG00000000692	Neovison_vison
ENSMPUP00000000959	ENSMPUG00000000965	Mustela_putorius_furo
ENSCAFP00000026041	ENSCAFG00000017656	Canis_lupus_familiaris
ENSCAFP00020013409	ENSCAFG00020010751	Canis_lupus_dingo
ENSVVUP00000039297	ENSVVUG00000027962	Vulpes_vulpes
ENSPPRP00000007366	ENSPPRG00000002553	Panthera_pardus
ENSPTIP00000026088	ENSPTIG00000021622	Panthera_tigris_altaica
ENSFCAP00000052085	ENSFCAG00000029753	Felis_catus
ENSEEUP00000001600	ENSEEUG00000001761	Erinaceus_europaeus
ENSECAP00000016735	ENSECAG00000019025	Equus_caballus
ENSEASP00005024200	ENSEASG00005016428	Equus_asinus_asinus
ENSPVAP00000007710	ENSPVAG00000008159	Pteropus_vampyrus
ENSMLUP00000008966	ENSMLUG00000009831	Myotis_lucifugus
ENSPCAP00000002340	ENSPCAG00000002466	Procavia_capensis
ENSETEP00000009351	ENSETEG00000011524	Echinops_telfairi
ENSSARP00000006793	ENSSARG00000007490	Sorex_araneus	ENSSART00000007494
ENSDORP00000003652	ENSDORG00000003911	Dipodomys_ordii	ENSDORT00000003910
ENSDNOP00000026154	ENSDNOG00000037520	Dasypus_novemcinctus
ENSCHOP00000009506	ENSCHOG00000010737	Choloepus_hoffmanni
ENSVURP00010029023	ENSVURG00010022237	Vombatus_ursinus
ENSPCIP00000036001	ENSPCIG00000026564	Phascolarctos_cinereus
ENSSHAP00000020081	ENSSHAG00000017036	Sarcophilus_harrisii
ENSMODP00000003886	ENSMODG00000003193	Monodelphis_domestica
ENSOANP00000006463	ENSOANG00000004071	Ornithorhynchus_anatinus
ENSARWP00000013400	ENSARWG00000009288	Apteryx_rowi
ENSAHAP00000002055	ENSAHAG00000001577	Apteryx_haastii
ENSAOWP00000003264	ENSAOWG00000002290	Apteryx_owenii
ENSDNVP00000007367	ENSDNVG00000005253	Dromaius_novaehollandiae
ENSNPEP00000005691	ENSNPEG00000004287	Nothoprocta_perdicaria
ENSGALP00000056550	ENSGALG00000040136	Gallus_gallus
ENSMGAP00000019584	ENSMGAG00000001515	Meleagris_gallopavo
ENSCJPP00005005494	ENSCJPG00005005209	Coturnix_japonica
ENSNMEP00000017366	ENSNMEG00000015197	Numida_meleagris
ENSAPLP00000031695	ENSAPLG00000011930	Anas_platyrhynchos_platyrhynchos
ENSABRP00000001449	ENSABRG00000001484	Anser_brachyrhynchus
ENSCPUP00000026540	ENSCPUG00000017860	Calidris_pugnax
ENSCPGP00000018939	ENSCPGG00000013241	Calidris_pygmaea
ENSPMJP00000005499	ENSPMJG00000004774	Parus_major
ENSCCEP00000020275	ENSCCEG00000018378	Cyanistes_caeruleus
ENSSCAP00000022738	ENSSCAG00000016312	Serinus_canaria
ENSZALP00000003058	ENSZALG00000003133	Zonotrichia_albicollis
ENSLSDP00000025190	ENSLSDG00000017636	Lonchura_striata_domestica
ENSTGUP00000001634	ENSTGUG00000001586	Taeniopygia_guttata
ENSFALP00000009252	ENSFALG00000008864	Ficedula_albicollis
ENSMVIP00005002169	ENSMVIG00005001619	Manacus_vitellinus
ENSLCOP00000000569	ENSLCOG00000000285	Lepidothrix_coronata
ENSMUNP00000015228	ENSMUNG00000011794	Melopsittacus_undulatus
ENSCPRP00005021465	ENSCPRG00005014911	Crocodylus_porosus
ENSGAGP00000020576	ENSGAGG00000015146	Gopherus_agassizii
ENSCABP00000010475	ENSCABG00000007851	Chelonoidis_abingdonii
ENSCPBP00000037103	ENSCPBG00000025723	Chrysemys_picta_bellii
ENSPSIP00000011063	ENSPSIG00000009919	Pelodiscus_sinensis
ENSACAP00000012585	ENSACAG00000012789	Anolis_carolinensis
ENSPVIP00000012811	ENSPVIG00000009902	Pogona_vitticeps
ENSNSUP00000012943	ENSNSUG00000009697	Notechis_scutatus
ENSSMRP00000000792	ENSSMRG00000000716	Salvator_merianae
ENSSPUP00000016197	ENSSPUG00000012534	Sphenodon_punctatus
ENSXETP00000025195	ENSXETG00000003903	Xenopus_tropicalis
ENSLACP00000004042	ENSLACG00000003599	Latimeria_chalumnae
ENSAMXP00005028447	ENSAMXG00005014173	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000019389	ENSAMXG00000018829	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002285	ENSPNAG00000008704	Pygocentrus_nattereri
ENSIPUP00000036372	ENSIPUG00000024366	Ictalurus_punctatus
ENSEEEP00000041957	ENSEEEG00000019828	Electrophorus_electricus
ENSDARP00000151853	ENSDARG00000089569	Danio_rerio
ENSCHAP00000013830	ENSCHAG00000007347	Clupea_harengus
ENSCHAP00000014200	ENSCHAG00000007672	Clupea_harengus
ENSDCDP00000050779	ENSDCDG00000030927	Denticeps_clupeoides
ENSHHUP00000042980	ENSHHUG00000026431	Hucho_hucho
ENSHHUP00000043735	ENSHHUG00000026836	Hucho_hucho
ENSELUP00000003839	ENSELUG00000005054	Esox_lucius
ENSORLP00015012270	ENSORLG00015013127	Oryzias_latipes_ASM223469v1
ENSORLP00000006708	ENSORLG00000005320	Oryzias_latipes_ASM223467v1
ENSORLP00020005633	ENSORLG00020006461	Oryzias_latipes_ASM223471v1
ENSOMEP00000026895	ENSOMEG00000008984	Oryzias_melastigma
ENSCSEP00000029174	ENSCSEG00000018688	Cynoglossus_semilaevis
ENSTRUP00000037769	ENSTRUG00000014781	Takifugu_rubripes
ENSTNIP00000010358	ENSTNIG00000007549	Tetraodon_nigroviridis
ENSLCAP00010006518	ENSLCAG00010003202	Lates_calcarifer
ENSLCAP00010028317	ENSLCAG00010013291	Lates_calcarifer
ENSSLDP00000007705	ENSSLDG00000006132	Seriola_lalandi_dorsalis
ENSSDUP00000033123	ENSSDUG00000023791	Seriola_dumerili
ENSSMAP00000012592	ENSSMAG00000007745	Scophthalmus_maximus
ENSCGOP00000019987	ENSCGOG00000009640	Cottoperca_gobio
ENSGACP00000021427	ENSGACG00000016240	Gasterosteus_aculeatus
ENSLBEP00000025610	ENSLBEG00000019554	Labrus_bergylta
ENSMAMP00000025122	ENSMAMG00000016881	Mastacembelus_armatus
ENSMALP00000004468	ENSMALG00000003203	Monopterus_albus
ENSBSLP00000007470	ENSBSLG00000003671	Betta_splendens
ENSLCRP00005021103	ENSLCRG00005008589	Larimichthys_crocea
ENSPMEP00000008670	ENSPMEG00000010429	Poecilia_mexicana
ENSPFOP00000013082	ENSPFOG00000012931	Poecilia_formosa
ENSPLAP00000017070	ENSPLAG00000021435	Poecilia_latipinna
ENSPREP00000004251	ENSPREG00000003015	Poecilia_reticulata
ENSXMAP00000004888	ENSXMAG00000004871	Xiphophorus_maculatus
ENSGAFP00000018505	ENSGAFG00000012518	Gambusia_affinis
ENSFHEP00000034821	ENSFHEG00000022732	Fundulus_heteroclitus
ENSCVAP00000019878	ENSCVAG00000023327	Cyprinodon_variegatus
ENSKMAP00000016691	ENSKMAG00000012454	Kryptolebias_marmoratus
ENSMZEP00005000735	ENSMZEG00005000667	Maylandia_zebra
ENSPNYP00000007897	ENSPNYG00000006050	Pundamilia_nyererei
ENSACLP00000002599	ENSACLG00000001782	Astatotilapia_calliptera
ENSHBUP00000024775	ENSHBUG00000006380	Haplochromis_burtoni
ENSONIP00000009555	ENSONIG00000007579	Oreochromis_niloticus
ENSNBRP00000014854	ENSNBRG00000011474	Neolamprologus_brichardi
ENSACIP00000019313	ENSACIG00000015000	Amphilophus_citrinellus
ENSAOCP00000007761	ENSAOCG00000011644	Amphiprion_ocellaris
ENSAPEP00000027470	ENSAPEG00000019506	Amphiprion_percula
ENSAPOP00000005868	ENSAPOG00000007612	Acanthochromis_polyacanthus
ENSSPAP00000015193	ENSSPAG00000011466	Stegastes_partitus
ENSPRNP00000004702	ENSPRNG00000002628	Parambassis_ranga
ENSATEP00000021639	ENSATEG00000014969	Anabas_testudineus
ENSMMOP00000003085	ENSMMOG00000002480	Mola_mola
ENSGWIP00000020197	ENSGWIG00000010966	Gouania_willdenowi
ENSPMGP00000002999	ENSPMGG00000002613	Periophthalmus_magnuspinnatus
ENSGMOP00000015628	ENSGMOG00000014587	Gadus_morhua
ENSPKIP00000002811	ENSPKIG00000020526	Paramormyrops_kingsleyae
ENSSFOP00015022683	ENSSFOG00015014582	Scleropages_formosus
ENSLOCP00000013695	ENSLOCG00000011149	Lepisosteus_oculatus
ENSECRP00000026737	ENSECRG00000018060	Erpetoichthys_calabaricus
ENSCMIP00000020805	ENSCMIG00000009556	Callorhinchus_milii
