ENSHBUP00000004731	ENSHBUG00000006068	Haplochromis_burtoni
ENSSDAP00000002463	ENSSDAG00000002356	Spermophilus_dauricus
ENSLOCP00000002669	ENSLOCG00000002271	Lepisosteus_oculatus
MGP_CAROLIEiJ_P0020628	MGP_CAROLIEiJ_G0014748	Mus_caroli_strain_CAROLI_EIJ
ENSORLP00015035555	ENSORLG00015022323	Oryzias_latipes_ASM223469v1
ENSTGEP00000002642	ENSTGEG00000002295	Theropithecus_gelada
ENSMMMP00000019628	ENSMMMG00000017335	Marmota_marmota_marmota
ENSMAMP00000019422	ENSMAMG00000012759	Mastacembelus_armatus
ENSCJPP00005027545	ENSCJPG00005021347	Coturnix_japonica
ENSODEP00000014360	ENSODEG00000010628	Octodon_degus
ENSHGLP00000025518	ENSHGLG00000018177	Heterocephalus_glaber_HetGla_female_1.0
ENSAPLP00000019264	ENSAPLG00000020139	Anas_platyrhynchos_platyrhynchos
ENSCCNP00000002402	ENSCCNG00000002615	Castor_canadensis
ENSSLDP00000014514	ENSSLDG00000011589	Seriola_lalandi_dorsalis
ENSGALP00000045008	ENSGALG00000040432	Gallus_gallus
ENSCJAP00000015930	ENSCJAG00000008617	Callithrix_jacchus
ENSMPUP00000005015	ENSMPUG00000005054	Mustela_putorius_furo
ENSLACP00000002202	ENSLACG00000001969	Latimeria_chalumnae
ENSNSUP00000019411	ENSNSUG00000014193	Notechis_scutatus
ENSFDAP00000018134	ENSFDAG00000010067	Fukomys_damarensis
ENSMMUP00000030555	ENSMMUG00000023214	Macaca_mulatta
ENSMNEP00000011613	ENSMNEG00000030146	Macaca_nemestrina
ENSACLP00000006816	ENSACLG00000004593	Astatotilapia_calliptera
ENSLCAP00010003925	ENSLCAG00010001993	Lates_calcarifer
ENSPVAP00000002461	ENSPVAG00000002599	Pteropus_vampyrus
ENSUMAP00000028133	ENSUMAG00000020418	Ursus_maritimus
ENSPNAP00000003477	ENSPNAG00000009906	Pygocentrus_nattereri
ENSMMOP00000027656	ENSMMOG00000020906	Mola_mola
ENSBMUP00000005158	ENSBMUG00000004038	Bos_mutus
ENSCHOP00000001878	ENSCHOG00000002119	Choloepus_hoffmanni
ENSFHEP00000015526	ENSFHEG00000017139	Fundulus_heteroclitus
ENSHHUP00000020869	ENSHHUG00000013056	Hucho_hucho
ENSTSYP00000029282	ENSTSYG00000036193	Carlito_syrichta
ENSCVAP00000010738	ENSCVAG00000012902	Cyprinodon_variegatus
ENSGGOP00000002618	ENSGGOG00000002653	Gorilla_gorilla
ENSACAP00000014400	ENSACAG00000014663	Anolis_carolinensis
ENSTTRP00000013493	ENSTTRG00000014214	Tursiops_truncatus
ENSPPRP00000002529	ENSPPRG00000023383	Panthera_pardus
ENSGACP00000018900	ENSGACG00000014317	Gasterosteus_aculeatus
ENSMZEP00005019948	ENSMZEG00005014978	Maylandia_zebra
ENSMICP00000005458	ENSMICG00000005975	Microcebus_murinus
ENSPPYP00000000552	ENSPPYG00000000479	Pongo_abelii
ENSNBRP00000001767	ENSNBRG00000001376	Neolamprologus_brichardi
ENSELUP00000010356	ENSELUG00000010850	Esox_lucius
ENSCMIP00000000070	ENSCMIG00000000075	Callorhinchus_milii
ENSRBIP00000039031	ENSRBIG00000042988	Rhinopithecus_bieti
ENSANAP00000032427	ENSANAG00000033913	Aotus_nancymaae
ENSTNIP00000020764	ENSTNIG00000017617	Tetraodon_nigroviridis
ENSPMEP00000022308	ENSPMEG00000003136	Poecilia_mexicana
ENSCPOP00000003285	ENSCPOG00000003637	Cavia_porcellus
ENSONIP00000020991	ENSONIG00000016664	Oreochromis_niloticus
ENSCAFP00020021487	ENSCAFG00020016984	Canis_lupus_dingo
ENSLBEP00000025589	ENSLBEG00000019079	Labrus_bergylta
ENSPCIP00000032370	ENSPCIG00000024030	Phascolarctos_cinereus
ENSARWP00000004923	ENSARWG00000003549	Apteryx_rowi
ENSCCAP00000016841	ENSCCAG00000026225	Cebus_capucinus_imitator
ENSLACP00000006702	ENSLACG00000005944	Latimeria_chalumnae
ENSPSIP00000011355	ENSPSIG00000010172	Pelodiscus_sinensis
ENSOMEP00000031006	ENSOMEG00000015595	Oryzias_melastigma
ENSBIXP00005028285	ENSBIXG00005007876	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAPEP00000010421	ENSAPEG00000006856	Amphiprion_percula
ENSOANP00000017288	ENSOANG00000010913	Ornithorhynchus_anatinus
ENSCGOP00000052142	ENSCGOG00000023001	Cottoperca_gobio
ENSTBEP00000015015	ENSTBEG00000017232	Tupaia_belangeri
ENSSPUP00000012448	ENSSPUG00000009538	Sphenodon_punctatus
ENSCGRP00000006215	ENSCGRG00000004550	Cricetulus_griseus_CriGri_1.0
ENSDNVP00000021359	ENSDNVG00000014939	Dromaius_novaehollandiae
ENSHCOP00000010785	ENSHCOG00000013891	Hippocampus_comes
ENSFCAP00000006015	ENSFCAG00000006472	Felis_catus
ENSMSIP00000006911	ENSMSIG00000006140	Mus_spicilegus	ENSMSIT00000008769
ENSPCOP00000009497	ENSPCOG00000016119	Propithecus_coquereli
ENSRROP00000032251	ENSRROG00000039792	Rhinopithecus_roxellana
ENSPANP00000006238	ENSPANG00000011979	Papio_anubis
ENSHHUP00000069858	ENSHHUG00000041091	Hucho_hucho
ENSMMOP00000027665	ENSMMOG00000020920	Mola_mola
ENSOCUP00000013349	ENSOCUG00000015524	Oryctolagus_cuniculus
ENSCAFP00000020996	ENSCAFG00000014225	Canis_lupus_familiaris
ENSVPAP00000000438	ENSVPAG00000000466	Vicugna_pacos
ENSABRP00000016631	ENSABRG00000014567	Anser_brachyrhynchus
ENSNLEP00000018784	ENSNLEG00000015448	Nomascus_leucogenys
ENSRNOP00000034649	ENSRNOG00000042860	Rattus_norvegicus
ENSBBBP00000005550	ENSBBBG00000014249	Bison_bison_bison
ENSCPUP00000025551	ENSCPUG00000017275	Calidris_pugnax
ENSPNYP00000015047	ENSPNYG00000011062	Pundamilia_nyererei
ENSCCEP00000023818	ENSCCEG00000021247	Cyanistes_caeruleus
ENSNVIP00000016285	ENSNVIG00000012738	Neovison_vison
ENSZALP00000010609	ENSZALG00000008971	Zonotrichia_albicollis
ENSFALP00000008705	ENSFALG00000008339	Ficedula_albicollis
ENSECAP00000022357	ENSECAG00000024803	Equus_caballus
ENSPRNP00000055962	ENSPRNG00000026194	Parambassis_ranga
ENSPTEP00000008678	ENSPTEG00000009827	Piliocolobus_tephrosceles
ENSLCRP00005047093	ENSLCRG00005017855	Larimichthys_crocea
ENSXCOP00000010474	ENSXCOG00000007924	Xiphophorus_couchianus
ENSMLUP00000007418	ENSMLUG00000008076	Myotis_lucifugus
ENSMUSP00000124022	ENSMUSG00000073530	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000159861
ENSOGAP00000007651	ENSOGAG00000008537	Otolemur_garnettii
ENSMEUP00000013019	ENSMEUG00000014237	Notamacropus_eugenii
ENSNPEP00000014931	ENSNPEG00000011150	Nothoprocta_perdicaria
ENSGAFP00000009294	ENSGAFG00000006332	Gambusia_affinis
ENSSBOP00000008373	ENSSBOG00000021098	Saimiri_boliviensis_boliviensis
ENSACIP00000001090	ENSACIG00000000589	Amphilophus_citrinellus
ENSSHAP00000009469	ENSSHAG00000008194	Sarcophilus_harrisii
ENSAOWP00000024092	ENSAOWG00000016254	Apteryx_owenii
ENSBTAP00000024358	ENSBTAG00000018303	Bos_taurus
ENSPVIP00000023409	ENSPVIG00000017691	Pogona_vitticeps
ENSMOCP00000002270	ENSMOCG00000001768	Microtus_ochrogaster
ENSVURP00010010475	ENSVURG00010008032	Vombatus_ursinus
ENSCANP00000024859	ENSCANG00000035827	Colobus_angolensis_palliatus
ENSSFOP00015029676	ENSSFOG00015018656	Scleropages_formosus
ENSMUNP00000018545	ENSMUNG00000014178	Melopsittacus_undulatus
ENSVVUP00000017696	ENSVVUG00000013016	Vulpes_vulpes
ENSMLEP00000031578	ENSMLEG00000040002	Mandrillus_leucophaeus
ENSEEEP00000009946	ENSEEEG00000005054	Electrophorus_electricus
ENSCABP00000008201	ENSCABG00000006175	Chelonoidis_abingdonii
ENSPFOP00000013767	ENSPFOG00000013446	Poecilia_formosa
ENSPLAP00000017397	ENSPLAG00000022051	Poecilia_latipinna
ENSKMAP00000029012	ENSKMAG00000021504	Kryptolebias_marmoratus
MGP_PahariEiJ_P0075906	MGP_PahariEiJ_G0027984	Mus_pahari_strain_PAHARI_EIJ
ENSPEMP00000022469	ENSPEMG00000019822	Peromyscus_maniculatus_bairdii
ENSMUGP00000026096	ENSMUGG00000021772	Meriones_unguiculatus
ENSPMJP00000025561	ENSPMJG00000018716	Parus_major
ENSXETP00000036639	ENSXETG00000013342	Xenopus_tropicalis
ENSPTRP00000002849	ENSPTRG00000001712	Pan_troglodytes
ENSTSYP00000021954	ENSTSYG00000027372	Carlito_syrichta
ENSIPUP00000026633	ENSIPUG00000018031	Ictalurus_punctatus
ENSJJAP00000017028	ENSJJAG00000018691	Jaculus_jaculus
ENSBIXP00000032449	ENSBIXG00000015045	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPGP00000020286	ENSCPGG00000014199	Calidris_pygmaea
ENSAOCP00000025522	ENSAOCG00000000848	Amphiprion_ocellaris
ENSMODP00000006968	ENSMODG00000005626	Monodelphis_domestica
ENSCSEP00000033151	ENSCSEG00000021282	Cynoglossus_semilaevis
ENSCSEP00000033152	ENSCSEG00000021283	Cynoglossus_semilaevis
