ENSPKIP00000023700	ENSPKIG00000007226	Paramormyrops_kingsleyae	ENSPKIT00000004387
ENSSFOP00015035430	ENSSFOG00015022567	Scleropages_formosus	ENSSFOT00015035815
ENSLCRP00005030426	ENSLCRG00005012098	Larimichthys_crocea
ENSCPRP00005003206	ENSCPRG00005002355	Crocodylus_porosus
ENSPVIP00000024216	ENSPVIG00000018254	Pogona_vitticeps
ENSACAP00000001470	ENSACAG00000001562	Anolis_carolinensis
ENSNSUP00000017992	ENSNSUG00000013187	Notechis_scutatus
ENSSMRP00000030421	ENSSMRG00000023320	Salvator_merianae
ENSSPUP00000013826	ENSSPUG00000010652	Sphenodon_punctatus
ENSAPLP00000024849	ENSAPLG00000015126	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013861	ENSABRG00000012310	Anser_brachyrhynchus
ENSGALP00000011934	ENSGALG00000007389	Gallus_gallus
ENSCJPP00005027714	ENSCJPG00005021444	Coturnix_japonica
ENSMGAP00000008928	ENSMGAG00000008693	Meleagris_gallopavo
ENSNMEP00000006581	ENSNMEG00000006737	Numida_meleagris
ENSLCOP00000001300	ENSLCOG00000001083	Lepidothrix_coronata
ENSMVIP00005012461	ENSMVIG00005009069	Manacus_vitellinus
ENSPMJP00000024671	ENSPMJG00000018108	Parus_major
ENSCCEP00000014766	ENSCCEG00000014065	Cyanistes_caeruleus
ENSFALP00000001451	ENSFALG00000001393	Ficedula_albicollis
ENSLSDP00000021306	ENSLSDG00000015062	Lonchura_striata_domestica
ENSTGUP00000009491	ENSTGUG00000009204	Taeniopygia_guttata
ENSSCAP00000020686	ENSSCAG00000014911	Serinus_canaria
ENSZALP00000004635	ENSZALG00000004345	Zonotrichia_albicollis
ENSJHYP00000002907	ENSJHYG00000002417	Junco_hyemalis
ENSCPGP00000002010	ENSCPGG00000001500	Calidris_pygmaea
ENSCPUP00000002660	ENSCPUG00000002024	Calidris_pugnax
ENSMUNP00000000197	ENSMUNG00000000227	Melopsittacus_undulatus
ENSAOWP00000004065	ENSAOWG00000002829	Apteryx_owenii
ENSAHAP00000012940	ENSAHAG00000009330	Apteryx_haastii
ENSARWP00000011547	ENSARWG00000008012	Apteryx_rowi
ENSDNVP00000016309	ENSDNVG00000011437	Dromaius_novaehollandiae
ENSNPEP00000005934	ENSNPEG00000004479	Nothoprocta_perdicaria
ENSVURP00010024125	ENSVURG00010018491	Vombatus_ursinus
ENSVURP00010029442	ENSVURG00010022511	Vombatus_ursinus
ENSPCIP00000015958	ENSPCIG00000012374	Phascolarctos_cinereus
ENSMODP00000015920	ENSMODG00000012727	Monodelphis_domestica
ENSSHAP00000019183	ENSSHAG00000016288	Sarcophilus_harrisii
ENSPSMP00000013266	ENSPSMG00000009534	Prolemur_simus
ENSMICP00000008947	ENSMICG00000009832	Microcebus_murinus
ENSPCOP00000022372	ENSPCOG00000023277	Propithecus_coquereli
ENSOGAP00000017439	ENSOGAG00000004534	Otolemur_garnettii
ENSRROP00000009829	ENSRROG00000029337	Rhinopithecus_roxellana
ENSRBIP00000012979	ENSRBIG00000030459	Rhinopithecus_bieti
ENSPTEP00000043021	ENSPTEG00000039255	Piliocolobus_tephrosceles
ENSCANP00000005632	ENSCANG00000019144	Colobus_angolensis_palliatus
ENSMFAP00000034895	ENSMFAG00000003914	Macaca_fascicularis
ENSMMUP00000073319	ENSMMUG00000003421	Macaca_mulatta
ENSMNEP00000010248	ENSMNEG00000029546	Macaca_nemestrina
ENSPANP00000020287	ENSPANG00000022460	Papio_anubis
ENSTGEP00000031466	ENSTGEG00000025173	Theropithecus_gelada
ENSCATP00000036948	ENSCATG00000041250	Cercocebus_atys
ENSMLEP00000002887	ENSMLEG00000012072	Mandrillus_leucophaeus
ENSCSAP00000001795	ENSCSAG00000005484	Chlorocebus_sabaeus
ENSPTRP00000015983	ENSPTRG00000009407	Pan_troglodytes
ENSPPAP00000021905	ENSPPAG00000034159	Pan_paniscus
ENSGGOP00000022010	ENSGGOG00000027851	Gorilla_gorilla
ENSP00000285243	ENSG00000154945	Homo_sapiens
ENSPPYP00000009298	ENSPPYG00000008275	Pongo_abelii
ENSNLEP00000034704	ENSNLEG00000027193	Nomascus_leucogenys
ENSSBOP00000026831	ENSSBOG00000029842	Saimiri_boliviensis_boliviensis
ENSCCAP00000017334	ENSCCAG00000026481	Cebus_capucinus_imitator
ENSCJAP00000034613	ENSCJAG00000018627	Callithrix_jacchus
ENSANAP00000039598	ENSANAG00000037190	Aotus_nancymaae
ENSTSYP00000028150	ENSTSYG00000030665	Carlito_syrichta
ENSTBEP00000000077	ENSTBEG00000000093	Tupaia_belangeri
ENSPEMP00000033479	ENSPEMG00000027514	Peromyscus_maniculatus_bairdii
ENSMOCP00000005216	ENSMOCG00000004664	Microtus_ochrogaster
ENSCGRP00000002404	ENSCGRG00000001764	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021719	ENSCGRG00001020484	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00001013407	ENSCGRG00001014554	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000002883	ENSCGRG00000002109	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015030756	ENSCGRG00015023163	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008943	ENSMAUG00000010247	Mesocricetus_auratus
ENSMUSP00000103448	ENSMUSG00000020864	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000008272	ENSMSIG00000007263	Mus_spicilegus
MGP_SPRETEiJ_P0030664	MGP_SPRETEiJ_G0017824	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029249	MGP_CAROLIEiJ_G0016978	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000035562	ENSMSIG00000029595	Mus_spicilegus
MGP_PahariEiJ_P0035960	MGP_PahariEiJ_G0018109	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062992	ENSRNOG00000002935	Rattus_norvegicus
ENSMUGP00000005118	ENSMUGG00000004682	Meriones_unguiculatus
ENSNGAP00000001488	ENSNGAG00000001113	Nannospalax_galili
ENSJJAP00000003124	ENSJJAG00000005910	Jaculus_jaculus
ENSCLAP00000018310	ENSCLAG00000012550	Chinchilla_lanigera
ENSODEP00000022406	ENSODEG00000016447	Octodon_degus
ENSCPOP00000026363	ENSCPOG00000033728	Cavia_porcellus
ENSCAPP00000002897	ENSCAPG00000005792	Cavia_aperea
ENSHGLP00100025949	ENSHGLG00100019033	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015929	ENSHGLG00000011379	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000024301	ENSHGLG00000017318	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000020665	ENSFDAG00000008271	Fukomys_damarensis
ENSSTOP00000024975	ENSSTOG00000004215	Ictidomys_tridecemlineatus
ENSSDAP00000015256	ENSSDAG00000013731	Spermophilus_dauricus
ENSUPAP00010002076	ENSUPAG00010001754	Urocitellus_parryii
ENSMMMP00000024466	ENSMMMG00000021411	Marmota_marmota_marmota
ENSCCNP00000004603	ENSCCNG00000004902	Castor_canadensis
ENSDORP00000018765	ENSDORG00000026320	Dipodomys_ordii
ENSOCUP00000018024	ENSOCUG00000024074	Oryctolagus_cuniculus
ENSOPRP00000012320	ENSOPRG00000013514	Ochotona_princeps
ENSPVAP00000009151	ENSPVAG00000009707	Pteropus_vampyrus
ENSMLUP00000016695	ENSMLUG00000005626	Myotis_lucifugus
ENSECAP00000010343	ENSECAG00000012574	Equus_caballus
ENSEASP00005024925	ENSEASG00005016954	Equus_asinus_asinus
ENSCAFP00020031018	ENSCAFG00020024222	Canis_lupus_dingo
ENSCAFP00000033988	ENSCAFG00000024785	Canis_lupus_familiaris
ENSVVUP00000015141	ENSVVUG00000011107	Vulpes_vulpes
ENSUAMP00000011639	ENSUAMG00000009477	Ursus_americanus
ENSUMAP00000019155	ENSUMAG00000014067	Ursus_maritimus
ENSAMEP00000008197	ENSAMEG00000007780	Ailuropoda_melanoleuca
ENSNVIP00000014460	ENSNVIG00000011348	Neovison_vison
ENSMPUP00000015405	ENSMPUG00000015517	Mustela_putorius_furo
ENSPTIP00000014380	ENSPTIG00000013823	Panthera_tigris_altaica
ENSPPRP00000006524	ENSPPRG00000001942	Panthera_pardus
ENSFCAP00000048930	ENSFCAG00000043849	Felis_catus
ENSEEUP00000009813	ENSEEUG00000010778	Erinaceus_europaeus
ENSBIXP00000030486	ENSBIXG00000012483	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030606	ENSBIXG00005010739	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000002922	ENSBTAG00000002267	Bos_taurus
ENSBMUP00000025849	ENSBMUG00000019386	Bos_mutus
ENSBBBP00000022213	ENSBBBG00000003977	Bison_bison_bison
ENSCHIP00000021440	ENSCHIG00000019765	Capra_hircus
ENSOARP00000003710	ENSOARG00000003478	Ovis_aries
ENSTTRP00000000206	ENSTTRG00000000221	Tursiops_truncatus
ENSSSCP00000037281	ENSSSCG00000038760	Sus_scrofa_strain_reference
ENSCHOP00000007571	ENSCHOG00000008566	Choloepus_hoffmanni
ENSLAFP00000005921	ENSLAFG00000007050	Loxodonta_africana
ENSPCAP00000008760	ENSPCAG00000009379	Procavia_capensis
ENSVPAP00000005471	ENSVPAG00000005892	Vicugna_pacos
ENSSARP00000003238	ENSSARG00000003607	Sorex_araneus
ENSDNOP00000033373	ENSDNOG00000037399	Dasypus_novemcinctus
ENSOANP00000025707	ENSOANG00000020231	Ornithorhynchus_anatinus
ENSCABP00000016026	ENSCABG00000011955	Chelonoidis_abingdonii
ENSGAGP00000009087	ENSGAGG00000007176	Gopherus_agassizii
ENSCPBP00000041093	ENSCPBG00000028203	Chrysemys_picta_bellii
ENSPSIP00000014496	ENSPSIG00000013002	Pelodiscus_sinensis
ENSAPLP00000015387	ENSAPLG00000015535	Anas_platyrhynchos_platyrhynchos
ENSABRP00000013857	ENSABRG00000012298	Anser_brachyrhynchus
ENSGALP00000041530	ENSGALG00000026189	Gallus_gallus
ENSCJPP00005027704	ENSCJPG00005021440	Coturnix_japonica
ENSMGAP00000008874	ENSMGAG00000008652	Meleagris_gallopavo
ENSNMEP00000006584	ENSNMEG00000006742	Numida_meleagris
ENSMVIP00005012489	ENSMVIG00005009084	Manacus_vitellinus
ENSLCOP00000001298	ENSLCOG00000001081	Lepidothrix_coronata
ENSSCAP00000020665	ENSSCAG00000014897	Serinus_canaria
ENSLSDP00000021350	ENSLSDG00000015092	Lonchura_striata_domestica
ENSJHYP00000002817	ENSJHYG00000002355	Junco_hyemalis
ENSZALP00000004631	ENSZALG00000004343	Zonotrichia_albicollis
ENSPMJP00000024666	ENSPMJG00000018106	Parus_major
ENSCCEP00000014771	ENSCCEG00000014068	Cyanistes_caeruleus
ENSCPGP00000001894	ENSCPGG00000001413	Calidris_pygmaea
ENSCPUP00000002645	ENSCPUG00000002008	Calidris_pugnax
ENSMUNP00000000225	ENSMUNG00000000250	Melopsittacus_undulatus
ENSARWP00000011554	ENSARWG00000008015	Apteryx_rowi
ENSAHAP00000013113	ENSAHAG00000009426	Apteryx_haastii
ENSAOWP00000004077	ENSAOWG00000002839	Apteryx_owenii
ENSDNVP00000016339	ENSDNVG00000011455	Dromaius_novaehollandiae
ENSNPEP00000005914	ENSNPEG00000004462	Nothoprocta_perdicaria
ENSTGUP00000009511	ENSTGUG00000009233	Taeniopygia_guttata
ENSFALP00000001456	ENSFALG00000001399	Ficedula_albicollis
ENSSPUP00000013866	ENSSPUG00000010689	Sphenodon_punctatus
ENSPVIP00000024214	ENSPVIG00000018252	Pogona_vitticeps
ENSNSUP00000017989	ENSNSUG00000013184	Notechis_scutatus
ENSSMRP00000030424	ENSSMRG00000023322	Salvator_merianae
ENSMUSP00000153501	ENSMUSG00000094091	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000008063	ENSMSIG00000007162	Mus_spicilegus
MGP_SPRETEiJ_P0030649	MGP_SPRETEiJ_G0017822	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029237	MGP_CAROLIEiJ_G0016976	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0035947	MGP_PahariEiJ_G0018107	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000064539	ENSRNOG00000045669	Rattus_norvegicus
ENSMUGP00000005163	ENSMUGG00000004759	Meriones_unguiculatus
ENSPEMP00000032798	ENSPEMG00000027053	Peromyscus_maniculatus_bairdii
ENSPSMP00000013150	ENSPSMG00000009457	Prolemur_simus
ENSSDAP00000015190	ENSSDAG00000013688	Spermophilus_dauricus
ENSUPAP00010001855	ENSUPAG00010001580	Urocitellus_parryii
ENSMMMP00000024455	ENSMMMG00000021403	Marmota_marmota_marmota
ENSCGRP00015030643	ENSCGRG00015023080	Cricetulus_griseus_CriGri-PICR
ENSTGEP00000031371	ENSTGEG00000025114	Theropithecus_gelada
ENSMMUP00000075699	ENSMMUG00000057364	Macaca_mulatta
ENSCATP00000023612	ENSCATG00000035360	Cercocebus_atys
ENSCSAP00000001799	ENSCSAG00000005488	Chlorocebus_sabaeus
ENSPTEP00000043048	ENSPTEG00000039271	Piliocolobus_tephrosceles
ENSP00000494384	ENSG00000167117	Homo_sapiens
ENSCJAP00000068719	ENSCJAG00000067605	Callithrix_jacchus
ENSBIXP00000006403	ENSBIXG00000001185	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030766	ENSBIXG00005006203	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000035168	ENSBTAG00000025183	Bos_taurus
ENSBMUP00000025742	ENSBMUG00000019304	Bos_mutus
ENSBBBP00000007906	ENSBBBG00000015925	Bison_bison_bison
ENSBIXP00005001344	ENSBIXG00005000002	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000021343	ENSBIXG00000004936	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000014957	ENSBMUG00000011378	Bos_mutus
ENSBTAP00000063732	ENSBTAG00000046904	Bos_taurus
ENSBBBP00000010487	ENSBBBG00000009142	Bison_bison_bison
ENSOARP00000003491	ENSOARG00000003280	Ovis_aries
ENSCHIP00000001412	ENSCHIG00000002887	Capra_hircus
ENSSSCP00000018605	ENSSSCG00000017556	Sus_scrofa_strain_reference
ENSCAFP00020031023	ENSCAFG00020024224	Canis_lupus_dingo
ENSVVUP00000015155	ENSVVUG00000011120	Vulpes_vulpes
ENSUMAP00000019125	ENSUMAG00000014050	Ursus_maritimus
ENSUAMP00000011629	ENSUAMG00000009468	Ursus_americanus
ENSAMEP00000008252	ENSAMEG00000007841	Ailuropoda_melanoleuca
ENSMPUP00000015439	ENSMPUG00000015550	Mustela_putorius_furo
ENSNVIP00000014546	ENSNVIG00000011421	Neovison_vison
ENSPTIP00000018652	ENSPTIG00000016714	Panthera_tigris_altaica
ENSLAFP00000022940	ENSLAFG00000030205	Loxodonta_africana
ENSVURP00010018279	ENSVURG00010013942	Vombatus_ursinus
ENSMODP00000045050	ENSMODG00000038141	Monodelphis_domestica
ENSXETP00000046729	ENSXETG00000017356	Xenopus_tropicalis
ENSLACP00000006617	ENSLACG00000005868	Latimeria_chalumnae
ENSCMIP00000039073	ENSCMIG00000016388	Callorhinchus_milii
ENSEBUP00000026321	ENSEBUG00000016215	Eptatretus_burgeri
