ENSPPRP00000019568	ENSPPRG00000011350	Panthera_pardus
ENSCGRP00000017171	ENSCGRG00000012487	Cricetulus_griseus_CriGri_1.0
ENSCANP00000002088	ENSCANG00000007015	Colobus_angolensis_palliatus
ENSAPOP00000009917	ENSAPOG00000012270	Acanthochromis_polyacanthus
ENSMUSP00000081232	ENSMUSG00000028760	Mus_musculus_strain_reference_(CL57BL6)
ENSAPOP00000027620	ENSAPOG00000012338	Acanthochromis_polyacanthus
ENSODEP00000021575	ENSODEG00000015879	Octodon_degus
ENSLCAP00010021880	ENSLCAG00010009082	Lates_calcarifer
ENSMOCP00000017019	ENSMOCG00000015735	Microtus_ochrogaster
ENSDNOP00000001486	ENSDNOG00000001924	Dasypus_novemcinctus
ENSCMIP00000010969	ENSCMIG00000004682	Callorhinchus_milii
ENSRBIP00000024963	ENSRBIG00000036003	Rhinopithecus_bieti
ENSMFAP00000021611	ENSMFAG00000033446	Macaca_fascicularis
ENSTGUP00000002212	ENSTGUG00000002122	Taeniopygia_guttata	ENSTGUT00000002232
ENSLACP00000020064	ENSLACG00000017636	Latimeria_chalumnae
ENSONIP00000000879	ENSONIG00000000697	Oreochromis_niloticus
ENSBTAP00000064880	ENSBTAG00000040215	Bos_taurus
ENSODEP00000020086	ENSODEG00000014814	Octodon_degus
ENSTBEP00000001137	ENSTBEG00000001280	Tupaia_belangeri
ENSMSIP00000015124	ENSMSIG00000012699	Mus_spicilegus
ENSMODP00000019955	ENSMODG00000015988	Monodelphis_domestica
ENSCABP00000020470	ENSCABG00000008722	Chelonoidis_abingdonii
ENSHGLP00100020373	ENSHGLG00100015026	Heterocephalus_glaber_HetGla_1.0
ENSDORP00000018087	ENSDORG00000029843	Dipodomys_ordii
