ENSPPYP00000016992	ENSPPYG00000015211	Pongo_abelii
ENSCJPP00005011555	ENSCJPG00005009932	Coturnix_japonica	ENSCJPT00005016897
ENSUPAP00010019500	ENSUPAG00010015450	Urocitellus_parryii
ENSSCAP00000013842	ENSSCAG00000010219	Serinus_canaria
ENSORLP00015005059	ENSORLG00015005822	Oryzias_latipes_ASM223469v1
ENSFHEP00000026186	ENSFHEG00000008872	Fundulus_heteroclitus
ENSMPUP00000001855	ENSMPUG00000001870	Mustela_putorius_furo
ENSP00000389427	ENSG00000164118	Homo_sapiens
ENSPLAP00000018145	ENSPLAG00000022729	Poecilia_latipinna
ENSAOCP00000024880	ENSAOCG00000012043	Amphiprion_ocellaris
ENSPVAP00000015174	ENSPVAG00000016075	Pteropus_vampyrus
ENSPANP00000029208	ENSPANG00000011904	Papio_anubis
ENSAHAP00000022930	ENSAHAG00000016035	Apteryx_haastii
ENSVVUP00000022933	ENSVVUG00000016785	Vulpes_vulpes
ENSRBIP00000011842	ENSRBIG00000029834	Rhinopithecus_bieti
ENSMLUP00000008200	ENSMLUG00000008984	Myotis_lucifugus
ENSIPUP00000004403	ENSIPUG00000003087	Ictalurus_punctatus
ENSACIP00000005340	ENSACIG00000004217	Amphilophus_citrinellus
ENSPKIP00000028485	ENSPKIG00000010095	Paramormyrops_kingsleyae
ENSLCOP00000020769	ENSLCOG00000014690	Lepidothrix_coronata
ENSPVIP00000001168	ENSPVIG00000001055	Pogona_vitticeps
ENSMUGP00000014073	ENSMUGG00000012191	Meriones_unguiculatus
ENSCMIP00000006589	ENSCMIG00000003718	Callorhinchus_milii
ENSPMAP00000003126	ENSPMAG00000002871	Petromyzon_marinus
ENSSSCP00000045940	ENSSSCG00000032475	Sus_scrofa_strain_reference
ENSGALP00000069946	ENSGALG00000020201	Gallus_gallus	ENSGALT00000103572
ENSMSIP00000003602	ENSMSIG00000003325	Mus_spicilegus
ENSPNYP00000022055	ENSPNYG00000016653	Pundamilia_nyererei
ENSECRP00000024248	ENSECRG00000016427	Erpetoichthys_calabaricus
ENSMUNP00000019911	ENSMUNG00000015188	Melopsittacus_undulatus
ENSRNOP00000014083	ENSRNOG00000010566	Rattus_norvegicus
ENSPLAP00000021183	ENSPLAG00000004725	Poecilia_latipinna
ENSNPEP00000004627	ENSNPEG00000003525	Nothoprocta_perdicaria
ENSPNAP00000012383	ENSPNAG00000018114	Pygocentrus_nattereri
ENSCGRP00015008243	ENSCGRG00015006386	Cricetulus_griseus_CriGri-PICR
ENSPTEP00000005454	ENSPTEG00000006297	Piliocolobus_tephrosceles
ENSMMMP00000015847	ENSMMMG00000014097	Marmota_marmota_marmota
ENSCHIP00000032182	ENSCHIG00000026241	Capra_hircus
ENSAMEP00000014944	ENSAMEG00000014171	Ailuropoda_melanoleuca
ENSETEP00000006488	ENSETEG00000007989	Echinops_telfairi
ENSAPOP00000006360	ENSAPOG00000008179	Acanthochromis_polyacanthus
ENSLBEP00000027151	ENSLBEG00000020625	Labrus_bergylta
ENSACAP00000005441	ENSACAG00000005564	Anolis_carolinensis
ENSCHOP00000010856	ENSCHOG00000012270	Choloepus_hoffmanni
ENSGWIP00000000112	ENSGWIG00000000055	Gouania_willdenowi
ENSPRNP00000034928	ENSPRNG00000017547	Parambassis_ranga
ENSJHYP00000013177	ENSJHYG00000010226	Junco_hyemalis
ENSLBEP00000019856	ENSLBEG00000015283	Labrus_bergylta
ENSSHAP00000012758	ENSSHAG00000010919	Sarcophilus_harrisii
ENSPMJP00000001896	ENSPMJG00000001567	Parus_major
ENSODEP00000016045	ENSODEG00000011812	Octodon_degus
ENSTGEP00000027585	ENSTGEG00000022266	Theropithecus_gelada
ENSPPRP00000000809	ENSPPRG00000024573	Panthera_pardus
ENSAPLP00000002634	ENSAPLG00000003165	Anas_platyrhynchos_platyrhynchos
ENSPSIP00000014435	ENSPSIG00000012942	Pelodiscus_sinensis
ENSGGOP00000026264	ENSGGOG00000025044	Gorilla_gorilla
ENSOANP00000008912	ENSOANG00000005601	Ornithorhynchus_anatinus
ENSPCIP00000029593	ENSPCIG00000022019	Phascolarctos_cinereus
ENSGAGP00000024062	ENSGAGG00000017605	Gopherus_agassizii
ENSSPAP00000001372	ENSSPAG00000001036	Stegastes_partitus
ENSMAUP00000010265	ENSMAUG00000011204	Mesocricetus_auratus
ENSTSYP00000001161	ENSTSYG00000001254	Carlito_syrichta
ENSMODP00000004403	ENSMODG00000003603	Monodelphis_domestica
ENSELUP00000012980	ENSELUG00000013171	Esox_lucius
ENSOGAP00000008325	ENSOGAG00000009295	Otolemur_garnettii
ENSCPRP00005016215	ENSCPRG00005011324	Crocodylus_porosus
ENSCJAP00000009517	ENSCJAG00000005195	Callithrix_jacchus
ENSXETP00000038544	ENSXETG00000001094	Xenopus_tropicalis
ENSPTRP00000078407	ENSPTRG00000016605	Pan_troglodytes
ENSDCDP00000010459	ENSDCDG00000005235	Denticeps_clupeoides
ENSECAP00000051864	ENSECAG00000005916	Equus_caballus
ENSSFOP00015030964	ENSSFOG00015019847	Scleropages_formosus
ENSBIXP00000021843	ENSBIXG00000006319	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSMRP00000011992	ENSSMRG00000009396	Salvator_merianae
ENSCHAP00000054059	ENSCHAG00000024534	Clupea_harengus
ENSXMAP00000017570	ENSXMAG00000017542	Xiphophorus_maculatus
ENSCPGP00000014925	ENSCPGG00000010541	Calidris_pygmaea
ENSNLEP00000008143	ENSNLEG00000006689	Nomascus_leucogenys
ENSNVIP00000031854	ENSNVIG00000024523	Neovison_vison
ENSLSDP00000013569	ENSLSDG00000009838	Lonchura_striata_domestica
ENSVURP00010010716	ENSVURG00010008280	Vombatus_ursinus
ENSPSMP00000028796	ENSPSMG00000020017	Prolemur_simus
ENSCLAP00000023650	ENSCLAG00000016227	Chinchilla_lanigera
ENSEBUP00000019824	ENSEBUG00000012309	Eptatretus_burgeri
ENSNGAP00000025358	ENSNGAG00000023339	Nannospalax_galili
ENSCGOP00000030086	ENSCGOG00000013986	Cottoperca_gobio
ENSCATP00000016903	ENSCATG00000032368	Cercocebus_atys
ENSSDAP00000015647	ENSSDAG00000014123	Spermophilus_dauricus
ENSPTIP00000002940	ENSPTIG00000005771	Panthera_tigris_altaica
ENSMALP00000015213	ENSMALG00000010673	Monopterus_albus
ENSCGRP00001017065	ENSCGRG00001017213	Cricetulus_griseus_CHOK1GS_HDv1
ENSTBEP00000011664	ENSTBEG00000013467	Tupaia_belangeri
ENSNMEP00000016597	ENSNMEG00000014607	Numida_meleagris	ENSNMET00000024719
ENSBMUP00000030984	ENSBMUG00000023137	Bos_mutus
MGP_CAROLIEiJ_P0084467	MGP_CAROLIEiJ_G0031062	Mus_caroli_strain_CAROLI_EIJ
ENSFALP00000011997	ENSFALG00000011499	Ficedula_albicollis
ENSUMAP00000030018	ENSUMAG00000021708	Ursus_maritimus
ENSHGLP00100012015	ENSHGLG00100008907	Heterocephalus_glaber_HetGla_1.0
