MGP_CAROLIEiJ_P0044429	MGP_CAROLIEiJ_G0021502	Mus_caroli_strain_CAROLI_EIJ
ENSFCAP00000004158	ENSFCAG00000004504	Felis_catus
ENSSMAP00000015529	ENSSMAG00000009514	Scophthalmus_maximus
ENSODEP00000024642	ENSODEG00000018038	Octodon_degus
ENSAPOP00000004718	ENSAPOG00000006375	Acanthochromis_polyacanthus
ENSCPOP00000009695	ENSCPOG00000010799	Cavia_porcellus
ENSCANP00000030167	ENSCANG00000038614	Colobus_angolensis_palliatus
ENSMMUP00000034076	ENSMMUG00000015686	Macaca_mulatta
ENSORLP00000016437	ENSORLG00000013112	Oryzias_latipes_ASM223467v1
ENSCPBP00000018686	ENSCPBG00000013423	Chrysemys_picta_bellii
ENSNBRP00000026800	ENSNBRG00000020472	Neolamprologus_brichardi
ENSAMEP00000009731	ENSAMEG00000009210	Ailuropoda_melanoleuca
ENSMFAP00000006419	ENSMFAG00000000198	Macaca_fascicularis
ENSUMAP00000019248	ENSUMAG00000014137	Ursus_maritimus
ENSMOCP00000011022	ENSMOCG00000011271	Microtus_ochrogaster
ENSTSYP00000031020	ENSTSYG00000032241	Carlito_syrichta
ENSVVUP00000028783	ENSVVUG00000020926	Vulpes_vulpes
ENSSPUP00000012885	ENSSPUG00000009937	Sphenodon_punctatus
ENSSPAP00000024611	ENSSPAG00000018601	Stegastes_partitus
ENSSMRP00000011172	ENSSMRG00000008792	Salvator_merianae
ENSSHAP00000003009	ENSSHAG00000002668	Sarcophilus_harrisii
ENSETEP00000003121	ENSETEG00000003802	Echinops_telfairi
ENSEASP00005023888	ENSEASG00005015798	Equus_asinus_asinus
ENSHCOP00000023508	ENSHCOG00000012096	Hippocampus_comes
ENSVURP00010003028	ENSVURG00010002450	Vombatus_ursinus
ENSHGLP00100015071	ENSHGLG00100011153	Heterocephalus_glaber_HetGla_1.0
ENSTBEP00000010987	ENSTBEG00000012666	Tupaia_belangeri
ENSTNIP00000010832	ENSTNIG00000008010	Tetraodon_nigroviridis
ENSSLDP00000033054	ENSSLDG00000025306	Seriola_lalandi_dorsalis
ENSIPUP00000008006	ENSIPUG00000005450	Ictalurus_punctatus
ENSFDAP00000005381	ENSFDAG00000014417	Fukomys_damarensis
ENSMSIP00000006456	ENSMSIG00000005772	Mus_spicilegus
ENSGGOP00000051704	ENSGGOG00000009970	Gorilla_gorilla
ENSCABP00000006371	ENSCABG00000003776	Chelonoidis_abingdonii
ENSPREP00000019789	ENSPREG00000013335	Poecilia_reticulata
ENSCCAP00000026004	ENSCCAG00000030782	Cebus_capucinus_imitator
ENSOCUP00000018236	ENSOCUG00000023272	Oryctolagus_cuniculus
ENSPTRP00000076853	ENSPTRG00000017977	Pan_troglodytes
ENSMICP00000023215	ENSMICG00000005816	Microcebus_murinus
ENSGMOP00000015943	ENSGMOG00000014851	Gadus_morhua
MGP_PahariEiJ_P0043968	MGP_PahariEiJ_G0020497	Mus_pahari_strain_PAHARI_EIJ
ENSSARP00000011948	ENSSARG00000013212	Sorex_araneus
ENSMALP00000032761	ENSMALG00000022533	Monopterus_albus
ENSAMXP00000036774	ENSAMXG00000037005	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000042027
ENSGACP00000012645	ENSGACG00000009564	Gasterosteus_aculeatus
ENSDNOP00000031956	ENSDNOG00000036484	Dasypus_novemcinctus
ENSPFOP00000015870	ENSPFOG00000015783	Poecilia_formosa
ENSECRP00000022100	ENSECRG00000014948	Erpetoichthys_calabaricus
ENSSDAP00000006451	ENSSDAG00000005966	Spermophilus_dauricus
ENSCATP00000040256	ENSCATG00000042679	Cercocebus_atys
ENSCJAP00000005395	ENSCJAG00000002906	Callithrix_jacchus
ENSSBOP00000018220	ENSSBOG00000025562	Saimiri_boliviensis_boliviensis
ENSOANP00000020281	ENSOANG00000012820	Ornithorhynchus_anatinus
ENSCVAP00000019023	ENSCVAG00000022352	Cyprinodon_variegatus
ENSLCAP00010006335	ENSLCAG00010003106	Lates_calcarifer
ENSOMEP00000013652	ENSOMEG00000015125	Oryzias_melastigma
ENSEEEP00000006723	ENSEEEG00000003555	Electrophorus_electricus
ENSRNOP00000071617	ENSRNOG00000056637	Rattus_norvegicus
ENSRBIP00000003433	ENSRBIG00000016129	Rhinopithecus_bieti
ENSSSCP00000063606	ENSSSCG00000034923	Sus_scrofa_strain_reference
ENSPEMP00000012226	ENSPEMG00000012607	Peromyscus_maniculatus_bairdii
ENSLAFP00000007966	ENSLAFG00000009495	Loxodonta_africana
ENSHHUP00000063444	ENSHHUG00000037486	Hucho_hucho
ENSPNYP00000029837	ENSPNYG00000022491	Pundamilia_nyererei
ENSMMOP00000020773	ENSMMOG00000015796	Mola_mola
ENSEEUP00000011348	ENSEEUG00000012401	Erinaceus_europaeus
ENSCSAP00000004882	ENSCSAG00000008633	Chlorocebus_sabaeus
ENSXCOP00000025661	ENSXCOG00000019167	Xiphophorus_couchianus
ENSTTRP00000013376	ENSTTRG00000014105	Tursiops_truncatus
ENSBSLP00000015123	ENSBSLG00000007876	Betta_splendens
ENSMAUP00000011966	ENSMAUG00000012397	Mesocricetus_auratus
ENSDARP00000103741	ENSDARG00000078929	Danio_rerio
ENSMLUP00000008600	ENSMLUG00000009427	Myotis_lucifugus
ENSXMAP00000037894	ENSXMAG00000028465	Xiphophorus_maculatus
ENSCAPP00000005565	ENSCAPG00000007854	Cavia_aperea
ENSLACP00000017675	ENSLACG00000015567	Latimeria_chalumnae
ENSMNEP00000022397	ENSMNEG00000034721	Macaca_nemestrina
ENSELUP00000005583	ENSELUG00000006643	Esox_lucius
ENSTRUP00000005648	ENSTRUG00000002440	Takifugu_rubripes
ENSMUSP00000007251	ENSMUSG00000007036	Mus_musculus_strain_reference_(CL57BL6)
ENSXETP00000001151	ENSXETG00000012430	Xenopus_tropicalis
ENSJJAP00000008407	ENSJJAG00000012572	Jaculus_jaculus
ENSP00000379282	ENSG00000204427	Homo_sapiens
ENSPKIP00000038736	ENSPKIG00000016395	Paramormyrops_kingsleyae	ENSPKIT00000019730
ENSNLEP00000007567	ENSNLEG00000006226	Nomascus_leucogenys
ENSSFOP00015022326	ENSSFOG00015014363	Scleropages_formosus	ENSSFOT00015022573
ENSPRNP00000046223	ENSPRNG00000022299	Parambassis_ranga
ENSPVAP00000011674	ENSPVAG00000012384	Pteropus_vampyrus
ENSCAFP00020026353	ENSCAFG00020020720	Canis_lupus_dingo
ENSATEP00000029253	ENSATEG00000020144	Anabas_testudineus
ENSAMXP00005037788	ENSAMXG00005017768	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSACLP00000038152	ENSACLG00000025756	Astatotilapia_calliptera
