ENSHGLP00100005629	ENSHGLG00100004267	Heterocephalus_glaber_HetGla_1.0
ENSCJAP00000069316	ENSCJAG00000006536	Callithrix_jacchus
ENSANAP00000027602	ENSANAG00000031653	Aotus_nancymaae
ENSOARP00000000813	ENSOARG00000000789	Ovis_aries
ENSCPOP00000006511	ENSCPOG00000007225	Cavia_porcellus
ENSJJAP00000024304	ENSJJAG00000023812	Jaculus_jaculus
ENSDNOP00000020443	ENSDNOG00000035072	Dasypus_novemcinctus	ENSDNOT00000031044
ENSECAP00000050122	ENSECAG00000009300	Equus_caballus	ENSECAT00000067259
ENSMLEP00000003715	ENSMLEG00000016232	Mandrillus_leucophaeus
ENSPTEP00000024121	ENSPTEG00000024675	Piliocolobus_tephrosceles
ENSNLEP00000002553	ENSNLEG00000002098	Nomascus_leucogenys
ENSMODP00000029407	ENSMODG00000017556	Monodelphis_domestica	ENSMODT00000030981
ENSUMAP00000011438	ENSUMAG00000008598	Ursus_maritimus
ENSRBIP00000022586	ENSRBIG00000035234	Rhinopithecus_bieti
ENSSSCP00000003910	ENSSSCG00000003606	Sus_scrofa_strain_reference
ENSEASP00005015667	ENSEASG00005010908	Equus_asinus_asinus
ENSBIXP00005007492	ENSBIXG00005001401	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPANP00000042079	ENSPANG00000017826	Papio_anubis
ENSMMUP00000040460	ENSMMUG00000005466	Macaca_mulatta
ENSTGEP00000018655	ENSTGEG00000015029	Theropithecus_gelada
ENSSDAP00000013968	ENSSDAG00000012606	Spermophilus_dauricus
ENSPPAP00000002395	ENSPPAG00000010696	Pan_paniscus
ENSCSAP00000016972	ENSCSAG00000001041	Chlorocebus_sabaeus
ENSMAUP00000014629	ENSMAUG00000014337	Mesocricetus_auratus
ENSVPAP00000006474	ENSVPAG00000006963	Vicugna_pacos
ENSMUSP00000081284	ENSMUSG00000028784	Mus_musculus_strain_reference_(CL57BL6)
ENSPCIP00000027585	ENSPCIG00000020630	Phascolarctos_cinereus	ENSPCIT00000033938
ENSBMUP00000011073	ENSBMUG00000008539	Bos_mutus
ENSEEUP00000012657	ENSEEUG00000013845	Erinaceus_europaeus
ENSMICP00000001291	ENSMICG00000001411	Microcebus_murinus
ENSFDAP00000015425	ENSFDAG00000003276	Fukomys_damarensis
ENSSHAP00000003899	ENSSHAG00000003434	Sarcophilus_harrisii
ENSOANP00000019555	ENSOANG00000012359	Ornithorhynchus_anatinus
ENSPCAP00000004548	ENSPCAG00000004707	Procavia_capensis
ENSDORP00000013540	ENSDORG00000014399	Dipodomys_ordii
ENSPPRP00000015470	ENSPPRG00000008092	Panthera_pardus
ENSODEP00000006198	ENSODEG00000004641	Octodon_degus
ENSCGRP00000020523	ENSCGRG00000014926	Cricetulus_griseus_CriGri_1.0
ENSUAMP00000005040	ENSUAMG00000004537	Ursus_americanus
ENSUPAP00010023820	ENSUPAG00010018876	Urocitellus_parryii
ENSSBOP00000023136	ENSSBOG00000028069	Saimiri_boliviensis_boliviensis
ENSOCUP00000005045	ENSOCUG00000005815	Oryctolagus_cuniculus
ENSBIXP00000016191	ENSBIXG00000000373	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCGRP00015012779	ENSCGRG00015009792	Cricetulus_griseus_CriGri-PICR
ENSCCNP00000018218	ENSCCNG00000018499	Castor_canadensis
ENSPSMP00000002667	ENSPSMG00000002126	Prolemur_simus
ENSP00000353670	ENSG00000134668	Homo_sapiens
ENSNGAP00000017147	ENSNGAG00000017658	Nannospalax_galili
ENSGAGP00000001195	ENSGAGG00000000965	Gopherus_agassizii
ENSCAFP00000056523	ENSCAFG00000010825	Canis_lupus_familiaris
ENSHGLP00000024714	ENSHGLG00000017620	Heterocephalus_glaber_HetGla_female_1.0
ENSMUGP00000003497	ENSMUGG00000003249	Meriones_unguiculatus
