ENSFALP00000006924	ENSFALG00000006633	Ficedula_albicollis
ENSPSIP00000014944	ENSPSIG00000013386	Pelodiscus_sinensis
ENSPCIP00000049504	ENSPCIG00000031153	Phascolarctos_cinereus
ENSVURP00010010505	ENSVURG00010008129	Vombatus_ursinus
ENSMEUP00000014613	ENSMEUG00000015986	Notamacropus_eugenii
ENSMODP00000013013	ENSMODG00000010382	Monodelphis_domestica
ENSDNOP00000030138	ENSDNOG00000038065	Dasypus_novemcinctus
ENSDNOP00000022259	ENSDNOG00000049544	Dasypus_novemcinctus
ENSPCOP00000030610	ENSPCOG00000028033	Propithecus_coquereli
ENSMICP00000037768	ENSMICG00000034729	Microcebus_murinus
ENSPSMP00000029980	ENSPSMG00000020793	Prolemur_simus
ENSPTRP00000087186	ENSPTRG00000050009	Pan_troglodytes
ENSPPAP00000009105	ENSPPAG00000027773	Pan_paniscus
ENSP00000301336	ENSG00000167705	Homo_sapiens
ENSGGOP00000005398	ENSGGOG00000005513	Gorilla_gorilla
ENSPPYP00000008762	ENSPPYG00000007776	Pongo_abelii
ENSNLEP00000001038	ENSNLEG00000000872	Nomascus_leucogenys
ENSCANP00000012389	ENSCANG00000029594	Colobus_angolensis_palliatus
ENSPTEP00000012738	ENSPTEG00000014302	Piliocolobus_tephrosceles
ENSRBIP00000037602	ENSRBIG00000042377	Rhinopithecus_bieti
ENSRROP00000000027	ENSRROG00000000050	Rhinopithecus_roxellana
ENSMNEP00000011239	ENSMNEG00000029980	Macaca_nemestrina
ENSMFAP00000009061	ENSMFAG00000001002	Macaca_fascicularis
ENSCSAP00000010079	ENSCSAG00000013947	Chlorocebus_sabaeus
ENSMLEP00000018762	ENSMLEG00000033580	Mandrillus_leucophaeus
ENSTGEP00000018250	ENSTGEG00000014739	Theropithecus_gelada
ENSPANP00000019478	ENSPANG00000024606	Papio_anubis
ENSCATP00000022520	ENSCATG00000034884	Cercocebus_atys
ENSCJAP00000055442	ENSCJAG00000040878	Callithrix_jacchus
ENSSBOP00000017732	ENSSBOG00000025512	Saimiri_boliviensis_boliviensis
ENSCCAP00000038680	ENSCCAG00000037172	Cebus_capucinus_imitator
ENSANAP00000010413	ENSANAG00000023205	Aotus_nancymaae
ENSTBEP00000006045	ENSTBEG00000006995	Tupaia_belangeri
ENSCCNP00000031382	ENSCCNG00000029895	Castor_canadensis
ENSDORP00000005790	ENSDORG00000006184	Dipodomys_ordii
ENSUPAP00010022808	ENSUPAG00010018108	Urocitellus_parryii
ENSSTOP00000027340	ENSSTOG00000033473	Ictidomys_tridecemlineatus
ENSSDAP00000021846	ENSSDAG00000019871	Spermophilus_dauricus
ENSMMMP00000027614	ENSMMMG00000024124	Marmota_marmota_marmota
ENSCGRP00015026061	ENSCGRG00015019786	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019543	ENSCGRG00000014233	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007849	ENSCGRG00001010218	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000027007	ENSMOCG00000022637	Microtus_ochrogaster
ENSPEMP00000010111	ENSPEMG00000011201	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0029653	MGP_SPRETEiJ_G0017584	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0028261	MGP_CAROLIEiJ_G0016741	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000037238	ENSMUSG00000038195	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000028648	ENSMSIG00000024075	Mus_spicilegus
MGP_PahariEiJ_P0035002	MGP_PahariEiJ_G0017878	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005039	ENSRNOG00000003784	Rattus_norvegicus
ENSMUGP00000003335	ENSMUGG00000003118	Meriones_unguiculatus
ENSNGAP00000021654	ENSNGAG00000020780	Nannospalax_galili
ENSCPOP00000009313	ENSCPOG00000010367	Cavia_porcellus
ENSCAPP00000014965	ENSCAPG00000015219	Cavia_aperea
ENSODEP00000010612	ENSODEG00000007913	Octodon_degus
ENSCLAP00000007939	ENSCLAG00000005570	Chinchilla_lanigera
ENSHGLP00100021329	ENSHGLG00100015704	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000013475	ENSHGLG00000009632	Heterocephalus_glaber_HetGla_female_1.0
ENSOCUP00000000067	ENSOCUG00000000077	Oryctolagus_cuniculus
ENSOPRP00000002833	ENSOPRG00000003064	Ochotona_princeps
ENSTSYP00000031170	ENSTSYG00000031892	Carlito_syrichta
ENSSARP00000002587	ENSSARG00000002852	Sorex_araneus
ENSBIXP00005008029	ENSBIXG00005013165	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000026831	ENSBIXG00000029326	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000048816	ENSBTAG00000038889	Bos_taurus
ENSBBBP00000026365	ENSBBBG00000022144	Bison_bison_bison
ENSOARP00000014035	ENSOARG00000013105	Ovis_aries
ENSCHIP00000025796	ENSCHIG00000022404	Capra_hircus
ENSTTRP00000006494	ENSTTRG00000006868	Tursiops_truncatus
ENSSSCP00000066211	ENSSSCG00000050487	Sus_scrofa_strain_reference
ENSECAP00000050735	ENSECAG00000040909	Equus_caballus
ENSEASP00005013683	ENSEASG00005009558	Equus_asinus_asinus
ENSUAMP00000037247	ENSUAMG00000028212	Ursus_americanus
ENSAMEP00000008416	ENSAMEG00000008003	Ailuropoda_melanoleuca
ENSNVIP00000012688	ENSNVIG00000010009	Neovison_vison
ENSCAFP00000028323	ENSCAFG00000019203	Canis_lupus_familiaris
ENSCAFP00020012381	ENSCAFG00020009971	Canis_lupus_dingo
ENSVVUP00000029658	ENSVVUG00000021692	Vulpes_vulpes
ENSPPRP00000015746	ENSPPRG00000008258	Panthera_pardus
ENSPTIP00000022155	ENSPTIG00000019060	Panthera_tigris_altaica
ENSFCAP00000054054	ENSFCAG00000006296	Felis_catus
ENSEEUP00000011024	ENSEEUG00000012094	Erinaceus_europaeus
ENSMLUP00000002417	ENSMLUG00000002659	Myotis_lucifugus
ENSPVAP00000002015	ENSPVAG00000002133	Pteropus_vampyrus
ENSLAFP00000024039	ENSLAFG00000031776	Loxodonta_africana
ENSETEP00000014285	ENSETEG00000017588	Echinops_telfairi
ENSOANP00000006753	ENSOANG00000004251	Ornithorhynchus_anatinus
ENSXETP00000043820	ENSXETG00000018346	Xenopus_tropicalis
ENSLACP00000022633	ENSLACG00000011193	Latimeria_chalumnae
ENSCHAP00000030643	ENSCHAG00000014708	Clupea_harengus
ENSDCDP00000006452	ENSDCDG00000003329	Denticeps_clupeoides
ENSHCOP00000013199	ENSHCOG00000016331	Hippocampus_comes
ENSKMAP00000021795	ENSKMAG00000016188	Kryptolebias_marmoratus
ENSTRUP00000040789	ENSTRUG00000015954	Takifugu_rubripes
ENSTNIP00000006046	ENSTNIG00000003459	Tetraodon_nigroviridis
ENSGACP00000011319	ENSGACG00000008566	Gasterosteus_aculeatus
ENSCSEP00000012226	ENSCSEG00000007880	Cynoglossus_semilaevis
ENSXMAP00000033114	ENSXMAG00000028771	Xiphophorus_maculatus
ENSXCOP00000016947	ENSXCOG00000012776	Xiphophorus_couchianus
ENSGAFP00000015279	ENSGAFG00000010317	Gambusia_affinis
ENSPLAP00000016599	ENSPLAG00000020795	Poecilia_latipinna
ENSPFOP00000006887	ENSPFOG00000006961	Poecilia_formosa
ENSPMEP00000002992	ENSPMEG00000004066	Poecilia_mexicana
ENSPREP00000032280	ENSPREG00000021870	Poecilia_reticulata
ENSCVAP00000008240	ENSCVAG00000010026	Cyprinodon_variegatus
ENSFHEP00000033680	ENSFHEG00000020945	Fundulus_heteroclitus
ENSGWIP00000038539	ENSGWIG00000019710	Gouania_willdenowi
ENSLCRP00005003441	ENSLCRG00005001769	Larimichthys_crocea
ENSCGOP00000015132	ENSCGOG00000007346	Cottoperca_gobio
ENSLBEP00000035990	ENSLBEG00000026973	Labrus_bergylta
ENSMAMP00000013125	ENSMAMG00000008911	Mastacembelus_armatus
ENSMALP00000004892	ENSMALG00000003531	Monopterus_albus
ENSATEP00000014391	ENSATEG00000010043	Anabas_testudineus
ENSBSLP00000018735	ENSBSLG00000009699	Betta_splendens
ENSSDUP00000004001	ENSSDUG00000003002	Seriola_dumerili
ENSSLDP00000021856	ENSSLDG00000017067	Seriola_lalandi_dorsalis
ENSLCAP00010026326	ENSLCAG00010012300	Lates_calcarifer
ENSAOCP00000008771	ENSAOCG00000012812	Amphiprion_ocellaris
ENSAOCP00000024044	ENSAOCG00000010598	Amphiprion_ocellaris
ENSAPEP00000020346	ENSAPEG00000014534	Amphiprion_percula
ENSAPOP00000008043	ENSAPOG00000010094	Acanthochromis_polyacanthus
ENSSPAP00000020715	ENSSPAG00000015611	Stegastes_partitus
ENSPRNP00000012299	ENSPRNG00000006859	Parambassis_ranga
ENSPNYP00000021618	ENSPNYG00000016321	Pundamilia_nyererei
ENSHBUP00000014177	ENSHBUG00000016021	Haplochromis_burtoni
ENSACLP00000031184	ENSACLG00000021123	Astatotilapia_calliptera
ENSMZEP00005020067	ENSMZEG00005015062	Maylandia_zebra
ENSNBRP00000017153	ENSNBRG00000013247	Neolamprologus_brichardi
ENSACIP00000023498	ENSACIG00000018248	Amphilophus_citrinellus
ENSORLP00000010089	ENSORLG00000008043	Oryzias_latipes_ASM223467v1
ENSORLP00020034537	ENSORLG00020021011	Oryzias_latipes_ASM223471v1
ENSORLP00015001625	ENSORLG00015002254	Oryzias_latipes_ASM223469v1
ENSOMEP00000015345	ENSOMEG00000016912	Oryzias_melastigma
ENSMMOP00000015575	ENSMMOG00000011879	Mola_mola
ENSPMGP00000026174	ENSPMGG00000021105	Periophthalmus_magnuspinnatus
ENSSMAP00000029389	ENSSMAG00000017985	Scophthalmus_maximus
ENSGMOP00000002240	ENSGMOG00000002096	Gadus_morhua
ENSHHUP00000052481	ENSHHUG00000031551	Hucho_hucho
ENSHHUP00000026634	ENSHHUG00000016872	Hucho_hucho
ENSELUP00000006237	ENSELUG00000007146	Esox_lucius
ENSAMXP00005013683	ENSAMXG00005007358	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000040613	ENSAMXG00000042382	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002806	ENSPNAG00000009147	Pygocentrus_nattereri
ENSIPUP00000034626	ENSIPUG00000023256	Ictalurus_punctatus
ENSEEEP00000019141	ENSEEEG00000009390	Electrophorus_electricus
ENSDARP00000097554	ENSDARG00000074660	Danio_rerio
ENSSFOP00015021716	ENSSFOG00015013995	Scleropages_formosus
ENSPKIP00000030196	ENSPKIG00000011143	Paramormyrops_kingsleyae
ENSECRP00000012701	ENSECRG00000008476	Erpetoichthys_calabaricus
ENSCMIP00000002638	ENSCMIG00000001570	Callorhinchus_milii
