ENSHBUP00000024972	ENSHBUG00000006740	Haplochromis_burtoni
ENSCCAP00000022730	ENSCCAG00000029158	Cebus_capucinus_imitator
ENSMUGP00000009259	ENSMUGG00000008265	Meriones_unguiculatus
MGP_SPRETEiJ_P0045728	MGP_SPRETEiJ_G0022279	Mus_spretus_strain_SPRET/EiJ
ENSCGOP00000039009	ENSCGOG00000017843	Cottoperca_gobio
ENSMICP00000041284	ENSMICG00000000051	Microcebus_murinus
ENSGGOP00000011764	ENSGGOG00000012051	Gorilla_gorilla
ENSAPLP00000021492	ENSAPLG00000007969	Anas_platyrhynchos_platyrhynchos
ENSTNIP00000003460	ENSTNIG00000000763	Tetraodon_nigroviridis
ENSNMEP00000014459	ENSNMEG00000012992	Numida_meleagris
ENSLBEP00000037383	ENSLBEG00000027901	Labrus_bergylta
ENSFALP00000002319	ENSFALG00000002230	Ficedula_albicollis
ENSGMOP00000020728	ENSGMOG00000019274	Gadus_morhua
ENSPCAP00000005975	ENSPCAG00000006404	Procavia_capensis	ENSPCAT00000006391
ENSMZEP00005005117	ENSMZEG00005003956	Maylandia_zebra
ENSOCUP00000047732	ENSOCUG00000015314	Oryctolagus_cuniculus
ENSHHUP00000085584	ENSHHUG00000049569	Hucho_hucho
ENSCAFP00000048813	ENSCAFG00000010420	Canis_lupus_familiaris
ENSDARP00000135092	ENSDARG00000102261	Danio_rerio
ENSGACP00000002976	ENSGACG00000002290	Gasterosteus_aculeatus
ENSCPRP00005023418	ENSCPRG00005016260	Crocodylus_porosus
ENSMAMP00000029736	ENSMAMG00000020047	Mastacembelus_armatus
ENSGWIP00000006659	ENSGWIG00000003869	Gouania_willdenowi
ENSSHAP00000009815	ENSSHAG00000008497	Sarcophilus_harrisii	ENSSHAT00000009902
MGP_CAROLIEiJ_P0043817	MGP_CAROLIEiJ_G0021365	Mus_caroli_strain_CAROLI_EIJ
ENSAMXP00005056942	ENSAMXG00005025222	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSRROP00000008437	ENSRROG00000028683	Rhinopithecus_roxellana
ENSSSCP00000072668	ENSSSCG00000040224	Sus_scrofa_strain_reference
ENSBIXP00005039156	ENSBIXG00005021494	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSPAP00000004075	ENSSPAG00000003150	Stegastes_partitus
ENSMMUP00000050618	ENSMMUG00000018084	Macaca_mulatta
ENSMMMP00000012052	ENSMMMG00000010607	Marmota_marmota_marmota
ENSCPOP00000002057	ENSCPOG00000002266	Cavia_porcellus
ENSCAFP00020023443	ENSCAFG00020018487	Canis_lupus_dingo
ENSLOCP00000004821	ENSLOCG00000004034	Lepisosteus_oculatus
ENSTGEP00000027529	ENSTGEG00000022237	Theropithecus_gelada
ENSPCIP00000021940	ENSPCIG00000016620	Phascolarctos_cinereus	ENSPCIT00000027054
ENSTGUP00000005825	ENSTGUG00000005646	Taeniopygia_guttata
ENSMGAP00000015441	ENSMGAG00000014578	Meleagris_gallopavo
ENSCCEP00000003695	ENSCCEG00000004098	Cyanistes_caeruleus
ENSORLP00020033914	ENSORLG00020020134	Oryzias_latipes_ASM223471v1
ENSSLDP00000002902	ENSSLDG00000002261	Seriola_lalandi_dorsalis
ENSMALP00000027541	ENSMALG00000019112	Monopterus_albus
ENSLCOP00000002738	ENSLCOG00000002063	Lepidothrix_coronata
ENSSDAP00000022463	ENSSDAG00000020189	Spermophilus_dauricus	ENSSDAT00000025674
ENSACLP00000035629	ENSACLG00000024132	Astatotilapia_calliptera
ENSACAP00000002892	ENSACAG00000002948	Anolis_carolinensis
ENSCPBP00000010605	ENSCPBG00000008130	Chrysemys_picta_bellii
ENSTRUP00000048677	ENSTRUG00000024926	Takifugu_rubripes
ENSMVIP00005009068	ENSMVIG00005006732	Manacus_vitellinus
ENSCABP00000028520	ENSCABG00000020958	Chelonoidis_abingdonii
ENSPANP00000012887	ENSPANG00000014558	Papio_anubis
ENSPVIP00000027428	ENSPVIG00000020381	Pogona_vitticeps
ENSATEP00000034890	ENSATEG00000023975	Anabas_testudineus
ENSETEP00000003169	ENSETEG00000003862	Echinops_telfairi	ENSETET00000003861
ENSCHAP00000036536	ENSCHAG00000017274	Clupea_harengus
ENSNGAP00000004012	ENSNGAG00000005022	Nannospalax_galili
ENSZALP00000002106	ENSZALG00000002392	Zonotrichia_albicollis
ENSCJPP00005009948	ENSCJPG00005008709	Coturnix_japonica
ENSP00000291536	ENSG00000160188	Homo_sapiens
ENSTBEP00000008374	ENSTBEG00000009670	Tupaia_belangeri
ENSORLP00015017859	ENSORLG00015018900	Oryzias_latipes_ASM223469v1
ENSPKIP00000014439	ENSPKIG00000001483	Paramormyrops_kingsleyae
ENSCATP00000029488	ENSCATG00000037984	Cercocebus_atys
ENSKMAP00000003564	ENSKMAG00000002713	Kryptolebias_marmoratus
ENSFCAP00000054946	ENSFCAG00000012707	Felis_catus
ENSSMRP00000029818	ENSSMRG00000022920	Salvator_merianae
ENSNBRP00000016025	ENSNBRG00000012397	Neolamprologus_brichardi
ENSOARP00000011625	ENSOARG00000010840	Ovis_aries
ENSRBIP00000018877	ENSRBIG00000033428	Rhinopithecus_bieti
ENSMUSP00000024832	ENSMUSG00000024033	Mus_musculus_strain_reference_(CL57BL6)
ENSFHEP00000032699	ENSFHEG00000019342	Fundulus_heteroclitus
ENSMODP00000026357	ENSMODG00000021079	Monodelphis_domestica	ENSMODT00000026826
ENSLCRP00005016946	ENSLCRG00005007033	Larimichthys_crocea
ENSODEP00000017514	ENSODEG00000012910	Octodon_degus
MGP_PahariEiJ_P0056115	MGP_PahariEiJ_G0023684	Mus_pahari_strain_PAHARI_EIJ
ENSECAP00000039689	ENSECAG00000010466	Equus_caballus
ENSSHAP00000009261	ENSSHAG00000008016	Sarcophilus_harrisii	ENSSHAT00000009341
ENSJHYP00000018227	ENSJHYG00000013895	Junco_hyemalis
ENSDORP00000004822	ENSDORG00000005155	Dipodomys_ordii	ENSDORT00000005154
ENSCCNP00000031255	ENSCCNG00000029780	Castor_canadensis	ENSCCNT00000039301
ENSNLEP00000017777	ENSNLEG00000014607	Nomascus_leucogenys
ENSCGRP00001018318	ENSCGRG00001018109	Cricetulus_griseus_CHOK1GS_HDv1
ENSMLUP00000000123	ENSMLUG00000000135	Myotis_lucifugus
ENSLSDP00000013646	ENSLSDG00000009897	Lonchura_striata_domestica
ENSMSIP00000013572	ENSMSIG00000011731	Mus_spicilegus
ENSHCOP00000010314	ENSHCOG00000012924	Hippocampus_comes
ENSABRP00000017319	ENSABRG00000015073	Anser_brachyrhynchus
ENSJJAP00000024123	ENSJJAG00000023687	Jaculus_jaculus
ENSMPUP00000009335	ENSMPUG00000009410	Mustela_putorius_furo
ENSMAUP00000014555	ENSMAUG00000014285	Mesocricetus_auratus
ENSMEUP00000005871	ENSMEUG00000006435	Notamacropus_eugenii	ENSMEUT00000006448
ENSCAPP00000001761	ENSCAPG00000003706	Cavia_aperea
ENSOANP00000010304	ENSOANG00000006454	Ornithorhynchus_anatinus
ENSBSLP00000044153	ENSBSLG00000020957	Betta_splendens
ENSLACP00000003312	ENSLACG00000002962	Latimeria_chalumnae
ENSCPGP00000014683	ENSCPGG00000010380	Calidris_pygmaea
ENSPFOP00000019051	ENSPFOG00000018941	Poecilia_formosa
ENSTTRP00000000691	ENSTTRG00000000734	Tursiops_truncatus
ENSPEMP00000005517	ENSPEMG00000007960	Peromyscus_maniculatus_bairdii
ENSXETP00000031207	ENSXETG00000011836	Xenopus_tropicalis
ENSSBOP00000039698	ENSSBOG00000035861	Saimiri_boliviensis_boliviensis
ENSHGLP00000007577	ENSHGLG00000005500	Heterocephalus_glaber_HetGla_female_1.0
ENSPCOP00000000204	ENSPCOG00000000459	Propithecus_coquereli
ENSPNYP00000010964	ENSPNYG00000008306	Pundamilia_nyererei
ENSPMEP00000028501	ENSPMEG00000013630	Poecilia_mexicana
ENSGAGP00000016390	ENSGAGG00000012277	Gopherus_agassizii
ENSRNOP00000074661	ENSRNOG00000057862	Rattus_norvegicus
ENSCHIP00000017776	ENSCHIG00000017478	Capra_hircus
ENSIPUP00000033565	ENSIPUG00000022543	Ictalurus_punctatus
ENSOGAP00000014101	ENSOGAG00000015738	Otolemur_garnettii
ENSCSEP00000004667	ENSCSEG00000003014	Cynoglossus_semilaevis
ENSPTRP00000023996	ENSPTRG00000013944	Pan_troglodytes
ENSPPRP00000015794	ENSPPRG00000008318	Panthera_pardus
ENSMUNP00000011515	ENSMUNG00000008900	Melopsittacus_undulatus
ENSUPAP00010004289	ENSUPAG00010003495	Urocitellus_parryii	ENSUPAT00010004935
ENSCLAP00000007108	ENSCLAG00000005001	Chinchilla_lanigera
ENSANAP00000035539	ENSANAG00000035302	Aotus_nancymaae
ENSPTEP00000041160	ENSPTEG00000037778	Piliocolobus_tephrosceles
ENSAPEP00000024367	ENSAPEG00000017287	Amphiprion_percula
ENSMODP00000040515	ENSMODG00000029329	Monodelphis_domestica	ENSMODT00000043621
ENSONIP00000024595	ENSONIG00000019539	Oreochromis_niloticus
ENSCSAP00000004362	ENSCSAG00000008099	Chlorocebus_sabaeus
ENSCJAP00000009755	ENSCJAG00000005333	Callithrix_jacchus
ENSDNOP00000033003	ENSDNOG00000035119	Dasypus_novemcinctus
ENSUMAP00000035528	ENSUMAG00000025542	Ursus_maritimus
ENSPMGP00000015830	ENSPMGG00000012975	Periophthalmus_magnuspinnatus
ENSBMUP00000016246	ENSBMUG00000012341	Bos_mutus
ENSPNAP00000012411	ENSPNAG00000018149	Pygocentrus_nattereri
ENSCGRP00015030732	ENSCGRG00015023148	Cricetulus_griseus_CriGri-PICR
