ENSNGAP00000004496	ENSNGAG00000005992	Nannospalax_galili
ENSHHUP00000019716	ENSHHUG00000012323	Hucho_hucho
ENSELUP00000039495	ENSELUG00000019659	Esox_lucius
ENSDCDP00000041722	ENSDCDG00000027117	Denticeps_clupeoides
ENSCHAP00000050036	ENSCHAG00000022983	Clupea_harengus
ENSAMXP00005049333	ENSAMXG00005022494	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000041567	ENSAMXG00000041592	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000028088	ENSPNAG00000013671	Pygocentrus_nattereri
ENSIPUP00000020331	ENSIPUG00000013800	Ictalurus_punctatus
ENSEEEP00000011829	ENSEEEG00000005953	Electrophorus_electricus
ENSDARP00000019977	ENSDARG00000013393	Danio_rerio
ENSLOCP00000013889	ENSLOCG00000011305	Lepisosteus_oculatus
ENSECRP00000006466	ENSECRG00000004313	Erpetoichthys_calabaricus
ENSPMGP00000011913	ENSPMGG00000009866	Periophthalmus_magnuspinnatus
ENSCMIP00000005009	ENSCMIG00000002961	Callorhinchus_milii
ENSLACP00000021167	ENSLACG00000018596	Latimeria_chalumnae
ENSXETP00000036954	ENSXETG00000013168	Xenopus_tropicalis
ENSCCEP00000003709	ENSCCEG00000004119	Cyanistes_caeruleus
ENSPMJP00000023841	ENSPMJG00000017568	Parus_major
ENSFALP00000000518	ENSFALG00000000502	Ficedula_albicollis
ENSTGUP00000001527	ENSTGUG00000001480	Taeniopygia_guttata
ENSLSDP00000007388	ENSLSDG00000005539	Lonchura_striata_domestica
ENSZALP00000012403	ENSZALG00000010405	Zonotrichia_albicollis
ENSJHYP00000022464	ENSJHYG00000016937	Junco_hyemalis
ENSSCAP00000021706	ENSSCAG00000015605	Serinus_canaria
ENSLCOP00000010819	ENSLCOG00000007867	Lepidothrix_coronata
ENSMVIP00005024375	ENSMVIG00005017117	Manacus_vitellinus
ENSMUNP00000010590	ENSMUNG00000008348	Melopsittacus_undulatus
ENSCPUP00000015786	ENSCPUG00000010970	Calidris_pugnax
ENSCPUP00000015785	ENSCPUG00000010969	Calidris_pugnax
ENSCPGP00000027452	ENSCPGG00000018929	Calidris_pygmaea
ENSABRP00000009689	ENSABRG00000008693	Anser_brachyrhynchus
ENSAPLP00000016787	ENSAPLG00000028513	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000004292	ENSMGAG00000004475	Meleagris_gallopavo
ENSCJPP00005020744	ENSCJPG00005016657	Coturnix_japonica
ENSGALP00000034499	ENSGALG00000001418	Gallus_gallus
ENSNMEP00000014023	ENSNMEG00000012652	Numida_meleagris
ENSAHAP00000027228	ENSAHAG00000018974	Apteryx_haastii
ENSAOWP00000013749	ENSAOWG00000009390	Apteryx_owenii
ENSARWP00000025751	ENSARWG00000017489	Apteryx_rowi
ENSDNVP00000017570	ENSDNVG00000012281	Dromaius_novaehollandiae
ENSNPEP00000010388	ENSNPEG00000007807	Nothoprocta_perdicaria
ENSCPRP00005022757	ENSCPRG00005015860	Crocodylus_porosus
ENSCABP00000011853	ENSCABG00000008851	Chelonoidis_abingdonii
ENSGAGP00000003650	ENSGAGG00000002957	Gopherus_agassizii
ENSCPBP00000030216	ENSCPBG00000021270	Chrysemys_picta_bellii
ENSACAP00000005867	ENSACAG00000006000	Anolis_carolinensis
ENSPVIP00000002911	ENSPVIG00000002464	Pogona_vitticeps
ENSNSUP00000019101	ENSNSUG00000013948	Notechis_scutatus
ENSSMRP00000005474	ENSSMRG00000004455	Salvator_merianae
ENSSPUP00000007179	ENSSPUG00000005556	Sphenodon_punctatus
ENSACAP00000013663	ENSACAG00000013926	Anolis_carolinensis
ENSPVIP00000016462	ENSPVIG00000012737	Pogona_vitticeps
ENSSPUP00000014025	ENSSPUG00000010817	Sphenodon_punctatus
ENSXETP00000019289	ENSXETG00000001380	Xenopus_tropicalis
ENSLACP00000002169	ENSLACG00000001939	Latimeria_chalumnae
ENSDCDP00000061825	ENSDCDG00000035168	Denticeps_clupeoides
ENSCHAP00000020352	ENSCHAG00000010161	Clupea_harengus
ENSAMXP00000044367	ENSAMXG00000034761	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005021887	ENSAMXG00005011323	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037749	ENSPNAG00000029773	Pygocentrus_nattereri
ENSIPUP00000012867	ENSIPUG00000008762	Ictalurus_punctatus
ENSGWIP00000001174	ENSGWIG00000000697	Gouania_willdenowi
ENSGWIP00000000828	ENSGWIG00000000521	Gouania_willdenowi
ENSBSLP00000017197	ENSBSLG00000009050	Betta_splendens
ENSTNIP00000012481	ENSTNIG00000009606	Tetraodon_nigroviridis
ENSTRUP00000041379	ENSTRUG00000016184	Takifugu_rubripes
ENSMMOP00000008794	ENSMMOG00000006801	Mola_mola
ENSLBEP00000025640	ENSLBEG00000019565	Labrus_bergylta
ENSAPOP00000007402	ENSAPOG00000009377	Acanthochromis_polyacanthus
ENSAPOP00000034293	ENSAPOG00000023463	Acanthochromis_polyacanthus
ENSAOCP00000000244	ENSAOCG00000003074	Amphiprion_ocellaris
ENSAPEP00000000172	ENSAPEG00000000124	Amphiprion_percula
ENSAPEP00000000171	ENSAPEG00000000123	Amphiprion_percula
ENSSPAP00000026607	ENSSPAG00000020064	Stegastes_partitus
ENSHCOP00000019875	ENSHCOG00000000704	Hippocampus_comes
ENSFHEP00000018993	ENSFHEG00000020899	Fundulus_heteroclitus
ENSCVAP00000003103	ENSCVAG00000004252	Cyprinodon_variegatus
ENSPFOP00000019475	ENSPFOG00000019360	Poecilia_formosa
ENSPLAP00000003351	ENSPLAG00000004798	Poecilia_latipinna
ENSPMEP00000010005	ENSPMEG00000011899	Poecilia_mexicana
ENSPREP00000029999	ENSPREG00000020315	Poecilia_reticulata
ENSGAFP00000020057	ENSGAFG00000013562	Gambusia_affinis
ENSXMAP00000001452	ENSXMAG00000001456	Xiphophorus_maculatus
ENSXCOP00000018576	ENSXCOG00000013982	Xiphophorus_couchianus
ENSKMAP00000004625	ENSKMAG00000003542	Kryptolebias_marmoratus
ENSORLP00015023176	ENSORLG00015002993	Oryzias_latipes_ASM223469v1
ENSORLP00000001128	ENSORLG00000000925	Oryzias_latipes_ASM223467v1
ENSOMEP00000023889	ENSOMEG00000004172	Oryzias_melastigma
ENSMZEP00005018937	ENSMZEG00005014211	Maylandia_zebra
ENSHBUP00000027815	ENSHBUG00000001189	Haplochromis_burtoni
ENSPNYP00000032140	ENSPNYG00000024261	Pundamilia_nyererei
ENSACLP00000015896	ENSACLG00000010847	Astatotilapia_calliptera
ENSNBRP00000024182	ENSNBRG00000018473	Neolamprologus_brichardi
ENSONIP00000007453	ENSONIG00000005920	Oreochromis_niloticus
ENSACIP00000027669	ENSACIG00000021353	Amphilophus_citrinellus
ENSCSEP00000003878	ENSCSEG00000002538	Cynoglossus_semilaevis
ENSATEP00000030954	ENSATEG00000021366	Anabas_testudineus
ENSMAMP00000023147	ENSMAMG00000015588	Mastacembelus_armatus
ENSCGOP00000003393	ENSCGOG00000001815	Cottoperca_gobio
ENSMALP00000021205	ENSMALG00000014817	Monopterus_albus
ENSLCAP00010039148	ENSLCAG00010018302	Lates_calcarifer
ENSLCRP00005038326	ENSLCRG00005014873	Larimichthys_crocea
ENSGACP00000022603	ENSGACG00000017112	Gasterosteus_aculeatus
ENSSLDP00000005184	ENSSLDG00000004126	Seriola_lalandi_dorsalis
ENSSDUP00000021467	ENSSDUG00000015619	Seriola_dumerili
ENSSMAP00000014171	ENSSMAG00000008698	Scophthalmus_maximus
ENSPRNP00000007614	ENSPRNG00000004487	Parambassis_ranga
ENSPMGP00000022560	ENSPMGG00000018262	Periophthalmus_magnuspinnatus
ENSGMOP00000002205	ENSGMOG00000002070	Gadus_morhua
ENSHHUP00000079443	ENSHHUG00000046305	Hucho_hucho
ENSHHUP00000065330	ENSHHUG00000038551	Hucho_hucho
ENSELUP00000025168	ENSELUG00000023862	Esox_lucius
ENSSFOP00015036220	ENSSFOG00015023039	Scleropages_formosus
ENSECRP00000000682	ENSECRG00000000421	Erpetoichthys_calabaricus
ENSCMIP00000042643	ENSCMIG00000017732	Callorhinchus_milii
ENSSLDP00000005201	ENSSLDG00000004141	Seriola_lalandi_dorsalis
ENSSDUP00000021570	ENSSDUG00000015638	Seriola_dumerili
ENSLCAP00010039145	ENSLCAG00010018301	Lates_calcarifer
ENSSMAP00000014165	ENSSMAG00000008677	Scophthalmus_maximus
ENSAPOP00000034201	ENSAPOG00000023429	Acanthochromis_polyacanthus
ENSAPEP00000000173	ENSAPEG00000000125	Amphiprion_percula
ENSSPAP00000026372	ENSSPAG00000019762	Stegastes_partitus
ENSLBEP00000025785	ENSLBEG00000019598	Labrus_bergylta
ENSMMOP00000008987	ENSMMOG00000006805	Mola_mola
ENSHHUP00000079492	ENSHHUG00000046335	Hucho_hucho
ENSHHUP00000009852	ENSHHUG00000006000	Hucho_hucho
ENSDCDP00000061827	ENSDCDG00000035170	Denticeps_clupeoides
ENSCHAP00000020368	ENSCHAG00000010323	Clupea_harengus
ENSAMXP00005002475	ENSAMXG00005001388	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000011625	ENSAMXG00000011310	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000037756	ENSPNAG00000029775	Pygocentrus_nattereri
ENSLOCP00000006395	ENSLOCG00000005304	Lepisosteus_oculatus
ENSPMAP00000008898	ENSPMAG00000008085	Petromyzon_marinus
