gorilla_gorilla ENSGGOG00000027706
gopherus_agassizii ENSGAGG00000010812
chelonoidis_abingdonii ENSCABG00000006279
chrysemys_picta_bellii ENSCPBG00000008566
pelodiscus_sinensis ENSPSIG00000014048
pogona_vitticeps ENSPVIG00000023635
anolis_carolinensis ENSACAG00000002100
notechis_scutatus ENSNSUG00000009610
notechis_scutatus ENSNSUG00000010956
salvator_merianae ENSSMRG00000009721
sphenodon_punctatus ENSSPUG00000015105
xenopus_tropicalis ENSXETG00000025737
latimeria_chalumnae ENSLACG00000002204
eptatretus_burgeri ENSEBUG00000003241
mastacembelus_armatus ENSMAMG00000001792
monopterus_albus ENSMALG00000000077
anabas_testudineus ENSATEG00000015846
seriola_dumerili ENSSDUG00000001249
seriola_lalandi_dorsalis ENSSLDG00000008079
scophthalmus_maximus ENSSMAG00000014735
amphiprion_ocellaris ENSAOCG00000003487
amphiprion_percula ENSAPEG00000004404
stegastes_partitus ENSSPAG00000016928
xiphophorus_maculatus ENSXMAG00000010953
xiphophorus_couchianus ENSXCOG00000013744
gambusia_affinis ENSGAFG00000019607
poecilia_latipinna ENSPLAG00000022613
poecilia_mexicana ENSPMEG00000000484
poecilia_reticulata ENSPREG00000022293
fundulus_heteroclitus ENSFHEG00000003334
kryptolebias_marmoratus ENSKMAG00000003164
labrus_bergylta ENSLBEG00000022353
cynoglossus_semilaevis ENSCSEG00000002693
mola_mola ENSMMOG00000001338
periophthalmus_magnuspinnatus ENSPMGG00000016261
gadus_morhua ENSGMOG00000017715
esox_lucius ENSELUG00000012082
pygocentrus_nattereri ENSPNAG00000024059
astyanax_mexicanus ENSAMXG00000036768
ictalurus_punctatus ENSIPUG00000021123
danio_rerio ENSDARG00000037142
scleropages_formosus ENSSFOG00015016159
lepisosteus_oculatus ENSLOCG00000013800
petromyzon_marinus ENSPMAG00000001809
ciona_intestinalis ENSCING00000006355
ciona_savignyi ENSCSAVG00000008381
