vicugna_pacos ENSVPAG00000004880
nomascus_leucogenys ENSNLEG00000002731
macaca_nemestrina ENSMNEG00000032667
macaca_fascicularis ENSMFAG00000039148
macaca_mulatta ENSMMUG00000009571
cercocebus_atys ENSCATG00000041238
papio_anubis ENSPANG00000002881
theropithecus_gelada ENSTGEG00000024567
mandrillus_leucophaeus ENSMLEG00000038493
chlorocebus_sabaeus ENSCSAG00000011514
colobus_angolensis_palliatus ENSCANG00000039295
piliocolobus_tephrosceles ENSPTEG00000029743
rhinopithecus_roxellana ENSRROG00000034126
rhinopithecus_bieti ENSRBIG00000026280
aotus_nancymaae ENSANAG00000030500
cebus_capucinus_imitator ENSCCAG00000036087
carlito_syrichta ENSTSYG00000014439
propithecus_coquereli ENSPCOG00000008415
prolemur_simus ENSPSMG00000020670
microcebus_murinus ENSMICG00000009224
otolemur_garnettii ENSOGAG00000003898
tupaia_belangeri ENSTBEG00000011295
oryctolagus_cuniculus ENSOCUG00000016695
ochotona_princeps ENSOPRG00000013963
dasypus_novemcinctus ENSDNOG00000033937
erinaceus_europaeus ENSEEUG00000010568
sorex_araneus ENSSARG00000007119
loxodonta_africana ENSLAFG00000017601
procavia_capensis ENSPCAG00000009035
dipodomys_ordii ENSDORG00000029850
ursus_americanus ENSUAMG00000009067
echinops_telfairi ENSETEG00000005766
phascolarctos_cinereus ENSPCIG00000033419
notamacropus_eugenii ENSMEUG00000009350
sarcophilus_harrisii ENSSHAG00000015077
monodelphis_domestica ENSMODG00000003926
ornithorhynchus_anatinus ENSOANG00000032068
ornithorhynchus_anatinus ENSOANG00000013705
calidris_pygmaea ENSCPGG00000007852
calidris_pugnax ENSCPUG00000019348
manacus_vitellinus ENSMVIG00005017326
lepidothrix_coronata ENSLCOG00000001302
lonchura_striata_domestica ENSLSDG00000010959
taeniopygia_guttata ENSTGUG00000009933
junco_hyemalis ENSJHYG00000015957
zonotrichia_albicollis ENSZALG00000008292
serinus_canaria ENSSCAG00000008114
cyanistes_caeruleus ENSCCEG00000020628
cyanistes_caeruleus ENSCCEG00000020627
parus_major ENSPMJG00000005611
ficedula_albicollis ENSFALG00000013428
melopsittacus_undulatus ENSMUNG00000015437
gallus_gallus ENSGALG00000007798
meleagris_gallopavo ENSMGAG00000009640
coturnix_japonica ENSCJPG00005018660
numida_meleagris ENSNMEG00000020883
anser_brachyrhynchus ENSABRG00000016761
anas_platyrhynchos_platyrhynchos ENSAPLG00000013926
apteryx_haastii ENSAHAG00000015479
apteryx_rowi ENSARWG00000018726
apteryx_owenii ENSAOWG00000011116
nothoprocta_perdicaria ENSNPEG00000002440
nothoprocta_perdicaria ENSNPEG00000002441
dromaius_novaehollandiae ENSDNVG00000013811
crocodylus_porosus ENSCPRG00005015737
chelonoidis_abingdonii ENSCABG00000008280
chelonoidis_abingdonii ENSCABG00000008281
chrysemys_picta_bellii ENSCPBG00000006441
pelodiscus_sinensis ENSPSIG00000005536
sphenodon_punctatus ENSSPUG00000011522
sphenodon_punctatus ENSSPUG00000011526
anolis_carolinensis ENSACAG00000014809
pogona_vitticeps ENSPVIG00000015246
salvator_merianae ENSSMRG00000003041
xenopus_tropicalis ENSXETG00000032215
latimeria_chalumnae ENSLACG00000014243
seriola_dumerili ENSSDUG00000011986
seriola_lalandi_dorsalis ENSSLDG00000013908
scophthalmus_maximus ENSSMAG00000016151
haplochromis_burtoni ENSHBUG00000010857
maylandia_zebra ENSMZEG00005008649
pundamilia_nyererei ENSPNYG00000003878
astatotilapia_calliptera ENSACLG00000023077
oreochromis_niloticus ENSONIG00000020264
neolamprologus_brichardi ENSNBRG00000024004
amphilophus_citrinellus ENSACIG00000021249
amphiprion_ocellaris ENSAOCG00000023311
amphiprion_percula ENSAPEG00000021686
acanthochromis_polyacanthus ENSAPOG00000000397
fundulus_heteroclitus ENSFHEG00000017552
cyprinodon_variegatus ENSCVAG00000020049
poecilia_formosa ENSPFOG00000003118
poecilia_mexicana ENSPMEG00000011076
poecilia_reticulata ENSPREG00000000591
kryptolebias_marmoratus ENSKMAG00000004457
oryzias_latipes_asm223469v1 ENSORLG00015021040
oryzias_latipes_asm223467v1 ENSORLG00000023538
oryzias_latipes_asm223471v1 ENSORLG00020003697
oryzias_melastigma ENSOMEG00000001225
takifugu_rubripes ENSTRUG00000009446
tetraodon_nigroviridis ENSTNIG00000007354
mola_mola ENSMMOG00000010569
gasterosteus_aculeatus ENSGACG00000011797
monopterus_albus ENSMALG00000008870
mastacembelus_armatus ENSMAMG00000023432
anabas_testudineus ENSATEG00000008475
cynoglossus_semilaevis ENSCSEG00000007829
hippocampus_comes ENSHCOG00000010799
periophthalmus_magnuspinnatus ENSPMGG00000008838
gadus_morhua ENSGMOG00000007350
esox_lucius ENSELUG00000003476
pygocentrus_nattereri ENSPNAG00000026840
astyanax_mexicanus ENSAMXG00000043822
ictalurus_punctatus ENSIPUG00000001247
danio_rerio ENSDARG00000058522
scleropages_formosus ENSSFOG00015016241
paramormyrops_kingsleyae ENSPKIG00000021517
lepisosteus_oculatus ENSLOCG00000009970
petromyzon_marinus ENSPMAG00000005372
notechis_scutatus ENSNSUG00000006998
notechis_scutatus ENSNSUG00000006999
eptatretus_burgeri ENSEBUG00000005445
ciona_intestinalis ENSCING00000008013
ciona_savignyi ENSCSAVG00000002332
caenorhabditis_elegans_strain_n2 WBGene00021655
drosophila_melanogaster FBgn0037482
saccharomyces_cerevisiae_strain_s288c YIL104C
