carlito_syrichta ENSTSYG00000009627
tetraodon_nigroviridis ENSTNIG00000017484
mola_mola ENSMMOG00000002191
hippocampus_comes ENSHCOG00000014321
poecilia_mexicana ENSPMEG00000014827
poecilia_formosa ENSPFOG00000006281
poecilia_latipinna ENSPLAG00000009232
poecilia_reticulata ENSPREG00000022236
xiphophorus_couchianus ENSXCOG00000010995
gambusia_affinis ENSGAFG00000017934
cyprinodon_variegatus ENSCVAG00000009441
fundulus_heteroclitus ENSFHEG00000009010
oryzias_melastigma ENSOMEG00000016105
oryzias_latipes_asm223469v1 ENSORLG00015016383
pundamilia_nyererei ENSPNYG00000007621
astatotilapia_calliptera ENSACLG00000018398
haplochromis_burtoni ENSHBUG00000019111
neolamprologus_brichardi ENSNBRG00000008591
oreochromis_niloticus ENSONIG00000008078
amphilophus_citrinellus ENSACIG00000016038
amphiprion_percula ENSAPEG00000020672
amphiprion_ocellaris ENSAOCG00000003941
acanthochromis_polyacanthus ENSAPOG00000018196
stegastes_partitus ENSSPAG00000019704
mastacembelus_armatus ENSMAMG00000009146
anabas_testudineus ENSATEG00000006394
seriola_dumerili ENSSDUG00000011525
seriola_lalandi_dorsalis ENSSLDG00000022420
monopterus_albus ENSMALG00000004839
kryptolebias_marmoratus ENSKMAG00000014285
xiphophorus_maculatus ENSXMAG00000000268
maylandia_zebra ENSMZEG00005005480
labrus_bergylta ENSLBEG00000010976
oryzias_latipes_asm223467v1 ENSORLG00000017270
oryzias_latipes_asm223471v1 ENSORLG00020002520
gasterosteus_aculeatus ENSGACG00000006772
periophthalmus_magnuspinnatus ENSPMGG00000011306
gadus_morhua ENSGMOG00000003371
esox_lucius ENSELUG00000002600
astyanax_mexicanus ENSAMXG00000018702
pygocentrus_nattereri ENSPNAG00000003805
ictalurus_punctatus ENSIPUG00000015892
danio_rerio ENSDARG00000059340
scleropages_formosus ENSSFOG00015003045
paramormyrops_kingsleyae ENSPKIG00000003576
monopterus_albus ENSMALG00000022131
mastacembelus_armatus ENSMAMG00000003648
anabas_testudineus ENSATEG00000018233
seriola_dumerili ENSSDUG00000004577
seriola_lalandi_dorsalis ENSSLDG00000024030
fundulus_heteroclitus ENSFHEG00000020626
cyprinodon_variegatus ENSCVAG00000002828
xiphophorus_couchianus ENSXCOG00000004107
xiphophorus_maculatus ENSXMAG00000017553
gambusia_affinis ENSGAFG00000002184
poecilia_latipinna ENSPLAG00000019605
poecilia_formosa ENSPFOG00000018385
poecilia_mexicana ENSPMEG00000010977
poecilia_reticulata ENSPREG00000009471
kryptolebias_marmoratus ENSKMAG00000019984
oryzias_latipes_asm223471v1 ENSORLG00020017708
oryzias_latipes_asm223467v1 ENSORLG00000011302
oryzias_latipes_asm223469v1 ENSORLG00015012615
oryzias_melastigma ENSOMEG00000022575
maylandia_zebra ENSMZEG00005002459
astatotilapia_calliptera ENSACLG00000025392
pundamilia_nyererei ENSPNYG00000023427
haplochromis_burtoni ENSHBUG00000002382
neolamprologus_brichardi ENSNBRG00000022715
oreochromis_niloticus ENSONIG00000005837
amphilophus_citrinellus ENSACIG00000009871
amphiprion_percula ENSAPEG00000008658
amphiprion_ocellaris ENSAOCG00000004216
acanthochromis_polyacanthus ENSAPOG00000009355
stegastes_partitus ENSSPAG00000013819
scophthalmus_maximus ENSSMAG00000001423
mola_mola ENSMMOG00000015682
labrus_bergylta ENSLBEG00000012473
cynoglossus_semilaevis ENSCSEG00000003924
takifugu_rubripes ENSTRUG00000017934
tetraodon_nigroviridis ENSTNIG00000010748
hippocampus_comes ENSHCOG00000004129
gasterosteus_aculeatus ENSGACG00000008099
periophthalmus_magnuspinnatus ENSPMGG00000014991
gadus_morhua ENSGMOG00000004887
esox_lucius ENSELUG00000009730
danio_rerio ENSDARG00000092376
danio_rerio ENSDARG00000076070
astyanax_mexicanus ENSAMXG00000024541
pygocentrus_nattereri ENSPNAG00000007033
ictalurus_punctatus ENSIPUG00000022016
lepisosteus_oculatus ENSLOCG00000017224
latimeria_chalumnae ENSLACG00000002732
xenopus_tropicalis ENSXETG00000011595
tupaia_belangeri ENSTBEG00000004599
petromyzon_marinus ENSPMAG00000005926
eptatretus_burgeri ENSEBUG00000012719
