gorilla_gorilla ENSGGOG00000040446
jaculus_jaculus ENSJJAG00000022948
spermophilus_dauricus ENSSDAG00000007297
spermophilus_dauricus ENSSDAG00000007448
urocitellus_parryii ENSUPAG00010013627
ictidomys_tridecemlineatus ENSSTOG00000000914
marmota_marmota_marmota ENSMMMG00000000587
propithecus_coquereli ENSPCOG00000020661
prolemur_simus ENSPSMG00000014178
microcebus_murinus ENSMICG00000035087
otolemur_garnettii ENSOGAG00000004061
carlito_syrichta ENSTSYG00000026805
bison_bison_bison ENSBBBG00000021224
capra_hircus ENSCHIG00000000188
capra_hircus ENSCHIG00000027005
ovis_aries ENSOARG00000015611
bos_taurus ENSBTAG00000017867
bos_mutus ENSBMUG00000002844
sorex_araneus ENSSARG00000014440
ochotona_princeps ENSOPRG00000014475
echinops_telfairi ENSETEG00000008187
loxodonta_africana ENSLAFG00000016761
vicugna_pacos ENSVPAG00000000291
neovison_vison ENSNVIG00000021564
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020502
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021397
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016207
lepidothrix_coronata ENSLCOG00000008331
manacus_vitellinus ENSMVIG00005011013
theropithecus_gelada ENSTGEG00000029290
chrysemys_picta_bellii ENSCPBG00000010573
seriola_dumerili ENSSDUG00000009510
