cebus_capucinus_imitator ENSCCAG00000037550
gopherus_agassizii ENSGAGG00000009407
chelonoidis_abingdonii ENSCABG00000013275
chrysemys_picta_bellii ENSCPBG00000008116
pelodiscus_sinensis ENSPSIG00000009663
apteryx_rowi ENSARWG00000003415
apteryx_haastii ENSAHAG00000014406
apteryx_owenii ENSAOWG00000018233
dromaius_novaehollandiae ENSDNVG00000013297
nothoprocta_perdicaria ENSNPEG00000006490
lepidothrix_coronata ENSLCOG00000006767
manacus_vitellinus ENSMVIG00005007417
taeniopygia_guttata ENSTGUG00000012317
lonchura_striata_domestica ENSLSDG00000007716
serinus_canaria ENSSCAG00000013663
zonotrichia_albicollis ENSZALG00000000528
junco_hyemalis ENSJHYG00000016469
ficedula_albicollis ENSFALG00000008188
parus_major ENSPMJG00000014903
cyanistes_caeruleus ENSCCEG00000006410
melopsittacus_undulatus ENSMUNG00000013035
calidris_pygmaea ENSCPGG00000010713
calidris_pugnax ENSCPUG00000012887
anser_brachyrhynchus ENSABRG00000006269
anas_platyrhynchos_platyrhynchos ENSAPLG00000011120
meleagris_gallopavo ENSMGAG00000014991
coturnix_japonica ENSCJPG00005019734
gallus_gallus ENSGALG00000016979
numida_meleagris ENSNMEG00000006932
xenopus_tropicalis ENSXETG00000014657
latimeria_chalumnae ENSLACG00000005294
tetraodon_nigroviridis ENSTNIG00000007896
takifugu_rubripes ENSTRUG00000008508
mola_mola ENSMMOG00000017487
labrus_bergylta ENSLBEG00000004934
gasterosteus_aculeatus ENSGACG00000012919
scophthalmus_maximus ENSSMAG00000012506
cynoglossus_semilaevis ENSCSEG00000018781
seriola_lalandi_dorsalis ENSSLDG00000004780
seriola_dumerili ENSSDUG00000005159
hippocampus_comes ENSHCOG00000002779
periophthalmus_magnuspinnatus ENSPMGG00000020268
mastacembelus_armatus ENSMAMG00000017731
monopterus_albus ENSMALG00000004037
anabas_testudineus ENSATEG00000003744
poecilia_formosa ENSPFOG00000015207
poecilia_latipinna ENSPLAG00000006540
poecilia_mexicana ENSPMEG00000003345
poecilia_reticulata ENSPREG00000002103
xiphophorus_couchianus ENSXCOG00000007671
xiphophorus_maculatus ENSXMAG00000011434
gambusia_affinis ENSGAFG00000011950
fundulus_heteroclitus ENSFHEG00000019124
cyprinodon_variegatus ENSCVAG00000020302
kryptolebias_marmoratus ENSKMAG00000008239
oryzias_latipes_asm223467v1 ENSORLG00000011023
oryzias_latipes_asm223469v1 ENSORLG00015004300
oryzias_latipes_asm223471v1 ENSORLG00020009605
oryzias_melastigma ENSOMEG00000010754
maylandia_zebra ENSMZEG00005010276
astatotilapia_calliptera ENSACLG00000016631
pundamilia_nyererei ENSPNYG00000002552
haplochromis_burtoni ENSHBUG00000004375
neolamprologus_brichardi ENSNBRG00000009161
oreochromis_niloticus ENSONIG00000018700
amphilophus_citrinellus ENSACIG00000009043
amphiprion_ocellaris ENSAOCG00000014330
amphiprion_percula ENSAPEG00000022308
acanthochromis_polyacanthus ENSAPOG00000020844
stegastes_partitus ENSSPAG00000021492
gadus_morhua ENSGMOG00000003128
esox_lucius ENSELUG00000000158
scleropages_formosus ENSSFOG00015002787
lepisosteus_oculatus ENSLOCG00000005454
