gambusia_affinis ENSGAFG00000015719
canis_lupus_dingo ENSCAFG00020015197
canis_lupus_familiaris ENSCAFG00000012637
vulpes_vulpes ENSVVUG00000006555
canis_lupus_familiaris ENSCAFG00000012627
canis_lupus_dingo ENSCAFG00020015204
vulpes_vulpes ENSVVUG00000006564
felis_catus ENSFCAG00000030445
felis_catus ENSFCAG00000007571
panthera_tigris_altaica ENSPTIG00000001202
panthera_tigris_altaica ENSPTIG00000001176
panthera_pardus ENSPPRG00000014421
panthera_pardus ENSPPRG00000014479
panthera_pardus ENSPPRG00000011205
erinaceus_europaeus ENSEEUG00000010825
pteropus_vampyrus ENSPVAG00000016428
equus_caballus ENSECAG00000012505
equus_asinus_asinus ENSEASG00005013484
equus_caballus ENSECAG00000013380
equus_asinus_asinus ENSEASG00005013480
sus_scrofa ENSSSCG00000023865
sus_scrofa ENSSSCG00000010719
vicugna_pacos ENSVPAG00000009836
ovis_aries ENSOARG00000008829
capra_hircus ENSCHIG00000023064
ovis_aries ENSOARG00000008928
capra_hircus ENSCHIG00000021927
bos_mutus ENSBMUG00000004629
bos_taurus ENSBTAG00000023846
bison_bison_bison ENSBBBG00000011048
bos_mutus ENSBMUG00000004611
bos_taurus ENSBTAG00000023845
tursiops_truncatus ENSTTRG00000013640
tursiops_truncatus ENSTTRG00000010978
oryctolagus_cuniculus ENSOCUG00000024624
oryctolagus_cuniculus ENSOCUG00000021184
myotis_lucifugus ENSMLUG00000000067
myotis_lucifugus ENSMLUG00000009802
dasypus_novemcinctus ENSDNOG00000047981
dasypus_novemcinctus ENSDNOG00000032272
loxodonta_africana ENSLAFG00000018729
loxodonta_africana ENSLAFG00000012377
procavia_capensis ENSPCAG00000004331
echinops_telfairi ENSETEG00000005849
ornithorhynchus_anatinus ENSOANG00000001996
lepidothrix_coronata ENSLCOG00000010031
manacus_vitellinus ENSMVIG00005015480
taeniopygia_guttata ENSTGUG00000018513
taeniopygia_guttata ENSTGUG00000011339
lonchura_striata_domestica ENSLSDG00000010638
serinus_canaria ENSSCAG00000013599
parus_major ENSPMJG00000005738
cyanistes_caeruleus ENSCCEG00000018160
ficedula_albicollis ENSFALG00000004905
junco_hyemalis ENSJHYG00000010809
zonotrichia_albicollis ENSZALG00000005258
melopsittacus_undulatus ENSMUNG00000005998
calidris_pygmaea ENSCPGG00000010189
calidris_pugnax ENSCPUG00000019483
anser_brachyrhynchus ENSABRG00000006659
anas_platyrhynchos_platyrhynchos ENSAPLG00000018529
gallus_gallus ENSGALG00000000011
coturnix_japonica ENSCJPG00005020167
meleagris_gallopavo ENSMGAG00000011580
numida_meleagris ENSNMEG00000012765
apteryx_owenii ENSAOWG00000018652
apteryx_rowi ENSARWG00000010050
apteryx_haastii ENSAHAG00000008673
dromaius_novaehollandiae ENSDNVG00000009580
nothoprocta_perdicaria ENSNPEG00000012565
crocodylus_porosus ENSCPRG00005009963
gopherus_agassizii ENSGAGG00000024762
chelonoidis_abingdonii ENSCABG00000014853
chrysemys_picta_bellii ENSCPBG00000000128
pelodiscus_sinensis ENSPSIG00000007835
anolis_carolinensis ENSACAG00000017448
pogona_vitticeps ENSPVIG00000002158
notechis_scutatus ENSNSUG00000000899
salvator_merianae ENSSMRG00000004535
sphenodon_punctatus ENSSPUG00000016259
xenopus_tropicalis ENSXETG00000031007
latimeria_chalumnae ENSLACG00000008626
