gambusia_affinis ENSGAFG00000019556
mustela_putorius_furo ENSMPUG00000018857
mustela_putorius_furo ENSMPUG00000018911
neovison_vison ENSNVIG00000010191
canis_lupus_familiaris ENSCAFG00000009745
ailuropoda_melanoleuca ENSAMEG00000012547
bos_mutus ENSBMUG00000004699
ovis_aries ENSOARG00000006520
fukomys_damarensis ENSFDAG00000008353
pteropus_vampyrus ENSPVAG00000000369
sus_scrofa ENSSSCG00000007423
dasypus_novemcinctus ENSDNOG00000036387
loxodonta_africana ENSLAFG00000029856
cebus_capucinus_imitator ENSCCAG00000020219
saimiri_boliviensis_boliviensis ENSSBOG00000036011
callithrix_jacchus ENSCJAG00000039113
cebus_capucinus_imitator ENSCCAG00000036417
cebus_capucinus_imitator ENSCCAG00000005532
saimiri_boliviensis_boliviensis ENSSBOG00000027986
callithrix_jacchus ENSCJAG00000020083
cebus_capucinus_imitator ENSCCAG00000028409
aotus_nancymaae ENSANAG00000023915
pan_paniscus ENSPPAG00000030928
pan_troglodytes ENSPTRG00000039444
gorilla_gorilla ENSGGOG00000026061
homo_sapiens ENSG00000175063
pongo_abelii ENSPPYG00000011071
nomascus_leucogenys ENSNLEG00000006777
macaca_fascicularis ENSMFAG00000030280
macaca_mulatta ENSMMUG00000003469
macaca_nemestrina ENSMNEG00000000754
rhinopithecus_bieti ENSRBIG00000007200
rhinopithecus_roxellana ENSRROG00000034261
colobus_angolensis_palliatus ENSCANG00000029537
cercocebus_atys ENSCATG00000013950
papio_anubis ENSPANG00000029745
mandrillus_leucophaeus ENSMLEG00000040005
macaca_nemestrina ENSMNEG00000041776
macaca_fascicularis ENSMFAG00000040999
pan_troglodytes ENSPTRG00000052239
pan_paniscus ENSPPAG00000037740
gorilla_gorilla ENSGGOG00000036427
nomascus_leucogenys ENSNLEG00000031681
nomascus_leucogenys ENSNLEG00000029063
nomascus_leucogenys ENSNLEG00000031259
pan_paniscus ENSPPAG00000025759
pan_troglodytes ENSPTRG00000052280
gorilla_gorilla ENSGGOG00000024159
piliocolobus_tephrosceles ENSPTEG00000026688
colobus_angolensis_palliatus ENSCANG00000019933
mandrillus_leucophaeus ENSMLEG00000002854
theropithecus_gelada ENSTGEG00000021019
cercocebus_atys ENSCATG00000042861
papio_anubis ENSPANG00000000319
macaca_nemestrina ENSMNEG00000003539
chlorocebus_sabaeus ENSCSAG00000000426
theropithecus_gelada ENSTGEG00000020262
macaca_fascicularis ENSMFAG00000028896
macaca_fascicularis ENSMFAG00000028239
macaca_mulatta ENSMMUG00000031435
macaca_nemestrina ENSMNEG00000043386
papio_anubis ENSPANG00000033675
mandrillus_leucophaeus ENSMLEG00000008586
mandrillus_leucophaeus ENSMLEG00000028279
macaca_fascicularis ENSMFAG00000046190
papio_anubis ENSPANG00000001293
cercocebus_atys ENSCATG00000043811
chlorocebus_sabaeus ENSCSAG00000014521
chlorocebus_sabaeus ENSCSAG00000018530
theropithecus_gelada ENSTGEG00000019756
rhinopithecus_bieti ENSRBIG00000000354
rhinopithecus_bieti ENSRBIG00000026521
rhinopithecus_roxellana ENSRROG00000004069
rhinopithecus_roxellana ENSRROG00000023658
rhinopithecus_roxellana ENSRROG00000016019
rhinopithecus_bieti ENSRBIG00000006398
rhinopithecus_bieti ENSRBIG00000031545
rhinopithecus_roxellana ENSRROG00000020327
rhinopithecus_roxellana ENSRROG00000022357
rhinopithecus_roxellana ENSRROG00000008761
rhinopithecus_roxellana ENSRROG00000036530
rhinopithecus_roxellana ENSRROG00000016731
rhinopithecus_bieti ENSRBIG00000039216
piliocolobus_tephrosceles ENSPTEG00000024522
otolemur_garnettii ENSOGAG00000026712
octodon_degus ENSODEG00000010782
octodon_degus ENSODEG00000002436
chinchilla_lanigera ENSCLAG00000006782
loxodonta_africana ENSLAFG00000003164
loxodonta_africana ENSLAFG00000030504
procavia_capensis ENSPCAG00000003425
capra_hircus ENSCHIG00000016162
capra_hircus ENSCHIG00000008975
panthera_pardus ENSPPRG00000023564
felis_catus ENSFCAG00000019009
colobus_angolensis_palliatus ENSCANG00000021463
mandrillus_leucophaeus ENSMLEG00000031981
rhinopithecus_bieti ENSRBIG00000029565
callithrix_jacchus ENSCJAG00000042505
macaca_nemestrina ENSMNEG00000028187
theropithecus_gelada ENSTGEG00000015953
propithecus_coquereli ENSPCOG00000026054
saimiri_boliviensis_boliviensis ENSSBOG00000028581
saimiri_boliviensis_boliviensis ENSSBOG00000005227
theropithecus_gelada ENSTGEG00000005379
theropithecus_gelada ENSTGEG00000029260
prolemur_simus ENSPSMG00000018410
neovison_vison ENSNVIG00000004733
neovison_vison ENSNVIG00000008477
echinops_telfairi ENSETEG00000012346
phascolarctos_cinereus ENSPCIG00000032440
notamacropus_eugenii ENSMEUG00000007177
monodelphis_domestica ENSMODG00000013661
monodelphis_domestica ENSMODG00000016738
latimeria_chalumnae ENSLACG00000018661
xenopus_tropicalis ENSXETG00000014881
petromyzon_marinus ENSPMAG00000007939
eptatretus_burgeri ENSEBUG00000001540
ciona_savignyi ENSCSAVG00000002008
ciona_intestinalis ENSCING00000008981
drosophila_melanogaster FBgn0264848
saccharomyces_cerevisiae_strain_s288c YOR339C
