microtus_ochrogaster ENSMOCG00000009644
marmota_marmota_marmota ENSMMMG00000008782
mustela_putorius_furo ENSMPUG00000015225
neovison_vison ENSNVIG00000024282
ailuropoda_melanoleuca ENSAMEG00000007562
canis_lupus_familiaris ENSCAFG00000023754
canis_lupus_dingo ENSCAFG00020025367
vulpes_vulpes ENSVVUG00000015422
panthera_pardus ENSPPRG00000015131
panthera_tigris_altaica ENSPTIG00000013773
felis_catus ENSFCAG00000000744
capra_hircus ENSCHIG00000018675
ovis_aries ENSOARG00000020934
bos_mutus ENSBMUG00000009009
bos_taurus ENSBTAG00000046044
bison_bison_bison ENSBBBG00000012357
tursiops_truncatus ENSTTRG00000003694
sus_scrofa ENSSSCG00000022120
vicugna_pacos ENSVPAG00000011870
erinaceus_europaeus ENSEEUG00000015979
pteropus_vampyrus ENSPVAG00000013339
myotis_lucifugus ENSMLUG00000000818
equus_caballus ENSECAG00000008368
equus_asinus_asinus ENSEASG00005011748
loxodonta_africana ENSLAFG00000023212
procavia_capensis ENSPCAG00000013117
choloepus_hoffmanni ENSCHOG00000004264
dasypus_novemcinctus ENSDNOG00000002252
phascolarctos_cinereus ENSPCIG00000022382
notamacropus_eugenii ENSMEUG00000004409
monodelphis_domestica ENSMODG00000017428
ornithorhynchus_anatinus ENSOANG00000001192
nothoprocta_perdicaria ENSNPEG00000009312
apteryx_haastii ENSAHAG00000008332
taeniopygia_guttata ENSTGUG00000001374
lonchura_striata_domestica ENSLSDG00000004720
serinus_canaria ENSSCAG00000005014
junco_hyemalis ENSJHYG00000007031
ficedula_albicollis ENSFALG00000000604
cyanistes_caeruleus ENSCCEG00000018732
parus_major ENSPMJG00000006070
lepidothrix_coronata ENSLCOG00000008973
anser_brachyrhynchus ENSABRG00000020311
anas_platyrhynchos_platyrhynchos ENSAPLG00000012018
gallus_gallus ENSGALG00000003408
meleagris_gallopavo ENSMGAG00000004943
calidris_pugnax ENSCPUG00000018232
calidris_pygmaea ENSCPGG00000014525
melopsittacus_undulatus ENSMUNG00000016392
apteryx_owenii ENSAOWG00000002224
apteryx_rowi ENSARWG00000011002
dromaius_novaehollandiae ENSDNVG00000010016
gopherus_agassizii ENSGAGG00000023776
chelonoidis_abingdonii ENSCABG00000018799
chrysemys_picta_bellii ENSCPBG00000011019
pelodiscus_sinensis ENSPSIG00000008604
crocodylus_porosus ENSCPRG00005002276
sphenodon_punctatus ENSSPUG00000000130
manacus_vitellinus ENSMVIG00005012011
zonotrichia_albicollis ENSZALG00000012206
coturnix_japonica ENSCJPG00005000999
numida_meleagris ENSNMEG00000007415
notechis_scutatus ENSNSUG00000012121
pogona_vitticeps ENSPVIG00000013810
salvator_merianae ENSSMRG00000015927
xenopus_tropicalis ENSXETG00000003914
latimeria_chalumnae ENSLACG00000016238
pan_troglodytes ENSPTRG00000046977
pan_paniscus ENSPPAG00000032366
homo_sapiens ENSG00000267221
gorilla_gorilla ENSGGOG00000036804
nomascus_leucogenys ENSNLEG00000036322
papio_anubis ENSPANG00000032940
theropithecus_gelada ENSTGEG00000009299
macaca_nemestrina ENSMNEG00000034865
macaca_fascicularis ENSMFAG00000036628
cercocebus_atys ENSCATG00000026023
mandrillus_leucophaeus ENSMLEG00000032203
chlorocebus_sabaeus ENSCSAG00000003078
rhinopithecus_bieti ENSRBIG00000026824
rhinopithecus_roxellana ENSRROG00000039440
colobus_angolensis_palliatus ENSCANG00000032655
piliocolobus_tephrosceles ENSPTEG00000015264
cebus_capucinus_imitator ENSCCAG00000023601
saimiri_boliviensis_boliviensis ENSSBOG00000026838
callithrix_jacchus ENSCJAG00000014878
aotus_nancymaae ENSANAG00000030563
carlito_syrichta ENSTSYG00000025394
prolemur_simus ENSPSMG00000012692
propithecus_coquereli ENSPCOG00000011062
microcebus_murinus ENSMICG00000042519
urocitellus_parryii ENSUPAG00010009476
canis_lupus_dingo ENSCAFG00020013966
canis_lupus_familiaris ENSCAFG00000031485
vulpes_vulpes ENSVVUG00000020912
neovison_vison ENSNVIG00000012082
ursus_americanus ENSUAMG00000024596
panthera_pardus ENSPPRG00000003642
panthera_tigris_altaica ENSPTIG00000007863
felis_catus ENSFCAG00000044511
equus_asinus_asinus ENSEASG00005009106
equus_caballus ENSECAG00000033155
bos_taurus ENSBTAG00000048660
bos_mutus ENSBMUG00000016743
bison_bison_bison ENSBBBG00000010462
dasypus_novemcinctus ENSDNOG00000036922
phascolarctos_cinereus ENSPCIG00000035067
scleropages_formosus ENSSFOG00015007891
paramormyrops_kingsleyae ENSPKIG00000024392
labrus_bergylta ENSLBEG00000022849
gasterosteus_aculeatus ENSGACG00000007485
takifugu_rubripes ENSTRUG00000021949
tetraodon_nigroviridis ENSTNIG00000003816
mola_mola ENSMMOG00000001417
scophthalmus_maximus ENSSMAG00000016986
cynoglossus_semilaevis ENSCSEG00000010098
seriola_dumerili ENSSDUG00000003263
seriola_lalandi_dorsalis ENSSLDG00000007685
monopterus_albus ENSMALG00000020716
mastacembelus_armatus ENSMAMG00000006567
anabas_testudineus ENSATEG00000003167
amphiprion_ocellaris ENSAOCG00000001367
amphiprion_percula ENSAPEG00000021241
acanthochromis_polyacanthus ENSAPOG00000002630
stegastes_partitus ENSSPAG00000019494
haplochromis_burtoni ENSHBUG00000005514
pundamilia_nyererei ENSPNYG00000000339
maylandia_zebra ENSMZEG00005010914
astatotilapia_calliptera ENSACLG00000003524
neolamprologus_brichardi ENSNBRG00000019622
oreochromis_niloticus ENSONIG00000004722
amphilophus_citrinellus ENSACIG00000003626
poecilia_mexicana ENSPMEG00000002977
poecilia_latipinna ENSPLAG00000002027
poecilia_formosa ENSPFOG00000015515
poecilia_reticulata ENSPREG00000019567
xiphophorus_couchianus ENSXCOG00000001606
xiphophorus_maculatus ENSXMAG00000008145
gambusia_affinis ENSGAFG00000017656
fundulus_heteroclitus ENSFHEG00000007044
cyprinodon_variegatus ENSCVAG00000014563
kryptolebias_marmoratus ENSKMAG00000017904
oryzias_latipes_asm223469v1 ENSORLG00015009710
oryzias_latipes_asm223471v1 ENSORLG00020021447
oryzias_latipes_asm223467v1 ENSORLG00000026334
oryzias_melastigma ENSOMEG00000012308
hippocampus_comes ENSHCOG00000004661
periophthalmus_magnuspinnatus ENSPMGG00000005431
gadus_morhua ENSGMOG00000011074
esox_lucius ENSELUG00000016031
pygocentrus_nattereri ENSPNAG00000010707
astyanax_mexicanus ENSAMXG00000041021
ictalurus_punctatus ENSIPUG00000001465
danio_rerio ENSDARG00000035889
lepisosteus_oculatus ENSLOCG00000000323
