kryptolebias_marmoratus ENSKMAG00000003398
papio_anubis ENSPANG00000013720
chlorocebus_sabaeus ENSCSAG00000010805
piliocolobus_tephrosceles ENSPTEG00000015323
colobus_angolensis_palliatus ENSCANG00000036532
rhinopithecus_bieti ENSRBIG00000030949
rhinopithecus_roxellana ENSRROG00000017003
pan_troglodytes ENSPTRG00000017446
pan_paniscus ENSPPAG00000032868
homo_sapiens ENSG00000113196
gorilla_gorilla ENSGGOG00000004311
pongo_abelii ENSPPYG00000015975
nomascus_leucogenys ENSNLEG00000016584
propithecus_coquereli ENSPCOG00000026381
microcebus_murinus ENSMICG00000030672
prolemur_simus ENSPSMG00000007441
otolemur_garnettii ENSOGAG00000024691
cavia_porcellus ENSCPOG00000024064
chinchilla_lanigera ENSCLAG00000011515
octodon_degus ENSODEG00000009445
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008657
fukomys_damarensis ENSFDAG00000011403
castor_canadensis ENSCCNG00000031644
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037335
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017224
mus_spicilegus ENSMSIG00000030805
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016382
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017517
rattus_norvegicus ENSRNOG00000002582
meriones_unguiculatus ENSMUGG00000012085
nannospalax_galili ENSNGAG00000000636
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013396
cricetulus_griseus_crigri-picr ENSCGRG00015019630
mesocricetus_auratus ENSMAUG00000022272
peromyscus_maniculatus_bairdii ENSPEMG00000021867
microtus_ochrogaster ENSMOCG00000012912
jaculus_jaculus ENSJJAG00000023893
ursus_americanus ENSUAMG00000019337
ailuropoda_melanoleuca ENSAMEG00000016692
tursiops_truncatus ENSTTRG00000002725
myotis_lucifugus ENSMLUG00000008901
pteropus_vampyrus ENSPVAG00000002261
ictidomys_tridecemlineatus ENSSTOG00000025850
marmota_marmota_marmota ENSMMMG00000013794
urocitellus_parryii ENSUPAG00010017683
dipodomys_ordii ENSDORG00000015170
cricetulus_griseus_crigri_1.0 ENSCGRG00000013552
oryctolagus_cuniculus ENSOCUG00000011099
ochotona_princeps ENSOPRG00000014560
loxodonta_africana ENSLAFG00000017517
procavia_capensis ENSPCAG00000006706
dasypus_novemcinctus ENSDNOG00000007934
panthera_tigris_altaica ENSPTIG00000006236
ursus_maritimus ENSUMAG00000003053
bison_bison_bison ENSBBBG00000011826
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012293
spermophilus_dauricus ENSSDAG00000021808
echinops_telfairi ENSETEG00000010988
phascolarctos_cinereus ENSPCIG00000019244
sarcophilus_harrisii ENSSHAG00000009358
monodelphis_domestica ENSMODG00000008678
ornithorhynchus_anatinus ENSOANG00000005097
xenopus_tropicalis ENSXETG00000008479
latimeria_chalumnae ENSLACG00000018666
