numida_meleagris ENSNMEG00000013101
pongo_abelii ENSPPYG00000007475
nomascus_leucogenys ENSNLEG00000005013
colobus_angolensis_palliatus ENSCANG00000041520
piliocolobus_tephrosceles ENSPTEG00000015025
rhinopithecus_roxellana ENSRROG00000028038
rhinopithecus_bieti ENSRBIG00000039483
theropithecus_gelada ENSTGEG00000006977
papio_anubis ENSPANG00000008633
mandrillus_leucophaeus ENSMLEG00000029847
cercocebus_atys ENSCATG00000028170
macaca_fascicularis ENSMFAG00000041954
macaca_mulatta ENSMMUG00000021397
macaca_nemestrina ENSMNEG00000042215
chlorocebus_sabaeus ENSCSAG00000003976
cebus_capucinus_imitator ENSCCAG00000031076
saimiri_boliviensis_boliviensis ENSSBOG00000022425
aotus_nancymaae ENSANAG00000002408
carlito_syrichta ENSTSYG00000001889
prolemur_simus ENSPSMG00000010251
propithecus_coquereli ENSPCOG00000023863
microcebus_murinus ENSMICG00000045759
otolemur_garnettii ENSOGAG00000033388
ochotona_princeps ENSOPRG00000013783
myotis_lucifugus ENSMLUG00000005874
pteropus_vampyrus ENSPVAG00000016611
canis_lupus_familiaris ENSCAFG00000020334
canis_lupus_dingo ENSCAFG00020018519
vulpes_vulpes ENSVVUG00000012672
ursus_americanus ENSUAMG00000020723
ursus_maritimus ENSUMAG00000019563
ailuropoda_melanoleuca ENSAMEG00000017576
mustela_putorius_furo ENSMPUG00000006782
neovison_vison ENSNVIG00000009246
panthera_pardus ENSPPRG00000016828
panthera_tigris_altaica ENSPTIG00000020054
felis_catus ENSFCAG00000012853
tursiops_truncatus ENSTTRG00000009255
bos_mutus ENSBMUG00000002946
sus_scrofa ENSSSCG00000023849
dasypus_novemcinctus ENSDNOG00000001491
procavia_capensis ENSPCAG00000015582
tupaia_belangeri ENSTBEG00000002742
erinaceus_europaeus ENSEEUG00000003810
echinops_telfairi ENSETEG00000016365
cricetulus_griseus_crigri_1.0 ENSCGRG00000017752
cricetulus_griseus_crigri-picr ENSCGRG00015008228
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020569
mesocricetus_auratus ENSMAUG00000009259
microtus_ochrogaster ENSMOCG00000014759
peromyscus_maniculatus_bairdii ENSPEMG00000013513
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032621
mus_spicilegus ENSMSIG00000006000
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000031896
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031503
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023103
rattus_norvegicus ENSRNOG00000019353
meriones_unguiculatus ENSMUGG00000017024
nannospalax_galili ENSNGAG00000019996
jaculus_jaculus ENSJJAG00000017010
dipodomys_ordii ENSDORG00000025188
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012832
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013157
fukomys_damarensis ENSFDAG00000013182
chinchilla_lanigera ENSCLAG00000007558
octodon_degus ENSODEG00000015418
ictidomys_tridecemlineatus ENSSTOG00000002006
urocitellus_parryii ENSUPAG00010000468
spermophilus_dauricus ENSSDAG00000017966
marmota_marmota_marmota ENSMMMG00000014719
ornithorhynchus_anatinus ENSOANG00000013841
pygocentrus_nattereri ENSPNAG00000004813
astyanax_mexicanus ENSAMXG00000004631
ictalurus_punctatus ENSIPUG00000000820
danio_rerio ENSDARG00000068680
danio_rerio ENSDARG00000088893
danio_rerio ENSDARG00000101964
cynoglossus_semilaevis ENSCSEG00000005571
mastacembelus_armatus ENSMAMG00000015998
poecilia_formosa ENSPFOG00000006987
poecilia_latipinna ENSPLAG00000004372
poecilia_mexicana ENSPMEG00000023006
poecilia_reticulata ENSPREG00000003784
xiphophorus_couchianus ENSXCOG00000001740
xiphophorus_maculatus ENSXMAG00000010570
gambusia_affinis ENSGAFG00000003710
fundulus_heteroclitus ENSFHEG00000020267
cyprinodon_variegatus ENSCVAG00000010295
kryptolebias_marmoratus ENSKMAG00000017821
oryzias_latipes_asm223471v1 ENSORLG00020018130
oryzias_latipes_asm223469v1 ENSORLG00015002724
oryzias_latipes_asm223467v1 ENSORLG00000006426
oryzias_melastigma ENSOMEG00000018571
maylandia_zebra ENSMZEG00005012326
maylandia_zebra ENSMZEG00005025835
haplochromis_burtoni ENSHBUG00000014466
astatotilapia_calliptera ENSACLG00000000282
pundamilia_nyererei ENSPNYG00000008459
neolamprologus_brichardi ENSNBRG00000006851
oreochromis_niloticus ENSONIG00000002741
amphilophus_citrinellus ENSACIG00000004754
labrus_bergylta ENSLBEG00000010253
monopterus_albus ENSMALG00000000102
gasterosteus_aculeatus ENSGACG00000007594
mola_mola ENSMMOG00000021652
anabas_testudineus ENSATEG00000009202
seriola_lalandi_dorsalis ENSSLDG00000015064
seriola_dumerili ENSSDUG00000012125
takifugu_rubripes ENSTRUG00000021293
tetraodon_nigroviridis ENSTNIG00000018472
amphiprion_ocellaris ENSAOCG00000006295
amphiprion_percula ENSAPEG00000015046
acanthochromis_polyacanthus ENSAPOG00000020888
stegastes_partitus ENSSPAG00000014502
hippocampus_comes ENSHCOG00000007185
periophthalmus_magnuspinnatus ENSPMGG00000002874
gadus_morhua ENSGMOG00000000080
esox_lucius ENSELUG00000021309
scleropages_formosus ENSSFOG00015001805
lepisosteus_oculatus ENSLOCG00000004085
