canis_lupus_familiaris ENSCAFG00000031809
capra_hircus ENSCHIG00000011435
panthera_pardus ENSPPRG00000002940
tursiops_truncatus ENSTTRG00000015682
pteropus_vampyrus ENSPVAG00000006876
myotis_lucifugus ENSMLUG00000030344
prolemur_simus ENSPSMG00000022967
propithecus_coquereli ENSPCOG00000013752
microcebus_murinus ENSMICG00000007449
otolemur_garnettii ENSOGAG00000027137
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000989
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014858
fukomys_damarensis ENSFDAG00000014349
cavia_aperea ENSCAPG00000008040
cavia_porcellus ENSCPOG00000022685
chinchilla_lanigera ENSCLAG00000007756
octodon_degus ENSODEG00000015186
dipodomys_ordii ENSDORG00000014124
spermophilus_dauricus ENSSDAG00000022779
dasypus_novemcinctus ENSDNOG00000023640
echinops_telfairi ENSETEG00000003467
phascolarctos_cinereus ENSPCIG00000010952
notamacropus_eugenii ENSMEUG00000004092
monodelphis_domestica ENSMODG00000009883
chelonoidis_abingdonii ENSCABG00000015651
gopherus_agassizii ENSGAGG00000005085
chrysemys_picta_bellii ENSCPBG00000008657
nothoprocta_perdicaria ENSNPEG00000012625
pelodiscus_sinensis ENSPSIG00000012331
manacus_vitellinus ENSMVIG00005000006
meleagris_gallopavo ENSMGAG00000002045
coturnix_japonica ENSCJPG00005007514
numida_meleagris ENSNMEG00000011508
anas_platyrhynchos_platyrhynchos ENSAPLG00000011270
anser_brachyrhynchus ENSABRG00000020496
lonchura_striata_domestica ENSLSDG00000012104
taeniopygia_guttata ENSTGUG00000004104
junco_hyemalis ENSJHYG00000014364
parus_major ENSPMJG00000007543
calidris_pygmaea ENSCPGG00000019225
calidris_pugnax ENSCPUG00000017824
melopsittacus_undulatus ENSMUNG00000012690
apteryx_rowi ENSARWG00000014434
lepidothrix_coronata ENSLCOG00000015507
apteryx_haastii ENSAHAG00000002159
apteryx_owenii ENSAOWG00000000107
dromaius_novaehollandiae ENSDNVG00000018013
ficedula_albicollis ENSFALG00000009444
crocodylus_porosus ENSCPRG00005006396
anolis_carolinensis ENSACAG00000007090
pogona_vitticeps ENSPVIG00000018813
notechis_scutatus ENSNSUG00000016803
salvator_merianae ENSSMRG00000008462
ornithorhynchus_anatinus ENSOANG00000032055
ornithorhynchus_anatinus ENSOANG00000028725
vulpes_vulpes ENSVVUG00000018438
ursus_maritimus ENSUMAG00000005324
ovis_aries ENSOARG00000019006
serinus_canaria ENSSCAG00000013533
zonotrichia_albicollis ENSZALG00000016351
cyanistes_caeruleus ENSCCEG00000000506
sarcophilus_harrisii ENSSHAG00000017595
lepisosteus_oculatus ENSLOCG00000006639
ornithorhynchus_anatinus ENSOANG00000003451
xenopus_tropicalis ENSXETG00000005192
latimeria_chalumnae ENSLACG00000001630
paramormyrops_kingsleyae ENSPKIG00000003896
scleropages_formosus ENSSFOG00015003407
tetraodon_nigroviridis ENSTNIG00000011958
takifugu_rubripes ENSTRUG00000013040
mola_mola ENSMMOG00000016545
labrus_bergylta ENSLBEG00000010562
gasterosteus_aculeatus ENSGACG00000016590
mastacembelus_armatus ENSMAMG00000003104
monopterus_albus ENSMALG00000012525
anabas_testudineus ENSATEG00000002016
amphiprion_ocellaris ENSAOCG00000019593
amphiprion_percula ENSAPEG00000008913
acanthochromis_polyacanthus ENSAPOG00000007617
stegastes_partitus ENSSPAG00000021735
stegastes_partitus ENSSPAG00000018020
haplochromis_burtoni ENSHBUG00000001942
pundamilia_nyererei ENSPNYG00000011874
astatotilapia_calliptera ENSACLG00000015862
maylandia_zebra ENSMZEG00005007346
neolamprologus_brichardi ENSNBRG00000010298
oreochromis_niloticus ENSONIG00000002723
amphilophus_citrinellus ENSACIG00000003525
xiphophorus_couchianus ENSXCOG00000013941
xiphophorus_maculatus ENSXMAG00000000037
gambusia_affinis ENSGAFG00000010399
poecilia_formosa ENSPFOG00000001438
poecilia_latipinna ENSPLAG00000013208
poecilia_mexicana ENSPMEG00000001444
poecilia_reticulata ENSPREG00000005362
fundulus_heteroclitus ENSFHEG00000022576
cyprinodon_variegatus ENSCVAG00000018886
kryptolebias_marmoratus ENSKMAG00000017592
oryzias_latipes_asm223467v1 ENSORLG00000013180
oryzias_latipes_asm223471v1 ENSORLG00020021468
oryzias_latipes_asm223469v1 ENSORLG00015000555
oryzias_melastigma ENSOMEG00000015123
seriola_dumerili ENSSDUG00000005445
seriola_lalandi_dorsalis ENSSLDG00000016225
scophthalmus_maximus ENSSMAG00000008390
cynoglossus_semilaevis ENSCSEG00000008049
periophthalmus_magnuspinnatus ENSPMGG00000021907
hippocampus_comes ENSHCOG00000021129
gadus_morhua ENSGMOG00000001132
esox_lucius ENSELUG00000016589
pygocentrus_nattereri ENSPNAG00000029937
astyanax_mexicanus ENSAMXG00000031836
ictalurus_punctatus ENSIPUG00000010745
astyanax_mexicanus ENSAMXG00000038566
poecilia_formosa ENSPFOG00000024649
danio_rerio ENSDARG00000061685
fundulus_heteroclitus ENSFHEG00000009512
cyprinodon_variegatus ENSCVAG00000008202
poecilia_mexicana ENSPMEG00000004410
poecilia_formosa ENSPFOG00000012583
poecilia_latipinna ENSPLAG00000007394
poecilia_reticulata ENSPREG00000015851
xiphophorus_maculatus ENSXMAG00000026550
xiphophorus_couchianus ENSXCOG00000010074
gambusia_affinis ENSGAFG00000014496
kryptolebias_marmoratus ENSKMAG00000000957
oryzias_latipes_asm223471v1 ENSORLG00020012100
oryzias_latipes_asm223469v1 ENSORLG00015005406
oryzias_latipes_asm223467v1 ENSORLG00000029987
oryzias_melastigma ENSOMEG00000014355
tetraodon_nigroviridis ENSTNIG00000013712
takifugu_rubripes ENSTRUG00000005413
labrus_bergylta ENSLBEG00000013727
mola_mola ENSMMOG00000012702
seriola_dumerili ENSSDUG00000021795
seriola_lalandi_dorsalis ENSSLDG00000007880
scophthalmus_maximus ENSSMAG00000010827
mastacembelus_armatus ENSMAMG00000000745
monopterus_albus ENSMALG00000008478
anabas_testudineus ENSATEG00000015234
cynoglossus_semilaevis ENSCSEG00000012964
hippocampus_comes ENSHCOG00000000473
amphiprion_ocellaris ENSAOCG00000005654
amphiprion_percula ENSAPEG00000000744
acanthochromis_polyacanthus ENSAPOG00000011078
stegastes_partitus ENSSPAG00000009839
haplochromis_burtoni ENSHBUG00000003426
pundamilia_nyererei ENSPNYG00000021683
maylandia_zebra ENSMZEG00005004682
astatotilapia_calliptera ENSACLG00000007139
neolamprologus_brichardi ENSNBRG00000002641
oreochromis_niloticus ENSONIG00000008418
amphilophus_citrinellus ENSACIG00000017445
periophthalmus_magnuspinnatus ENSPMGG00000006757
gadus_morhua ENSGMOG00000005486
esox_lucius ENSELUG00000005673
pygocentrus_nattereri ENSPNAG00000014717
astyanax_mexicanus ENSAMXG00000001022
ictalurus_punctatus ENSIPUG00000017571
danio_rerio ENSDARG00000074419
paramormyrops_kingsleyae ENSPKIG00000019431
scleropages_formosus ENSSFOG00015016207
lepisosteus_oculatus ENSLOCG00000014551
calidris_pugnax ENSCPUG00000017878
calidris_pygmaea ENSCPGG00000011359
anser_brachyrhynchus ENSABRG00000020352
anas_platyrhynchos_platyrhynchos ENSAPLG00000012747
taeniopygia_guttata ENSTGUG00000016537
junco_hyemalis ENSJHYG00000010494
lonchura_striata_domestica ENSLSDG00000016204
zonotrichia_albicollis ENSZALG00000011729
serinus_canaria ENSSCAG00000012198
parus_major ENSPMJG00000009596
cyanistes_caeruleus ENSCCEG00000007067
ficedula_albicollis ENSFALG00000002868
lepidothrix_coronata ENSLCOG00000006769
apteryx_rowi ENSARWG00000004025
apteryx_haastii ENSAHAG00000019719
apteryx_owenii ENSAOWG00000017990
nothoprocta_perdicaria ENSNPEG00000002856
dromaius_novaehollandiae ENSDNVG00000007427
meleagris_gallopavo ENSMGAG00000016558
numida_meleagris ENSNMEG00000006419
melopsittacus_undulatus ENSMUNG00000000407
gallus_gallus ENSGALG00000033653
coturnix_japonica ENSCJPG00005014222
crocodylus_porosus ENSCPRG00005003431
gopherus_agassizii ENSGAGG00000022794
chelonoidis_abingdonii ENSCABG00000017890
chrysemys_picta_bellii ENSCPBG00000025697
pogona_vitticeps ENSPVIG00000020743
notechis_scutatus ENSNSUG00000015861
salvator_merianae ENSSMRG00000011410
sphenodon_punctatus ENSSPUG00000016032
xenopus_tropicalis ENSXETG00000017651
paramormyrops_kingsleyae ENSPKIG00000011152
paramormyrops_kingsleyae ENSPKIG00000003164
amphiprion_ocellaris ENSAOCG00000019452
amphiprion_percula ENSAPEG00000007188
acanthochromis_polyacanthus ENSAPOG00000008414
stegastes_partitus ENSSPAG00000003341
gasterosteus_aculeatus ENSGACG00000011639
tetraodon_nigroviridis ENSTNIG00000008070
monopterus_albus ENSMALG00000008768
mastacembelus_armatus ENSMAMG00000019112
anabas_testudineus ENSATEG00000023315
seriola_lalandi_dorsalis ENSSLDG00000015059
seriola_dumerili ENSSDUG00000007688
scophthalmus_maximus ENSSMAG00000014167
fundulus_heteroclitus ENSFHEG00000022413
cyprinodon_variegatus ENSCVAG00000008694
xiphophorus_maculatus ENSXMAG00000021968
xiphophorus_couchianus ENSXCOG00000019490
gambusia_affinis ENSGAFG00000012867
poecilia_formosa ENSPFOG00000005730
poecilia_latipinna ENSPLAG00000000183
poecilia_mexicana ENSPMEG00000006368
poecilia_reticulata ENSPREG00000006973
kryptolebias_marmoratus ENSKMAG00000004376
oryzias_latipes_asm223467v1 ENSORLG00000010670
oryzias_latipes_asm223471v1 ENSORLG00020008479
oryzias_latipes_asm223469v1 ENSORLG00015014349
oryzias_melastigma ENSOMEG00000009753
maylandia_zebra ENSMZEG00005016161
haplochromis_burtoni ENSHBUG00000004831
astatotilapia_calliptera ENSACLG00000020658
pundamilia_nyererei ENSPNYG00000003061
neolamprologus_brichardi ENSNBRG00000002950
oreochromis_niloticus ENSONIG00000006481
amphilophus_citrinellus ENSACIG00000007213
mola_mola ENSMMOG00000016180
labrus_bergylta ENSLBEG00000025667
cynoglossus_semilaevis ENSCSEG00000003427
periophthalmus_magnuspinnatus ENSPMGG00000011940
hippocampus_comes ENSHCOG00000014746
gadus_morhua ENSGMOG00000005846
astyanax_mexicanus ENSAMXG00000011501
pygocentrus_nattereri ENSPNAG00000003703
ictalurus_punctatus ENSIPUG00000000041
esox_lucius ENSELUG00000001418
scleropages_formosus ENSSFOG00015022252
pygocentrus_nattereri ENSPNAG00000016712
astyanax_mexicanus ENSAMXG00000039788
ictalurus_punctatus ENSIPUG00000007871
danio_rerio ENSDARG00000027192
gadus_morhua ENSGMOG00000017329
astyanax_mexicanus ENSAMXG00000041498
esox_lucius ENSELUG00000009162
mastacembelus_armatus ENSMAMG00000016460
seriola_dumerili ENSSDUG00000017410
poecilia_mexicana ENSPMEG00000019877
poecilia_latipinna ENSPLAG00000008293
poecilia_reticulata ENSPREG00000020094
fundulus_heteroclitus ENSFHEG00000011248
labrus_bergylta ENSLBEG00000025889
cynoglossus_semilaevis ENSCSEG00000007128
maylandia_zebra ENSMZEG00005026597
astatotilapia_calliptera ENSACLG00000010317
haplochromis_burtoni ENSHBUG00000021174
pundamilia_nyererei ENSPNYG00000009873
seriola_lalandi_dorsalis ENSSLDG00000015275
scophthalmus_maximus ENSSMAG00000004008
mola_mola ENSMMOG00000016869
amphiprion_percula ENSAPEG00000005917
amphiprion_ocellaris ENSAOCG00000015511
kryptolebias_marmoratus ENSKMAG00000010850
anabas_testudineus ENSATEG00000010203
tetraodon_nigroviridis ENSTNIG00000006067
monopterus_albus ENSMALG00000019476
hippocampus_comes ENSHCOG00000002449
periophthalmus_magnuspinnatus ENSPMGG00000001896
xiphophorus_maculatus ENSXMAG00000014968
xiphophorus_couchianus ENSXCOG00000019831
gambusia_affinis ENSGAFG00000006190
poecilia_formosa ENSPFOG00000010458
cyprinodon_variegatus ENSCVAG00000018743
oryzias_latipes_asm223469v1 ENSORLG00015009316
oryzias_latipes_asm223471v1 ENSORLG00020015377
oryzias_latipes_asm223467v1 ENSORLG00000026548
oryzias_melastigma ENSOMEG00000005775
stegastes_partitus ENSSPAG00000021562
acanthochromis_polyacanthus ENSAPOG00000002755
neolamprologus_brichardi ENSNBRG00000015606
oreochromis_niloticus ENSONIG00000019755
amphilophus_citrinellus ENSACIG00000003224
gasterosteus_aculeatus ENSGACG00000004307
scleropages_formosus ENSSFOG00015019651
petromyzon_marinus ENSPMAG00000007113
eptatretus_burgeri ENSEBUG00000006056
eptatretus_burgeri ENSEBUG00000013312
eptatretus_burgeri ENSEBUG00000002777
eptatretus_burgeri ENSEBUG00000015087
phascolarctos_cinereus ENSPCIG00000006101
dipodomys_ordii ENSDORG00000027937
