otolemur_garnettii ENSOGAG00000012787
apteryx_haastii ENSAHAG00000010711
apteryx_owenii ENSAOWG00000017960
dromaius_novaehollandiae ENSDNVG00000012572
nothoprocta_perdicaria ENSNPEG00000013483
lepidothrix_coronata ENSLCOG00000010043
manacus_vitellinus ENSMVIG00005005572
taeniopygia_guttata ENSTGUG00000003662
lonchura_striata_domestica ENSLSDG00000010755
serinus_canaria ENSSCAG00000009604
zonotrichia_albicollis ENSZALG00000002628
junco_hyemalis ENSJHYG00000010783
ficedula_albicollis ENSFALG00000012712
cyanistes_caeruleus ENSCCEG00000011275
parus_major ENSPMJG00000013797
melopsittacus_undulatus ENSMUNG00000009785
calidris_pygmaea ENSCPGG00000019148
calidris_pugnax ENSCPUG00000001264
coturnix_japonica ENSCJPG00005010002
meleagris_gallopavo ENSMGAG00000010161
gallus_gallus ENSGALG00000009954
numida_meleagris ENSNMEG00000016063
anser_brachyrhynchus ENSABRG00000006488
anas_platyrhynchos_platyrhynchos ENSAPLG00000010005
crocodylus_porosus ENSCPRG00005015459
gopherus_agassizii ENSGAGG00000020216
chelonoidis_abingdonii ENSCABG00000015692
chrysemys_picta_bellii ENSCPBG00000005392
pelodiscus_sinensis ENSPSIG00000010815
xenopus_tropicalis ENSXETG00000009287
latimeria_chalumnae ENSLACG00000015573
xiphophorus_maculatus ENSXMAG00000021360
gambusia_affinis ENSGAFG00000001256
poecilia_formosa ENSPFOG00000023238
poecilia_mexicana ENSPMEG00000016346
poecilia_latipinna ENSPLAG00000003838
poecilia_reticulata ENSPREG00000003801
fundulus_heteroclitus ENSFHEG00000019766
cyprinodon_variegatus ENSCVAG00000013487
kryptolebias_marmoratus ENSKMAG00000003136
oryzias_latipes_asm223471v1 ENSORLG00020012389
oryzias_latipes_asm223469v1 ENSORLG00015017944
oryzias_latipes_asm223467v1 ENSORLG00000004674
oryzias_melastigma ENSOMEG00000011690
anabas_testudineus ENSATEG00000010448
mastacembelus_armatus ENSMAMG00000021792
gasterosteus_aculeatus ENSGACG00000010638
labrus_bergylta ENSLBEG00000022961
seriola_lalandi_dorsalis ENSSLDG00000022921
seriola_dumerili ENSSDUG00000018961
amphiprion_percula ENSAPEG00000003385
amphiprion_ocellaris ENSAOCG00000005754
acanthochromis_polyacanthus ENSAPOG00000016767
stegastes_partitus ENSSPAG00000014024
takifugu_rubripes ENSTRUG00000009708
tetraodon_nigroviridis ENSTNIG00000007473
mola_mola ENSMMOG00000007851
maylandia_zebra ENSMZEG00005027382
astatotilapia_calliptera ENSACLG00000023598
haplochromis_burtoni ENSHBUG00000013465
pundamilia_nyererei ENSPNYG00000001085
neolamprologus_brichardi ENSNBRG00000013406
oreochromis_niloticus ENSONIG00000000903
amphilophus_citrinellus ENSACIG00000009413
monopterus_albus ENSMALG00000001098
cynoglossus_semilaevis ENSCSEG00000003902
hippocampus_comes ENSHCOG00000002149
periophthalmus_magnuspinnatus ENSPMGG00000013212
gadus_morhua ENSGMOG00000008330
esox_lucius ENSELUG00000013196
pygocentrus_nattereri ENSPNAG00000007035
astyanax_mexicanus ENSAMXG00000003123
ictalurus_punctatus ENSIPUG00000009248
ictalurus_punctatus ENSIPUG00000017402
danio_rerio ENSDARG00000039770
scleropages_formosus ENSSFOG00015000929
paramormyrops_kingsleyae ENSPKIG00000022455
lepisosteus_oculatus ENSLOCG00000016417
petromyzon_marinus ENSPMAG00000008173
eptatretus_burgeri ENSEBUG00000006772
ciona_intestinalis ENSCING00000012105
ciona_savignyi ENSCSAVG00000006067
caenorhabditis_elegans_strain_n2 WBGene00006960
drosophila_melanogaster FBgn0032119
