acanthochromis_polyacanthus ENSAPOG00000021136
ictidomys_tridecemlineatus ENSSTOG00000006143
marmota_marmota_marmota ENSMMMG00000020691
castor_canadensis ENSCCNG00000019552
oryctolagus_cuniculus ENSOCUG00000017128
ochotona_princeps ENSOPRG00000006745
tupaia_belangeri ENSTBEG00000006479
pan_paniscus ENSPPAG00000038124
pan_troglodytes ENSPTRG00000016074
gorilla_gorilla ENSGGOG00000007920
homo_sapiens ENSG00000109255
pongo_abelii ENSPPYG00000014760
nomascus_leucogenys ENSNLEG00000008552
chlorocebus_sabaeus ENSCSAG00000005030
mandrillus_leucophaeus ENSMLEG00000001068
macaca_fascicularis ENSMFAG00000040660
macaca_nemestrina ENSMNEG00000036198
macaca_mulatta ENSMMUG00000043692
papio_anubis ENSPANG00000024021
theropithecus_gelada ENSTGEG00000022365
cercocebus_atys ENSCATG00000000632
rhinopithecus_bieti ENSRBIG00000000139
rhinopithecus_roxellana ENSRROG00000035516
piliocolobus_tephrosceles ENSPTEG00000028110
colobus_angolensis_palliatus ENSCANG00000041096
callithrix_jacchus ENSCJAG00000018237
saimiri_boliviensis_boliviensis ENSSBOG00000028898
cebus_capucinus_imitator ENSCCAG00000033866
aotus_nancymaae ENSANAG00000031034
carlito_syrichta ENSTSYG00000007578
propithecus_coquereli ENSPCOG00000009907
prolemur_simus ENSPSMG00000020128
microcebus_murinus ENSMICG00000004184
bos_mutus ENSBMUG00000007461
bos_taurus ENSBTAG00000044161
bison_bison_bison ENSBBBG00000005197
ovis_aries ENSOARG00000001999
ovis_aries ENSOARG00000014763
capra_hircus ENSCHIG00000012702
tursiops_truncatus ENSTTRG00000014471
sus_scrofa ENSSSCG00000027954
vicugna_pacos ENSVPAG00000006441
sorex_araneus ENSSARG00000010403
canis_lupus_dingo ENSCAFG00020027542
vulpes_vulpes ENSVVUG00000006186
neovison_vison ENSNVIG00000014304
mustela_putorius_furo ENSMPUG00000005077
ursus_americanus ENSUAMG00000006338
ursus_maritimus ENSUMAG00000006770
ailuropoda_melanoleuca ENSAMEG00000018424
panthera_tigris_altaica ENSPTIG00000009380
panthera_pardus ENSPPRG00000007536
felis_catus ENSFCAG00000034809
pteropus_vampyrus ENSPVAG00000003435
dasypus_novemcinctus ENSDNOG00000043728
procavia_capensis ENSPCAG00000005085
echinops_telfairi ENSETEG00000008530
choloepus_hoffmanni ENSCHOG00000012707
equus_caballus ENSECAG00000025148
equus_asinus_asinus ENSEASG00005018853
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029236
mus_spicilegus ENSMSIG00000019724
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028310
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027316
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017096
rattus_norvegicus ENSRNOG00000002164
meriones_unguiculatus ENSMUGG00000016150
cricetulus_griseus_crigri-picr ENSCGRG00015007401
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012189
cricetulus_griseus_crigri_1.0 ENSCGRG00000008132
mesocricetus_auratus ENSMAUG00000004029
peromyscus_maniculatus_bairdii ENSPEMG00000014701
microtus_ochrogaster ENSMOCG00000002680
nannospalax_galili ENSNGAG00000020747
ornithorhynchus_anatinus ENSOANG00000004716
xenopus_tropicalis ENSXETG00000026569
