cercocebus_atys ENSCATG00000017566
xiphophorus_couchianus ENSXCOG00000005909
gambusia_affinis ENSGAFG00000005834
poecilia_formosa ENSPFOG00000012546
poecilia_latipinna ENSPLAG00000000552
poecilia_mexicana ENSPMEG00000008776
poecilia_reticulata ENSPREG00000003720
fundulus_heteroclitus ENSFHEG00000010813
cyprinodon_variegatus ENSCVAG00000022036
poecilia_mexicana ENSPMEG00000008743
poecilia_latipinna ENSPLAG00000001883
poecilia_reticulata ENSPREG00000003705
xiphophorus_couchianus ENSXCOG00000005912
xiphophorus_maculatus ENSXMAG00000015678
fundulus_heteroclitus ENSFHEG00000010755
poecilia_mexicana ENSPMEG00000008839
kryptolebias_marmoratus ENSKMAG00000009507
oryzias_latipes_asm223467v1 ENSORLG00000026806
oryzias_melastigma ENSOMEG00000007615
amphiprion_percula ENSAPEG00000023478
amphiprion_ocellaris ENSAOCG00000022086
acanthochromis_polyacanthus ENSAPOG00000024411
stegastes_partitus ENSSPAG00000009721
astatotilapia_calliptera ENSACLG00000027093
haplochromis_burtoni ENSHBUG00000011097
maylandia_zebra ENSMZEG00005004090
pundamilia_nyererei ENSPNYG00000003917
amphilophus_citrinellus ENSACIG00000001425
astatotilapia_calliptera ENSACLG00000027068
maylandia_zebra ENSMZEG00005004095
astatotilapia_calliptera ENSACLG00000027050
maylandia_zebra ENSMZEG00005004133
neolamprologus_brichardi ENSNBRG00000007891
oreochromis_niloticus ENSONIG00000007173
oreochromis_niloticus ENSONIG00000019972
maylandia_zebra ENSMZEG00005004168
pundamilia_nyererei ENSPNYG00000001185
astatotilapia_calliptera ENSACLG00000027028
maylandia_zebra ENSMZEG00005004156
astatotilapia_calliptera ENSACLG00000027033
haplochromis_burtoni ENSHBUG00000011076
neolamprologus_brichardi ENSNBRG00000007865
oreochromis_niloticus ENSONIG00000019970
amphilophus_citrinellus ENSACIG00000018511
hippocampus_comes ENSHCOG00000015558
hippocampus_comes ENSHCOG00000015569
mola_mola ENSMMOG00000020739
amphilophus_citrinellus ENSACIG00000001407
gadus_morhua ENSGMOG00000001583
esox_lucius ENSELUG00000023396
scleropages_formosus ENSSFOG00015000642
paramormyrops_kingsleyae ENSPKIG00000008877
lepisosteus_oculatus ENSLOCG00000011290
lepisosteus_oculatus ENSLOCG00000011284
periophthalmus_magnuspinnatus ENSPMGG00000009212
periophthalmus_magnuspinnatus ENSPMGG00000009430
