nothoprocta_perdicaria ENSNPEG00000010650
panthera_tigris_altaica ENSPTIG00000016016
pteropus_vampyrus ENSPVAG00000011967
equus_caballus ENSECAG00000009278
equus_asinus_asinus ENSEASG00005016537
erinaceus_europaeus ENSEEUG00000014813
vulpes_vulpes ENSVVUG00000022605
octodon_degus ENSODEG00000014874
myotis_lucifugus ENSMLUG00000005488
loxodonta_africana ENSLAFG00000015179
echinops_telfairi ENSETEG00000005183
procavia_capensis ENSPCAG00000011750
dasypus_novemcinctus ENSDNOG00000041677
ornithorhynchus_anatinus ENSOANG00000011747
anolis_carolinensis ENSACAG00000001348
pogona_vitticeps ENSPVIG00000022369
salvator_merianae ENSSMRG00000012809
sphenodon_punctatus ENSSPUG00000010370
chelonoidis_abingdonii ENSCABG00000001239
gopherus_agassizii ENSGAGG00000013707
chrysemys_picta_bellii ENSCPBG00000025879
pelodiscus_sinensis ENSPSIG00000013673
crocodylus_porosus ENSCPRG00005009649
xenopus_tropicalis ENSXETG00000006147
latimeria_chalumnae ENSLACG00000017152
periophthalmus_magnuspinnatus ENSPMGG00000013926
hippocampus_comes ENSHCOG00000002862
amphiprion_percula ENSAPEG00000011555
amphiprion_ocellaris ENSAOCG00000022021
acanthochromis_polyacanthus ENSAPOG00000017342
stegastes_partitus ENSSPAG00000009238
labrus_bergylta ENSLBEG00000001004
seriola_dumerili ENSSDUG00000010754
seriola_lalandi_dorsalis ENSSLDG00000025560
scophthalmus_maximus ENSSMAG00000020762
mastacembelus_armatus ENSMAMG00000021325
monopterus_albus ENSMALG00000005759
cynoglossus_semilaevis ENSCSEG00000004815
takifugu_rubripes ENSTRUG00000007547
tetraodon_nigroviridis ENSTNIG00000008637
mola_mola ENSMMOG00000010362
xiphophorus_maculatus ENSXMAG00000003109
xiphophorus_couchianus ENSXCOG00000013281
gambusia_affinis ENSGAFG00000009636
poecilia_formosa ENSPFOG00000013570
poecilia_reticulata ENSPREG00000016138
poecilia_latipinna ENSPLAG00000023751
cyprinodon_variegatus ENSCVAG00000015126
fundulus_heteroclitus ENSFHEG00000021834
kryptolebias_marmoratus ENSKMAG00000017956
oryzias_latipes_asm223471v1 ENSORLG00020005360
oryzias_latipes_asm223469v1 ENSORLG00015010514
oryzias_latipes_asm223467v1 ENSORLG00000006790
oryzias_melastigma ENSOMEG00000004933
astatotilapia_calliptera ENSACLG00000013038
haplochromis_burtoni ENSHBUG00000021292
maylandia_zebra ENSMZEG00005027608
pundamilia_nyererei ENSPNYG00000011634
neolamprologus_brichardi ENSNBRG00000018842
oreochromis_niloticus ENSONIG00000018505
amphilophus_citrinellus ENSACIG00000020029
gasterosteus_aculeatus ENSGACG00000008600
anabas_testudineus ENSATEG00000003417
gadus_morhua ENSGMOG00000012579
esox_lucius ENSELUG00000024218
astyanax_mexicanus ENSAMXG00000037671
pygocentrus_nattereri ENSPNAG00000000593
ictalurus_punctatus ENSIPUG00000024663
danio_rerio ENSDARG00000075393
pygocentrus_nattereri ENSPNAG00000008632
astyanax_mexicanus ENSAMXG00000011715
ictalurus_punctatus ENSIPUG00000010004
amphiprion_percula ENSAPEG00000019704
amphiprion_ocellaris ENSAOCG00000009062
acanthochromis_polyacanthus ENSAPOG00000017941
stegastes_partitus ENSSPAG00000015604
astatotilapia_calliptera ENSACLG00000004990
pundamilia_nyererei ENSPNYG00000021382
maylandia_zebra ENSMZEG00005001034
haplochromis_burtoni ENSHBUG00000018485
neolamprologus_brichardi ENSNBRG00000013982
oreochromis_niloticus ENSONIG00000016097
tetraodon_nigroviridis ENSTNIG00000005580
tetraodon_nigroviridis ENSTNIG00000006415
takifugu_rubripes ENSTRUG00000012653
gasterosteus_aculeatus ENSGACG00000002370
monopterus_albus ENSMALG00000001708
mastacembelus_armatus ENSMAMG00000019016
anabas_testudineus ENSATEG00000023373
seriola_dumerili ENSSDUG00000019478
seriola_lalandi_dorsalis ENSSLDG00000024206
scophthalmus_maximus ENSSMAG00000002189
labrus_bergylta ENSLBEG00000016900
mola_mola ENSMMOG00000013801
xiphophorus_maculatus ENSXMAG00000015014
xiphophorus_couchianus ENSXCOG00000006158
gambusia_affinis ENSGAFG00000004813
poecilia_formosa ENSPFOG00000004993
poecilia_latipinna ENSPLAG00000001018
poecilia_mexicana ENSPMEG00000001731
poecilia_reticulata ENSPREG00000001980
fundulus_heteroclitus ENSFHEG00000012291
cyprinodon_variegatus ENSCVAG00000006490
kryptolebias_marmoratus ENSKMAG00000014841
oryzias_latipes_asm223467v1 ENSORLG00000009143
oryzias_latipes_asm223469v1 ENSORLG00015006192
oryzias_latipes_asm223471v1 ENSORLG00020006994
oryzias_melastigma ENSOMEG00000011982
cynoglossus_semilaevis ENSCSEG00000016990
amphilophus_citrinellus ENSACIG00000024514
hippocampus_comes ENSHCOG00000001182
gadus_morhua ENSGMOG00000000348
esox_lucius ENSELUG00000013609
paramormyrops_kingsleyae ENSPKIG00000007594
scleropages_formosus ENSSFOG00015013981
lepisosteus_oculatus ENSLOCG00000005246
eptatretus_burgeri ENSEBUG00000003500
