gambusia_affinis ENSGAFG00000000927
cyanistes_caeruleus ENSCCEG00000009999
lepidothrix_coronata ENSLCOG00000014373
manacus_vitellinus ENSMVIG00005004641
melopsittacus_undulatus ENSMUNG00000007856
anas_platyrhynchos_platyrhynchos ENSAPLG00000012567
anser_brachyrhynchus ENSABRG00000022161
gallus_gallus ENSGALG00000009905
coturnix_japonica ENSCJPG00005015882
meleagris_gallopavo ENSMGAG00000010433
numida_meleagris ENSNMEG00000012310
apteryx_rowi ENSARWG00000018840
apteryx_haastii ENSAHAG00000018070
apteryx_owenii ENSAOWG00000011191
dromaius_novaehollandiae ENSDNVG00000013003
nothoprocta_perdicaria ENSNPEG00000007929
crocodylus_porosus ENSCPRG00005007230
xenopus_tropicalis ENSXETG00000001452
