melopsittacus_undulatus ENSMUNG00000008975
coturnix_japonica ENSCJPG00005015643
numida_meleagris ENSNMEG00000022686
anser_brachyrhynchus ENSABRG00000019092
apteryx_haastii ENSAHAG00000015385
apteryx_owenii ENSAOWG00000010892
apteryx_rowi ENSARWG00000009519
dromaius_novaehollandiae ENSDNVG00000006461
nothoprocta_perdicaria ENSNPEG00000014665
junco_hyemalis ENSJHYG00000001497
zonotrichia_albicollis ENSZALG00000010087
serinus_canaria ENSSCAG00000002012
lonchura_striata_domestica ENSLSDG00000013039
parus_major ENSPMJG00000018897
cyanistes_caeruleus ENSCCEG00000022977
ficedula_albicollis ENSFALG00000007083
taeniopygia_guttata ENSTGUG00000015581
anas_platyrhynchos_platyrhynchos ENSAPLG00000028207
lepidothrix_coronata ENSLCOG00000011874
manacus_vitellinus ENSMVIG00005003394
gopherus_agassizii ENSGAGG00000008026
chelonoidis_abingdonii ENSCABG00000014269
chrysemys_picta_bellii ENSCPBG00000001952
crocodylus_porosus ENSCPRG00005006923
sphenodon_punctatus ENSSPUG00000007958
pelodiscus_sinensis ENSPSIG00000016385
rhinopithecus_bieti ENSRBIG00000041252
rhinopithecus_roxellana ENSRROG00000008018
colobus_angolensis_palliatus ENSCANG00000038641
macaca_mulatta ENSMMUG00000037696
macaca_nemestrina ENSMNEG00000029855
cercocebus_atys ENSCATG00000005857
papio_anubis ENSPANG00000030343
mandrillus_leucophaeus ENSMLEG00000036920
xenopus_tropicalis ENSXETG00000016417
ciona_savignyi ENSCSAVG00000009655
ciona_intestinalis ENSCING00000021069
latimeria_chalumnae ENSLACG00000002932
gasterosteus_aculeatus ENSGACG00000008581
hippocampus_comes ENSHCOG00000000717
cynoglossus_semilaevis ENSCSEG00000013466
cynoglossus_semilaevis ENSCSEG00000015590
pundamilia_nyererei ENSPNYG00000015181
haplochromis_burtoni ENSHBUG00000005689
maylandia_zebra ENSMZEG00005017449
astatotilapia_calliptera ENSACLG00000025324
neolamprologus_brichardi ENSNBRG00000009458
oreochromis_niloticus ENSONIG00000013367
amphilophus_citrinellus ENSACIG00000010776
poecilia_latipinna ENSPLAG00000017186
xiphophorus_couchianus ENSXCOG00000017349
poecilia_formosa ENSPFOG00000008291
poecilia_reticulata ENSPREG00000021769
xiphophorus_maculatus ENSXMAG00000017916
gambusia_affinis ENSGAFG00000018312
cyprinodon_variegatus ENSCVAG00000013800
poecilia_mexicana ENSPMEG00000004186
poecilia_mexicana ENSPMEG00000024165
poecilia_formosa ENSPFOG00000007388
poecilia_latipinna ENSPLAG00000003191
fundulus_heteroclitus ENSFHEG00000016457
kryptolebias_marmoratus ENSKMAG00000017663
takifugu_rubripes ENSTRUG00000013017
tetraodon_nigroviridis ENSTNIG00000015852
mola_mola ENSMMOG00000017555
monopterus_albus ENSMALG00000013143
mastacembelus_armatus ENSMAMG00000016557
periophthalmus_magnuspinnatus ENSPMGG00000002530
amphiprion_ocellaris ENSAOCG00000011454
amphiprion_percula ENSAPEG00000024167
acanthochromis_polyacanthus ENSAPOG00000006463
stegastes_partitus ENSSPAG00000009598
oryzias_latipes_asm223469v1 ENSORLG00015004435
oryzias_latipes_asm223467v1 ENSORLG00000006687
oryzias_latipes_asm223471v1 ENSORLG00020016051
oryzias_melastigma ENSOMEG00000001965
labrus_bergylta ENSLBEG00000001694
seriola_dumerili ENSSDUG00000011145
seriola_lalandi_dorsalis ENSSLDG00000024748
scophthalmus_maximus ENSSMAG00000015486
anabas_testudineus ENSATEG00000010714
fundulus_heteroclitus ENSFHEG00000016434
gadus_morhua ENSGMOG00000012252
esox_lucius ENSELUG00000000507
astyanax_mexicanus ENSAMXG00000002958
pygocentrus_nattereri ENSPNAG00000002813
ictalurus_punctatus ENSIPUG00000016264
danio_rerio ENSDARG00000020621
paramormyrops_kingsleyae ENSPKIG00000022864
scleropages_formosus ENSSFOG00015001894
lepisosteus_oculatus ENSLOCG00000008079
petromyzon_marinus ENSPMAG00000003579
eptatretus_burgeri ENSEBUG00000009835
periophthalmus_magnuspinnatus ENSPMGG00000022171
drosophila_melanogaster FBgn0010380
caenorhabditis_elegans_strain_n2 WBGene00000160
