acanthochromis_polyacanthus ENSAPOG00000008391
notechis_scutatus ENSNSUG00000018220
anolis_carolinensis ENSACAG00000014978
salvator_merianae ENSSMRG00000005500
sphenodon_punctatus ENSSPUG00000002397
xenopus_tropicalis ENSXETG00000001031
latimeria_chalumnae ENSLACG00000018606
hippocampus_comes ENSHCOG00000008905
petromyzon_marinus ENSPMAG00000007238
amphiprion_ocellaris ENSAOCG00000024676
amphiprion_ocellaris ENSAOCG00000024674
periophthalmus_magnuspinnatus ENSPMGG00000008821
scleropages_formosus ENSSFOG00015017547
scleropages_formosus ENSSFOG00015011497
paramormyrops_kingsleyae ENSPKIG00000023928
pygocentrus_nattereri ENSPNAG00000000362
astyanax_mexicanus ENSAMXG00000008304
seriola_dumerili ENSSDUG00000012712
poecilia_formosa ENSPFOG00000015620
paramormyrops_kingsleyae ENSPKIG00000019111
lepisosteus_oculatus ENSLOCG00000016534
petromyzon_marinus ENSPMAG00000005519
eptatretus_burgeri ENSEBUG00000016766
