oryzias_melastigma ENSOMEG00000007592
nannospalax_galili ENSNGAG00000001354
jaculus_jaculus ENSJJAG00000019665
castor_canadensis ENSCCNG00000026837
castor_canadensis ENSCCNG00000026843
urocitellus_parryii ENSUPAG00010006140
ictidomys_tridecemlineatus ENSSTOG00000013071
spermophilus_dauricus ENSSDAG00000003925
marmota_marmota_marmota ENSMMMG00000000774
chinchilla_lanigera ENSCLAG00000001754
octodon_degus ENSODEG00000014566
cavia_porcellus ENSCPOG00000026950
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006277
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018689
fukomys_damarensis ENSFDAG00000006774
dipodomys_ordii ENSDORG00000007165
ochotona_princeps ENSOPRG00000013533
oryctolagus_cuniculus ENSOCUG00000004430
tupaia_belangeri ENSTBEG00000016826
capra_hircus ENSCHIG00000011804
capra_hircus ENSCHIG00000016421
sorex_araneus ENSSARG00000002389
choloepus_hoffmanni ENSCHOG00000007223
dasypus_novemcinctus ENSDNOG00000011959
loxodonta_africana ENSLAFG00000000662
procavia_capensis ENSPCAG00000010930
echinops_telfairi ENSETEG00000014523
bos_mutus ENSBMUG00000013596
bos_taurus ENSBTAG00000003892
bison_bison_bison ENSBBBG00000024875
ovis_aries ENSOARG00000004854
tursiops_truncatus ENSTTRG00000007034
vicugna_pacos ENSVPAG00000008193
sus_scrofa ENSSSCG00000001099
equus_caballus ENSECAG00000009766
equus_asinus_asinus ENSEASG00005007622
pteropus_vampyrus ENSPVAG00000004634
ursus_americanus ENSUAMG00000014299
ursus_maritimus ENSUMAG00000020331
ailuropoda_melanoleuca ENSAMEG00000010094
canis_lupus_familiaris ENSCAFG00000031397
canis_lupus_familiaris ENSCAFG00000032474
canis_lupus_dingo ENSCAFG00020009503
panthera_pardus ENSPPRG00000009241
panthera_tigris_altaica ENSPTIG00000006264
felis_catus ENSFCAG00000002804
carlito_syrichta ENSTSYG00000034567
meriones_unguiculatus ENSMUGG00000000513
vulpes_vulpes ENSVVUG00000002317
canis_lupus_familiaris ENSCAFG00000029046
esox_lucius ENSELUG00000017808
latimeria_chalumnae ENSLACG00000001382
ornithorhynchus_anatinus ENSOANG00000005374
ornithorhynchus_anatinus ENSOANG00000011120
amphilophus_citrinellus ENSACIG00000011461
