stegastes_partitus ENSSPAG00000006456
jaculus_jaculus ENSJJAG00000021399
castor_canadensis ENSCCNG00000025247
dipodomys_ordii ENSDORG00000006817
ictidomys_tridecemlineatus ENSSTOG00000006556
spermophilus_dauricus ENSSDAG00000008843
urocitellus_parryii ENSUPAG00010009504
marmota_marmota_marmota ENSMMMG00000006120
tupaia_belangeri ENSTBEG00000006288
loxodonta_africana ENSLAFG00000008004
procavia_capensis ENSPCAG00000016322
dasypus_novemcinctus ENSDNOG00000044850
echinops_telfairi ENSETEG00000019619
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014215
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007144
fukomys_damarensis ENSFDAG00000017191
chinchilla_lanigera ENSCLAG00000015084
octodon_degus ENSODEG00000018011
cavia_porcellus ENSCPOG00000040409
cavia_aperea ENSCAPG00000005565
phascolarctos_cinereus ENSPCIG00000020226
notamacropus_eugenii ENSMEUG00000005586
monodelphis_domestica ENSMODG00000014788
sarcophilus_harrisii ENSSHAG00000005990
ornithorhynchus_anatinus ENSOANG00000009954
xenopus_tropicalis ENSXETG00000002303
latimeria_chalumnae ENSLACG00000010861
pogona_vitticeps ENSPVIG00000017367
anolis_carolinensis ENSACAG00000017962
notechis_scutatus ENSNSUG00000008716
salvator_merianae ENSSMRG00000002374
ciona_savignyi ENSCSAVG00000006915
