tupaia_belangeri ENSTBEG00000010148
macaca_fascicularis ENSMFAG00000044557
macaca_mulatta ENSMMUG00000049061
saimiri_boliviensis_boliviensis ENSSBOG00000021115
cebus_capucinus_imitator ENSCCAG00000029848
callithrix_jacchus ENSCJAG00000039772
aotus_nancymaae ENSANAG00000030583
pan_troglodytes ENSPTRG00000019108
pan_paniscus ENSPPAG00000003692
homo_sapiens ENSG00000006451
pongo_abelii ENSPPYG00000017619
nomascus_leucogenys ENSNLEG00000003055
piliocolobus_tephrosceles ENSPTEG00000007406
colobus_angolensis_palliatus ENSCANG00000032587
rhinopithecus_roxellana ENSRROG00000039058
rhinopithecus_bieti ENSRBIG00000039597
theropithecus_gelada ENSTGEG00000014631
cercocebus_atys ENSCATG00000028248
chlorocebus_sabaeus ENSCSAG00000015217
macaca_mulatta ENSMMUG00000042241
macaca_fascicularis ENSMFAG00000001704
macaca_nemestrina ENSMNEG00000028965
papio_anubis ENSPANG00000022183
mandrillus_leucophaeus ENSMLEG00000029414
carlito_syrichta ENSTSYG00000030400
propithecus_coquereli ENSPCOG00000018071
microcebus_murinus ENSMICG00000038516
prolemur_simus ENSPSMG00000022210
otolemur_garnettii ENSOGAG00000010244
oryctolagus_cuniculus ENSOCUG00000016581
oryctolagus_cuniculus ENSOCUG00000025531
ochotona_princeps ENSOPRG00000015161
cricetulus_griseus_crigri-picr ENSCGRG00015008948
myotis_lucifugus ENSMLUG00000009687
pteropus_vampyrus ENSPVAG00000014390
neovison_vison ENSNVIG00000008132
mustela_putorius_furo ENSMPUG00000018135
ursus_maritimus ENSUMAG00000010042
ursus_americanus ENSUAMG00000023818
ailuropoda_melanoleuca ENSAMEG00000008355
canis_lupus_familiaris ENSCAFG00000030906
canis_lupus_dingo ENSCAFG00020023437
vulpes_vulpes ENSVVUG00000005586
panthera_pardus ENSPPRG00000001413
panthera_tigris_altaica ENSPTIG00000004587
felis_catus ENSFCAG00000025425
dasypus_novemcinctus ENSDNOG00000046497
choloepus_hoffmanni ENSCHOG00000008861
loxodonta_africana ENSLAFG00000017942
vicugna_pacos ENSVPAG00000002810
sus_scrofa ENSSSCG00000029741
capra_hircus ENSCHIG00000013549
ovis_aries ENSOARG00000017660
bos_taurus ENSBTAG00000006661
bos_mutus ENSBMUG00000004423
bison_bison_bison ENSBBBG00000016078
tursiops_truncatus ENSTTRG00000010652
equus_asinus_asinus ENSEASG00005017614
equus_caballus ENSECAG00000017044
sorex_araneus ENSSARG00000013873
echinops_telfairi ENSETEG00000015742
ornithorhynchus_anatinus ENSOANG00000009445
anas_platyrhynchos_platyrhynchos ENSAPLG00000004950
anser_brachyrhynchus ENSABRG00000009721
gallus_gallus ENSGALG00000031893
coturnix_japonica ENSCJPG00005006219
meleagris_gallopavo ENSMGAG00000012244
numida_meleagris ENSNMEG00000019985
lonchura_striata_domestica ENSLSDG00000002404
taeniopygia_guttata ENSTGUG00000001854
parus_major ENSPMJG00000018050
cyanistes_caeruleus ENSCCEG00000016753
ficedula_albicollis ENSFALG00000005170
zonotrichia_albicollis ENSZALG00000014628
junco_hyemalis ENSJHYG00000008300
lepidothrix_coronata ENSLCOG00000011615
manacus_vitellinus ENSMVIG00005010447
melopsittacus_undulatus ENSMUNG00000008787
calidris_pugnax ENSCPUG00000006130
calidris_pygmaea ENSCPGG00000005693
apteryx_owenii ENSAOWG00000008606
apteryx_haastii ENSAHAG00000001379
dromaius_novaehollandiae ENSDNVG00000008005
nothoprocta_perdicaria ENSNPEG00000004809
crocodylus_porosus ENSCPRG00005011156
chelonoidis_abingdonii ENSCABG00000000393
pelodiscus_sinensis ENSPSIG00000017626
anolis_carolinensis ENSACAG00000017605
notechis_scutatus ENSNSUG00000010367
salvator_merianae ENSSMRG00000019073
sphenodon_punctatus ENSSPUG00000014308
gopherus_agassizii ENSGAGG00000013598
chrysemys_picta_bellii ENSCPBG00000024854
apteryx_rowi ENSARWG00000013147
serinus_canaria ENSSCAG00000016777
pogona_vitticeps ENSPVIG00000003758
phascolarctos_cinereus ENSPCIG00000004323
sarcophilus_harrisii ENSSHAG00000011583
monodelphis_domestica ENSMODG00000012643
notamacropus_eugenii ENSMEUG00000000259
xenopus_tropicalis ENSXETG00000013108
latimeria_chalumnae ENSLACG00000005622
lepisosteus_oculatus ENSLOCG00000011940
eptatretus_burgeri ENSEBUG00000003980
pygocentrus_nattereri ENSPNAG00000027973
astyanax_mexicanus ENSAMXG00000000974
danio_rerio ENSDARG00000016253
scleropages_formosus ENSSFOG00015020396
poecilia_formosa ENSPFOG00000019406
poecilia_latipinna ENSPLAG00000010408
poecilia_mexicana ENSPMEG00000008703
poecilia_reticulata ENSPREG00000002019
xiphophorus_maculatus ENSXMAG00000026299
gambusia_affinis ENSGAFG00000018548
cyprinodon_variegatus ENSCVAG00000016551
fundulus_heteroclitus ENSFHEG00000002894
kryptolebias_marmoratus ENSKMAG00000018128
oryzias_latipes_asm223467v1 ENSORLG00000012700
oryzias_latipes_asm223471v1 ENSORLG00020004488
oryzias_latipes_asm223469v1 ENSORLG00015004780
oryzias_melastigma ENSOMEG00000001176
labrus_bergylta ENSLBEG00000011106
gasterosteus_aculeatus ENSGACG00000004967
cynoglossus_semilaevis ENSCSEG00000019417
amphiprion_ocellaris ENSAOCG00000022085
amphiprion_percula ENSAPEG00000010634
acanthochromis_polyacanthus ENSAPOG00000016273
stegastes_partitus ENSSPAG00000009640
pundamilia_nyererei ENSPNYG00000003614
astatotilapia_calliptera ENSACLG00000006454
maylandia_zebra ENSMZEG00005018734
haplochromis_burtoni ENSHBUG00000014274
neolamprologus_brichardi ENSNBRG00000011524
oreochromis_niloticus ENSONIG00000006367
amphilophus_citrinellus ENSACIG00000001178
mastacembelus_armatus ENSMAMG00000011113
monopterus_albus ENSMALG00000013026
anabas_testudineus ENSATEG00000023391
seriola_lalandi_dorsalis ENSSLDG00000020576
seriola_dumerili ENSSDUG00000007547
scophthalmus_maximus ENSSMAG00000019372
mola_mola ENSMMOG00000004585
periophthalmus_magnuspinnatus ENSPMGG00000000795
hippocampus_comes ENSHCOG00000012702
takifugu_rubripes ENSTRUG00000013360
tetraodon_nigroviridis ENSTNIG00000013655
gadus_morhua ENSGMOG00000009539
esox_lucius ENSELUG00000005575
gadus_morhua ENSGMOG00000019417
ictalurus_punctatus ENSIPUG00000002855
paramormyrops_kingsleyae ENSPKIG00000004423
pygocentrus_nattereri ENSPNAG00000008039
astyanax_mexicanus ENSAMXG00000019088
ictalurus_punctatus ENSIPUG00000000156
danio_rerio ENSDARG00000045463
esox_lucius ENSELUG00000008895
scleropages_formosus ENSSFOG00015017945
petromyzon_marinus ENSPMAG00000003545
eptatretus_burgeri ENSEBUG00000016316
petromyzon_marinus ENSPMAG00000001407
