kryptolebias_marmoratus ENSKMAG00000006449
peromyscus_maniculatus_bairdii ENSPEMG00000016681
microtus_ochrogaster ENSMOCG00000016484
cricetulus_griseus_crigri_1.0 ENSCGRG00000017727
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008711
cricetulus_griseus_crigri-picr ENSCGRG00015006183
mesocricetus_auratus ENSMAUG00000007210
nannospalax_galili ENSNGAG00000013822
jaculus_jaculus ENSJJAG00000010946
oryctolagus_cuniculus ENSOCUG00000011784
ochotona_princeps ENSOPRG00000003982
gorilla_gorilla ENSGGOG00000005601
homo_sapiens ENSG00000143578
pan_troglodytes ENSPTRG00000001368
pan_paniscus ENSPPAG00000021279
pongo_abelii ENSPPYG00000000792
nomascus_leucogenys ENSNLEG00000010798
papio_anubis ENSPANG00000006363
theropithecus_gelada ENSTGEG00000019634
cercocebus_atys ENSCATG00000029955
macaca_fascicularis ENSMFAG00000030893
macaca_mulatta ENSMMUG00000005008
macaca_nemestrina ENSMNEG00000042788
mandrillus_leucophaeus ENSMLEG00000031038
chlorocebus_sabaeus ENSCSAG00000001896
rhinopithecus_bieti ENSRBIG00000043399
rhinopithecus_roxellana ENSRROG00000013856
colobus_angolensis_palliatus ENSCANG00000036781
piliocolobus_tephrosceles ENSPTEG00000035599
cebus_capucinus_imitator ENSCCAG00000031305
saimiri_boliviensis_boliviensis ENSSBOG00000035500
callithrix_jacchus ENSCJAG00000009978
aotus_nancymaae ENSANAG00000022154
carlito_syrichta ENSTSYG00000004188
propithecus_coquereli ENSPCOG00000019702
microcebus_murinus ENSMICG00000010316
prolemur_simus ENSPSMG00000021280
otolemur_garnettii ENSOGAG00000016958
tupaia_belangeri ENSTBEG00000012480
loxodonta_africana ENSLAFG00000017875
procavia_capensis ENSPCAG00000003143
echinops_telfairi ENSETEG00000008252
dasypus_novemcinctus ENSDNOG00000042769
choloepus_hoffmanni ENSCHOG00000002522
sorex_araneus ENSSARG00000011575
phascolarctos_cinereus ENSPCIG00000029352
notamacropus_eugenii ENSMEUG00000009643
sarcophilus_harrisii ENSSHAG00000011761
monodelphis_domestica ENSMODG00000017299
xenopus_tropicalis ENSXETG00000002133
chrysemys_picta_bellii ENSCPBG00000024679
gopherus_agassizii ENSGAGG00000000785
sphenodon_punctatus ENSSPUG00000003512
latimeria_chalumnae ENSLACG00000006665
petromyzon_marinus ENSPMAG00000004309
eptatretus_burgeri ENSEBUG00000013040
