pundamilia_nyererei ENSPNYG00000015962
mus_spicilegus ENSMSIG00000022069
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014869
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000026080
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014065
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027312
rattus_norvegicus ENSRNOG00000012815
meriones_unguiculatus ENSMUGG00000013964
cricetulus_griseus_crigri_1.0 ENSCGRG00000001010
cricetulus_griseus_crigri-picr ENSCGRG00015011831
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023533
mesocricetus_auratus ENSMAUG00000000525
microtus_ochrogaster ENSMOCG00000016355
peromyscus_maniculatus_bairdii ENSPEMG00000025090
nannospalax_galili ENSNGAG00000010913
jaculus_jaculus ENSJJAG00000010292
marmota_marmota_marmota ENSMMMG00000009459
marmota_marmota_marmota ENSMMMG00000019729
ictidomys_tridecemlineatus ENSSTOG00000012211
urocitellus_parryii ENSUPAG00010000285
spermophilus_dauricus ENSSDAG00000010858
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006594
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006622
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002054
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013674
fukomys_damarensis ENSFDAG00000017206
chinchilla_lanigera ENSCLAG00000003206
octodon_degus ENSODEG00000008815
cavia_porcellus ENSCPOG00000006356
cavia_aperea ENSCAPG00000007972
pan_troglodytes ENSPTRG00000012284
pan_paniscus ENSPPAG00000039194
homo_sapiens ENSG00000115526
gorilla_gorilla ENSGGOG00000011750
pongo_abelii ENSPPYG00000012098
nomascus_leucogenys ENSNLEG00000014368
macaca_mulatta ENSMMUG00000021645
macaca_nemestrina ENSMNEG00000043033
macaca_fascicularis ENSMFAG00000043113
cercocebus_atys ENSCATG00000036687
papio_anubis ENSPANG00000019542
mandrillus_leucophaeus ENSMLEG00000043847
theropithecus_gelada ENSTGEG00000007159
chlorocebus_sabaeus ENSCSAG00000017188
piliocolobus_tephrosceles ENSPTEG00000021925
colobus_angolensis_palliatus ENSCANG00000043144
rhinopithecus_roxellana ENSRROG00000031287
rhinopithecus_bieti ENSRBIG00000039203
cebus_capucinus_imitator ENSCCAG00000022449
saimiri_boliviensis_boliviensis ENSSBOG00000021780
callithrix_jacchus ENSCJAG00000010146
carlito_syrichta ENSTSYG00000034046
prolemur_simus ENSPSMG00000019206
propithecus_coquereli ENSPCOG00000027742
microcebus_murinus ENSMICG00000028158
otolemur_garnettii ENSOGAG00000008178
echinops_telfairi ENSETEG00000019135
aotus_nancymaae ENSANAG00000025657
erinaceus_europaeus ENSEEUG00000007152
procavia_capensis ENSPCAG00000003766
pteropus_vampyrus ENSPVAG00000007900
myotis_lucifugus ENSMLUG00000014170
equus_caballus ENSECAG00000017766
equus_asinus_asinus ENSEASG00005018281
tursiops_truncatus ENSTTRG00000006215
sus_scrofa ENSSSCG00000008175
ovis_aries ENSOARG00000013318
capra_hircus ENSCHIG00000019507
bos_mutus ENSBMUG00000022456
bos_taurus ENSBTAG00000004328
bison_bison_bison ENSBBBG00000022987
sorex_araneus ENSSARG00000013783
ursus_maritimus ENSUMAG00000007760
ursus_americanus ENSUAMG00000006619
ailuropoda_melanoleuca ENSAMEG00000015665
neovison_vison ENSNVIG00000020744
mustela_putorius_furo ENSMPUG00000012105
canis_lupus_dingo ENSCAFG00020024588
canis_lupus_familiaris ENSCAFG00000002235
vulpes_vulpes ENSVVUG00000028686
panthera_tigris_altaica ENSPTIG00000017989
panthera_pardus ENSPPRG00000015300
felis_catus ENSFCAG00000023928
ochotona_princeps ENSOPRG00000001829
oryctolagus_cuniculus ENSOCUG00000012868
tupaia_belangeri ENSTBEG00000015167
loxodonta_africana ENSLAFG00000005461
vicugna_pacos ENSVPAG00000003746
choloepus_hoffmanni ENSCHOG00000012414
dasypus_novemcinctus ENSDNOG00000047379
ornithorhynchus_anatinus ENSOANG00000028458
notamacropus_eugenii ENSMEUG00000005128
phascolarctos_cinereus ENSPCIG00000036555
sarcophilus_harrisii ENSSHAG00000003059
monodelphis_domestica ENSMODG00000001482
ornithorhynchus_anatinus ENSOANG00000000418
ornithorhynchus_anatinus ENSOANG00000021450
anser_brachyrhynchus ENSABRG00000011225
anas_platyrhynchos_platyrhynchos ENSAPLG00000016175
meleagris_gallopavo ENSMGAG00000014796
coturnix_japonica ENSCJPG00005001255
gallus_gallus ENSGALG00000016769
numida_meleagris ENSNMEG00000017615
cyanistes_caeruleus ENSCCEG00000020887
parus_major ENSPMJG00000015195
ficedula_albicollis ENSFALG00000003864
taeniopygia_guttata ENSTGUG00000010047
taeniopygia_guttata ENSTGUG00000014409
lonchura_striata_domestica ENSLSDG00000016527
serinus_canaria ENSSCAG00000000003
junco_hyemalis ENSJHYG00000018286
zonotrichia_albicollis ENSZALG00000009533
manacus_vitellinus ENSMVIG00005017885
manacus_vitellinus ENSMVIG00005017892
lepidothrix_coronata ENSLCOG00000015073
melopsittacus_undulatus ENSMUNG00000013060
calidris_pugnax ENSCPUG00000004544
calidris_pygmaea ENSCPGG00000010723
apteryx_haastii ENSAHAG00000014219
apteryx_rowi ENSARWG00000008242
apteryx_owenii ENSAOWG00000007162
dromaius_novaehollandiae ENSDNVG00000018359
nothoprocta_perdicaria ENSNPEG00000001135
crocodylus_porosus ENSCPRG00005012284
chelonoidis_abingdonii ENSCABG00000005837
gopherus_agassizii ENSGAGG00000005395
chrysemys_picta_bellii ENSCPBG00000007309
pelodiscus_sinensis ENSPSIG00000007083
pogona_vitticeps ENSPVIG00000010386
anolis_carolinensis ENSACAG00000008111
notechis_scutatus ENSNSUG00000002292
salvator_merianae ENSSMRG00000021516
sphenodon_punctatus ENSSPUG00000009436
xenopus_tropicalis ENSXETG00000013820
latimeria_chalumnae ENSLACG00000007069
petromyzon_marinus ENSPMAG00000002360
eptatretus_burgeri ENSEBUG00000011432
