mus_musculus_strain_reference_cl57bl6 ENSMUSG00000033773
erinaceus_europaeus ENSEEUG00000001061
myotis_lucifugus ENSMLUG00000001016
myotis_lucifugus ENSMLUG00000017495
pteropus_vampyrus ENSPVAG00000008680
procavia_capensis ENSPCAG00000004722
loxodonta_africana ENSLAFG00000007789
echinops_telfairi ENSETEG00000012476
dasypus_novemcinctus ENSDNOG00000017468
choloepus_hoffmanni ENSCHOG00000003494
notamacropus_eugenii ENSMEUG00000008670
phascolarctos_cinereus ENSPCIG00000013740
sarcophilus_harrisii ENSSHAG00000009884
monodelphis_domestica ENSMODG00000011812
ornithorhynchus_anatinus ENSOANG00000004403
sphenodon_punctatus ENSSPUG00000002954
sphenodon_punctatus ENSSPUG00000002945
pogona_vitticeps ENSPVIG00000003353
anolis_carolinensis ENSACAG00000004529
notechis_scutatus ENSNSUG00000019969
salvator_merianae ENSSMRG00000021365
apteryx_owenii ENSAOWG00000002109
apteryx_haastii ENSAHAG00000006404
apteryx_rowi ENSARWG00000015234
dromaius_novaehollandiae ENSDNVG00000013519
nothoprocta_perdicaria ENSNPEG00000003261
anas_platyrhynchos_platyrhynchos ENSAPLG00000015165
anser_brachyrhynchus ENSABRG00000015178
coturnix_japonica ENSCJPG00005008163
meleagris_gallopavo ENSMGAG00000008200
gallus_gallus ENSGALG00000005953
numida_meleagris ENSNMEG00000020971
taeniopygia_guttata ENSTGUG00000006076
taeniopygia_guttata ENSTGUG00000014687
lonchura_striata_domestica ENSLSDG00000011070
serinus_canaria ENSSCAG00000013912
zonotrichia_albicollis ENSZALG00000007383
junco_hyemalis ENSJHYG00000001982
parus_major ENSPMJG00000019393
cyanistes_caeruleus ENSCCEG00000003922
ficedula_albicollis ENSFALG00000001750
lepidothrix_coronata ENSLCOG00000005068
manacus_vitellinus ENSMVIG00005004981
melopsittacus_undulatus ENSMUNG00000014045
calidris_pygmaea ENSCPGG00000000714
calidris_pugnax ENSCPUG00000003614
crocodylus_porosus ENSCPRG00005016561
gopherus_agassizii ENSGAGG00000015903
chelonoidis_abingdonii ENSCABG00000006034
chrysemys_picta_bellii ENSCPBG00000015739
pelodiscus_sinensis ENSPSIG00000008792
xenopus_tropicalis ENSXETG00000023007
latimeria_chalumnae ENSLACG00000013845
scleropages_formosus ENSSFOG00015020266
paramormyrops_kingsleyae ENSPKIG00000004203
pygocentrus_nattereri ENSPNAG00000028125
astyanax_mexicanus ENSAMXG00000042520
ictalurus_punctatus ENSIPUG00000013375
danio_rerio ENSDARG00000038397
poecilia_mexicana ENSPMEG00000019362
poecilia_formosa ENSPFOG00000017280
poecilia_latipinna ENSPLAG00000005383
poecilia_reticulata ENSPREG00000007978
gambusia_affinis ENSGAFG00000018069
xiphophorus_couchianus ENSXCOG00000007303
xiphophorus_maculatus ENSXMAG00000004104
fundulus_heteroclitus ENSFHEG00000014315
cyprinodon_variegatus ENSCVAG00000004960
kryptolebias_marmoratus ENSKMAG00000002186
oryzias_latipes_asm223469v1 ENSORLG00015006094
oryzias_latipes_asm223471v1 ENSORLG00020002843
oryzias_latipes_asm223467v1 ENSORLG00000005042
oryzias_melastigma ENSOMEG00000016671
astatotilapia_calliptera ENSACLG00000008661
maylandia_zebra ENSMZEG00005004606
haplochromis_burtoni ENSHBUG00000007363
pundamilia_nyererei ENSPNYG00000002124
neolamprologus_brichardi ENSNBRG00000002705
oreochromis_niloticus ENSONIG00000010577
amphilophus_citrinellus ENSACIG00000021393
tetraodon_nigroviridis ENSTNIG00000006965
takifugu_rubripes ENSTRUG00000004496
mola_mola ENSMMOG00000006165
mastacembelus_armatus ENSMAMG00000004873
monopterus_albus ENSMALG00000002227
scophthalmus_maximus ENSSMAG00000006820
cynoglossus_semilaevis ENSCSEG00000017702
seriola_lalandi_dorsalis ENSSLDG00000016490
seriola_dumerili ENSSDUG00000011600
anabas_testudineus ENSATEG00000019045
labrus_bergylta ENSLBEG00000006623
gasterosteus_aculeatus ENSGACG00000015678
amphiprion_percula ENSAPEG00000014512
amphiprion_ocellaris ENSAOCG00000022936
acanthochromis_polyacanthus ENSAPOG00000005089
stegastes_partitus ENSSPAG00000000963
hippocampus_comes ENSHCOG00000019576
periophthalmus_magnuspinnatus ENSPMGG00000011042
gadus_morhua ENSGMOG00000017320
esox_lucius ENSELUG00000019016
lepisosteus_oculatus ENSLOCG00000004726
eptatretus_burgeri ENSEBUG00000009212
drosophila_melanogaster FBgn0085212
ciona_savignyi ENSCSAVG00000009841
caenorhabditis_elegans_strain_n2 WBGene00011143
saccharomyces_cerevisiae_strain_s288c YDR066C
