zonotrichia_albicollis ENSZALG00000009888
pan_paniscus ENSPPAG00000035130
homo_sapiens ENSG00000065029
gorilla_gorilla ENSGGOG00000014188
pongo_abelii ENSPPYG00000016525
nomascus_leucogenys ENSNLEG00000008581
macaca_nemestrina ENSMNEG00000036701
macaca_mulatta ENSMMUG00000023559
macaca_fascicularis ENSMFAG00000036518
theropithecus_gelada ENSTGEG00000029509
papio_anubis ENSPANG00000021154
cercocebus_atys ENSCATG00000004304
mandrillus_leucophaeus ENSMLEG00000040578
chlorocebus_sabaeus ENSCSAG00000009955
colobus_angolensis_palliatus ENSCANG00000033529
piliocolobus_tephrosceles ENSPTEG00000030816
rhinopithecus_bieti ENSRBIG00000036275
rhinopithecus_roxellana ENSRROG00000032918
cebus_capucinus_imitator ENSCCAG00000030733
saimiri_boliviensis_boliviensis ENSSBOG00000030807
callithrix_jacchus ENSCJAG00000015519
aotus_nancymaae ENSANAG00000036344
carlito_syrichta ENSTSYG00000003274
prolemur_simus ENSPSMG00000006827
propithecus_coquereli ENSPCOG00000013296
microcebus_murinus ENSMICG00000015530
otolemur_garnettii ENSOGAG00000002935
tupaia_belangeri ENSTBEG00000017628
pteropus_vampyrus ENSPVAG00000008041
myotis_lucifugus ENSMLUG00000008610
erinaceus_europaeus ENSEEUG00000010550
bos_mutus ENSBMUG00000001403
bos_taurus ENSBTAG00000006170
bison_bison_bison ENSBBBG00000002940
capra_hircus ENSCHIG00000017284
ovis_aries ENSOARG00000011608
tursiops_truncatus ENSTTRG00000009380
sus_scrofa ENSSSCG00000001537
vicugna_pacos ENSVPAG00000005874
ursus_americanus ENSUAMG00000014218
ursus_maritimus ENSUMAG00000010449
ailuropoda_melanoleuca ENSAMEG00000000752
mustela_putorius_furo ENSMPUG00000003522
neovison_vison ENSNVIG00000011700
canis_lupus_familiaris ENSCAFG00000001304
canis_lupus_dingo ENSCAFG00020006995
vulpes_vulpes ENSVVUG00000026174
panthera_tigris_altaica ENSPTIG00000010061
panthera_pardus ENSPPRG00000021755
felis_catus ENSFCAG00000005893
equus_caballus ENSECAG00000014843
equus_asinus_asinus ENSEASG00005021182
loxodonta_africana ENSLAFG00000026071
procavia_capensis ENSPCAG00000012611
echinops_telfairi ENSETEG00000019598
dasypus_novemcinctus ENSDNOG00000015856
choloepus_hoffmanni ENSCHOG00000003197
dipodomys_ordii ENSDORG00000004835
phascolarctos_cinereus ENSPCIG00000021233
notamacropus_eugenii ENSMEUG00000002035
sarcophilus_harrisii ENSSHAG00000009934
monodelphis_domestica ENSMODG00000013806
latimeria_chalumnae ENSLACG00000015486
paramormyrops_kingsleyae ENSPKIG00000005230
scleropages_formosus ENSSFOG00015021590
pygocentrus_nattereri ENSPNAG00000024045
astyanax_mexicanus ENSAMXG00000033721
danio_rerio ENSDARG00000013279
esox_lucius ENSELUG00000003812
lepisosteus_oculatus ENSLOCG00000011655
