vulpes_vulpes ENSVVUG00000020325
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009406
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017543
rattus_norvegicus ENSRNOG00000055523
mus_spicilegus ENSMSIG00000022772
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069816
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008945
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017549
rattus_norvegicus ENSRNOG00000031966
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069818
mus_spicilegus ENSMSIG00000022686
rattus_norvegicus ENSRNOG00000051799
cricetulus_griseus_crigri-picr ENSCGRG00015021256
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010919
mesocricetus_auratus ENSMAUG00000010119
peromyscus_maniculatus_bairdii ENSPEMG00000025324
microtus_ochrogaster ENSMOCG00000012357
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009407
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008946
nannospalax_galili ENSNGAG00000009470
nannospalax_galili ENSNGAG00000018051
nannospalax_galili ENSNGAG00000017598
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021212
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020945
fukomys_damarensis ENSFDAG00000007344
cavia_porcellus ENSCPOG00000032288
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010152
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013362
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011576
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019858
chinchilla_lanigera ENSCLAG00000017734
cavia_porcellus ENSCPOG00000037767
cavia_porcellus ENSCPOG00000030273
fukomys_damarensis ENSFDAG00000009597
fukomys_damarensis ENSFDAG00000021299
octodon_degus ENSODEG00000016560
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017533
chinchilla_lanigera ENSCLAG00000017700
cavia_aperea ENSCAPG00000008233
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020031
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020941
fukomys_damarensis ENSFDAG00000007463
fukomys_damarensis ENSFDAG00000020318
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019932
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016943
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019616
castor_canadensis ENSCCNG00000011584
castor_canadensis ENSCCNG00000011592
castor_canadensis ENSCCNG00000013627
castor_canadensis ENSCCNG00000013618
castor_canadensis ENSCCNG00000012103
castor_canadensis ENSCCNG00000006016
dipodomys_ordii ENSDORG00000029302
dipodomys_ordii ENSDORG00000026128
dipodomys_ordii ENSDORG00000027227
dipodomys_ordii ENSDORG00000026977
cricetulus_griseus_crigri-picr ENSCGRG00015021383
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004403
peromyscus_maniculatus_bairdii ENSPEMG00000028287
cricetulus_griseus_crigri-picr ENSCGRG00015021374
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005388
peromyscus_maniculatus_bairdii ENSPEMG00000027363
nannospalax_galili ENSNGAG00000016014
nannospalax_galili ENSNGAG00000017457
nannospalax_galili ENSNGAG00000012380
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018444
cricetulus_griseus_crigri-picr ENSCGRG00015021367
cricetulus_griseus_crigri_1.0 ENSCGRG00000014427
mesocricetus_auratus ENSMAUG00000004137
peromyscus_maniculatus_bairdii ENSPEMG00000030754
microtus_ochrogaster ENSMOCG00000011159
mus_spicilegus ENSMSIG00000011661
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063881
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016697
rattus_norvegicus ENSRNOG00000052661
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000062128
mus_spicilegus ENSMSIG00000011668
jaculus_jaculus ENSJJAG00000016885
castor_canadensis ENSCCNG00000013609
dipodomys_ordii ENSDORG00000025052
jaculus_jaculus ENSJJAG00000017284
jaculus_jaculus ENSJJAG00000015933
dipodomys_ordii ENSDORG00000028602
peromyscus_maniculatus_bairdii ENSPEMG00000024352
peromyscus_maniculatus_bairdii ENSPEMG00000030173
microtus_ochrogaster ENSMOCG00000022742
cricetulus_griseus_crigri-picr ENSCGRG00015021360
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009882
cricetulus_griseus_crigri_1.0 ENSCGRG00000019894
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009714
cricetulus_griseus_crigri-picr ENSCGRG00015021317
cricetulus_griseus_crigri_1.0 ENSCGRG00000014393
mesocricetus_auratus ENSMAUG00000020111
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069823
mus_spicilegus ENSMSIG00000011651
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017534
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017831
rattus_norvegicus ENSRNOG00000047958
rattus_norvegicus ENSRNOG00000052636
nannospalax_galili ENSNGAG00000017531
nannospalax_galili ENSNGAG00000010643
cricetulus_griseus_crigri-picr ENSCGRG00015021341
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006828
cricetulus_griseus_crigri_1.0 ENSCGRG00000019786
cricetulus_griseus_crigri-picr ENSCGRG00015021344
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010152
cricetulus_griseus_crigri_1.0 ENSCGRG00000019646
cricetulus_griseus_crigri_1.0 ENSCGRG00000019764
cricetulus_griseus_crigri_1.0 ENSCGRG00000019935
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010688
cricetulus_griseus_crigri-picr ENSCGRG00015021354
mesocricetus_auratus ENSMAUG00000010042
microtus_ochrogaster ENSMOCG00000002361
peromyscus_maniculatus_bairdii ENSPEMG00000030415
peromyscus_maniculatus_bairdii ENSPEMG00000026370
peromyscus_maniculatus_bairdii ENSPEMG00000030026
rattus_norvegicus ENSRNOG00000055982
rattus_norvegicus ENSRNOG00000056175
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017535
mus_spicilegus ENSMSIG00000029599
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055971
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017832
nannospalax_galili ENSNGAG00000012364
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017830
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000069824
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016696
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061246
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017829
meriones_unguiculatus ENSMUGG00000020445
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000080781
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079875
meriones_unguiculatus ENSMUGG00000002309
spermophilus_dauricus ENSSDAG00000004789
oryctolagus_cuniculus ENSOCUG00000021732
oryctolagus_cuniculus ENSOCUG00000026880
oryctolagus_cuniculus ENSOCUG00000028080
oryctolagus_cuniculus ENSOCUG00000025556
oryctolagus_cuniculus ENSOCUG00000024329
oryctolagus_cuniculus ENSOCUG00000026558
ochotona_princeps ENSOPRG00000013322
propithecus_coquereli ENSPCOG00000012932
prolemur_simus ENSPSMG00000008654
dasypus_novemcinctus ENSDNOG00000043913
ailuropoda_melanoleuca ENSAMEG00000009063
ursus_americanus ENSUAMG00000028049
ursus_americanus ENSUAMG00000028050
ursus_maritimus ENSUMAG00000008183
canis_lupus_dingo ENSCAFG00020008590
canis_lupus_familiaris ENSCAFG00000023121
canis_lupus_familiaris ENSCAFG00000019327
canis_lupus_dingo ENSCAFG00020008594
neovison_vison ENSNVIG00000013411
mustela_putorius_furo ENSMPUG00000019497
ailuropoda_melanoleuca ENSAMEG00000018778
panthera_pardus ENSPPRG00000002922
erinaceus_europaeus ENSEEUG00000015473
choloepus_hoffmanni ENSCHOG00000008530
sus_scrofa ENSSSCG00000040948
sus_scrofa ENSSSCG00000021855
bison_bison_bison ENSBBBG00000008696
bos_taurus ENSBTAG00000054966
bos_mutus ENSBMUG00000012167
bos_mutus ENSBMUG00000012175
bos_taurus ENSBTAG00000047458
capra_hircus ENSCHIG00000011370
capra_hircus ENSCHIG00000008307
capra_hircus ENSCHIG00000010131
ovis_aries ENSOARG00000004221
capra_hircus ENSCHIG00000010281
ovis_aries ENSOARG00000004230
bison_bison_bison ENSBBBG00000024034
capra_hircus ENSCHIG00000007591
capra_hircus ENSCHIG00000007705
capra_hircus ENSCHIG00000013095
capra_hircus ENSCHIG00000003152
ovis_aries ENSOARG00000004191
bos_taurus ENSBTAG00000054200
bos_mutus ENSBMUG00000022843
bos_taurus ENSBTAG00000054980
bison_bison_bison ENSBBBG00000008695
bos_taurus ENSBTAG00000049224
bos_mutus ENSBMUG00000003488
bison_bison_bison ENSBBBG00000006243
capra_hircus ENSCHIG00000003399
ovis_aries ENSOARG00000004204
bison_bison_bison ENSBBBG00000008811
bos_mutus ENSBMUG00000012180
bos_taurus ENSBTAG00000050053
vicugna_pacos ENSVPAG00000004098
vicugna_pacos ENSVPAG00000004097
myotis_lucifugus ENSMLUG00000024486
myotis_lucifugus ENSMLUG00000025337
myotis_lucifugus ENSMLUG00000026812
myotis_lucifugus ENSMLUG00000030347
myotis_lucifugus ENSMLUG00000023255
myotis_lucifugus ENSMLUG00000025369
myotis_lucifugus ENSMLUG00000023886
equus_asinus_asinus ENSEASG00005012724
equus_caballus ENSECAG00000034264
equus_asinus_asinus ENSEASG00005009100
equus_asinus_asinus ENSEASG00005012721
equus_asinus_asinus ENSEASG00005012718
equus_caballus ENSECAG00000034494
equus_caballus ENSECAG00000033573
equus_asinus_asinus ENSEASG00005012719
equus_caballus ENSECAG00000035055
equus_asinus_asinus ENSEASG00005012727
prolemur_simus ENSPSMG00000017999
propithecus_coquereli ENSPCOG00000021405
prolemur_simus ENSPSMG00000017991
otolemur_garnettii ENSOGAG00000007409
otolemur_garnettii ENSOGAG00000007404
pongo_abelii ENSPPYG00000007809
chlorocebus_sabaeus ENSCSAG00000000574
tupaia_belangeri ENSTBEG00000001586
tupaia_belangeri ENSTBEG00000004463
pteropus_vampyrus ENSPVAG00000012728
dasypus_novemcinctus ENSDNOG00000037017
loxodonta_africana ENSLAFG00000013969
loxodonta_africana ENSLAFG00000005073
loxodonta_africana ENSLAFG00000013193
procavia_capensis ENSPCAG00000010091
procavia_capensis ENSPCAG00000008849
echinops_telfairi ENSETEG00000017810
notamacropus_eugenii ENSMEUG00000003426
notamacropus_eugenii ENSMEUG00000011205
phascolarctos_cinereus ENSPCIG00000033917
sarcophilus_harrisii ENSSHAG00000018573
sarcophilus_harrisii ENSSHAG00000018602
sarcophilus_harrisii ENSSHAG00000018606
sarcophilus_harrisii ENSSHAG00000018593
monodelphis_domestica ENSMODG00000007904
