zonotrichia_albicollis ENSZALG00000013760
scleropages_formosus ENSSFOG00015000715
pygocentrus_nattereri ENSPNAG00000004318
astyanax_mexicanus ENSAMXG00000042191
ictalurus_punctatus ENSIPUG00000003040
danio_rerio ENSDARG00000057751
pygocentrus_nattereri ENSPNAG00000020208
astyanax_mexicanus ENSAMXG00000014869
danio_rerio ENSDARG00000079547
ictalurus_punctatus ENSIPUG00000011399
xiphophorus_couchianus ENSXCOG00000009992
kryptolebias_marmoratus ENSKMAG00000010330
amphilophus_citrinellus ENSACIG00000020938
monopterus_albus ENSMALG00000006454
tetraodon_nigroviridis ENSTNIG00000001401
takifugu_rubripes ENSTRUG00000023816
gasterosteus_aculeatus ENSGACG00000003372
seriola_lalandi_dorsalis ENSSLDG00000014177
seriola_dumerili ENSSDUG00000016704
scophthalmus_maximus ENSSMAG00000013773
anabas_testudineus ENSATEG00000009048
mastacembelus_armatus ENSMAMG00000001808
poecilia_formosa ENSPFOG00000004330
poecilia_latipinna ENSPLAG00000007917
poecilia_mexicana ENSPMEG00000005793
poecilia_reticulata ENSPREG00000020897
gambusia_affinis ENSGAFG00000005321
cyprinodon_variegatus ENSCVAG00000007026
fundulus_heteroclitus ENSFHEG00000013071
oryzias_latipes_asm223469v1 ENSORLG00015012947
oryzias_latipes_asm223471v1 ENSORLG00020013114
oryzias_latipes_asm223467v1 ENSORLG00000009398
oryzias_melastigma ENSOMEG00000006147
haplochromis_burtoni ENSHBUG00000016619
pundamilia_nyererei ENSPNYG00000004668
maylandia_zebra ENSMZEG00005019770
astatotilapia_calliptera ENSACLG00000027087
neolamprologus_brichardi ENSNBRG00000018718
oreochromis_niloticus ENSONIG00000005797
amphiprion_ocellaris ENSAOCG00000009222
amphiprion_percula ENSAPEG00000018994
acanthochromis_polyacanthus ENSAPOG00000020173
stegastes_partitus ENSSPAG00000011821
cynoglossus_semilaevis ENSCSEG00000017606
cynoglossus_semilaevis ENSCSEG00000017601
xiphophorus_maculatus ENSXMAG00000009463
xiphophorus_maculatus ENSXMAG00000024424
labrus_bergylta ENSLBEG00000019067
mola_mola ENSMMOG00000009711
periophthalmus_magnuspinnatus ENSPMGG00000023652
esox_lucius ENSELUG00000003643
paramormyrops_kingsleyae ENSPKIG00000022901
coturnix_japonica ENSCJPG00005010509
calidris_pygmaea ENSCPGG00000012665
latimeria_chalumnae ENSLACG00000007035
petromyzon_marinus ENSPMAG00000007050
petromyzon_marinus ENSPMAG00000006198
eptatretus_burgeri ENSEBUG00000011263
