mus_musculus_strain_reference_cl57bl6 ENSMUSG00000045996
maylandia_zebra ENSMZEG00005003220
haplochromis_burtoni ENSHBUG00000002269
pundamilia_nyererei ENSPNYG00000012241
neolamprologus_brichardi ENSNBRG00000013533
seriola_lalandi_dorsalis ENSSLDG00000013975
mastacembelus_armatus ENSMAMG00000014290
periophthalmus_magnuspinnatus ENSPMGG00000022982
gopherus_agassizii ENSGAGG00000009919
chelonoidis_abingdonii ENSCABG00000007796
pelodiscus_sinensis ENSPSIG00000004097
anas_platyrhynchos_platyrhynchos ENSAPLG00000027673
gallus_gallus ENSGALG00000036019
junco_hyemalis ENSJHYG00000003564
zonotrichia_albicollis ENSZALG00000013044
taeniopygia_guttata ENSTGUG00000018366
taeniopygia_guttata ENSTGUG00000012051
lonchura_striata_domestica ENSLSDG00000017927
serinus_canaria ENSSCAG00000004326
ficedula_albicollis ENSFALG00000005795
lepidothrix_coronata ENSLCOG00000008317
apteryx_haastii ENSAHAG00000006371
nothoprocta_perdicaria ENSNPEG00000014418
sphenodon_punctatus ENSSPUG00000018205
scophthalmus_maximus ENSSMAG00000007196
hippocampus_comes ENSHCOG00000016287
fundulus_heteroclitus ENSFHEG00000019707
octodon_degus ENSODEG00000018618
octodon_degus ENSODEG00000020322
octodon_degus ENSODEG00000004358
octodon_degus ENSODEG00000019784
octodon_degus ENSODEG00000020129
chinchilla_lanigera ENSCLAG00000010033
cavia_porcellus ENSCPOG00000036717
cavia_aperea ENSCAPG00000017627
drosophila_melanogaster FBgn0262954
